	PD_whole_tree	shannon	chao1	simpson
MCTs01	30.0	3.1044184634	9.0	0.879039704524
MCTs03	37.0	3.51642521262	12.0	0.909387755102
MCTs04	27.0	3.42218005121	11.0	0.904085872576
MCTs06	21.0	2.4832505307	6.0	0.815192743764
MCTs07	53.0	4.38385195194	22.0	0.94975101856
MCTs08	38.0	3.635318655	13.0	0.915346310548
MCTs09	17.0	2.30008343145	5.0	0.794117647059
MCTs10	16.0	1.68418371978	4.0	0.655
MCTs13	22.0	2.71184813733	7.0	0.837370242215
MCTs14	28.0	3.08685136461	9.0	0.875035909221
MCTs15	12.0	1.58202394096	3.0	0.665289256198
MCTs16	17.0	2.20726494674	5.0	0.765755053508
MCTs18	29.0	2.87319101264	8.0	0.85381091212
MCTs19	33.0	3.46477778134	12.0	0.905417814509
MCTs20	13.0	1.94764523171	4.0	0.732782369146
MCTs21	21.0	2.55970491321	6.0	0.827479338843
MCTs22	33.0	3.38853905226	11.0	0.900982615268
MCTs23	26.0	2.71775078855	7.0	0.837551020408
MCTs24	29.0	3.24071369884	10.0	0.889177939646
MCTs25	11.0	1.57154167182	3.0	0.66049382716
MCTs26	13.0	2.30870160629	5.0	0.796398891967
MCTs27	32.0	3.25768102532	10.0	0.89135118498
MCTs28	17.0	2.28951592331	5.0	0.790858725762
MCTs29	20.0	2.23457236741	5.0	0.775510204082
MCTs31	40.0	3.82155372095	15.0	0.925135715187
MCTs32	19.0	1.79005041678	4.0	0.680529300567
MCTs33	20.0	2.2068997823	5.0	0.770408163265
MCTs34	29.0	2.75482300833	7.0	0.847800237812
MCTs35	13.0	1.9289395754	4.0	0.725436179982
MCTs36	26.0	2.92038158964	8.0	0.861111111111
MCTs37	31.0	3.65252615696	13.0	0.917899896314
