#FoodID	MCTs01	MCTs03	MCTs04	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37	taxonomy
Lemon juice freshly squeezed	3	3	3	0	0	0	0	0	3	2	4	0	0	2	5	4	0	0	0	0	0	3	0	0	2	0	0	3	0	0	0	L1_Fruits;L2_Citrus_fruits_juices;L3_Citrus_fruit_juices;L4_;L5_;Lemon_juice_freshly_squeezed
Lime juice freshly squeezed	4	0	0	0	3	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Fruits;L2_Citrus_fruits_juices;L3_Citrus_fruit_juices;L4_;L5_;Lime_juice_freshly_squeezed
Orange juice canned bottled or in a carton	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	0	4	4	0	0	0	4	0	5	0	0	0	5	6	5	0	L1_Fruits;L2_Citrus_fruits_juices;L3_Citrus_fruit_juices;L4_;L5_;Orange_juice_canned_bottled_or_in_a_carton
Orange juice freshly squeezed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	L1_Fruits;L2_Citrus_fruits_juices;L3_Citrus_fruit_juices;L4_;L5_;Orange_juice_freshly_squeezed
Orange juice with calcium added canned bottled or in a carton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	L1_Fruits;L2_Citrus_fruits_juices;L3_Citrus_fruit_juices;L4_;L5_;Orange_juice_with_calcium_added_canned_bottled_or_in_a_carton
Grapefruit raw	0	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	L1_Fruits;L2_Citrus_fruits_juices;L3_Citrus_fruits;L4_;L5_;Grapefruit_raw
Lemon raw	0	0	5	0	0	4	0	0	3	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	L1_Fruits;L2_Citrus_fruits_juices;L3_Citrus_fruits;L4_;L5_;Lemon_raw
Lime raw	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0	L1_Fruits;L2_Citrus_fruits_juices;L3_Citrus_fruits;L4_;L5_;Lime_raw
Orange raw	0	0	5	0	8	0	6	8	0	0	9	11	0	8	10	6	5	8	8	0	0	0	0	0	9	3	0	0	0	0	0	L1_Fruits;L2_Citrus_fruits_juices;L3_Citrus_fruits;L4_;L5_;Orange_raw
Tangerine raw	8	0	0	7	9	5	9	0	0	5	0	5	0	13	0	7	10	5	0	0	0	6	0	0	5	7	0	0	7	0	0	L1_Fruits;L2_Citrus_fruits_juices;L3_Citrus_fruits;L4_;L5_;Tangerine_raw
Apple dried uncooked	0	5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Fruits;L2_Dried_fruits;L3_Dried_fruits;L4_;L5_;Apple_dried_uncooked
Apricot dried uncooked	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	L1_Fruits;L2_Dried_fruits;L3_Dried_fruits;L4_;L5_;Apricot_dried_uncooked
Banana chips	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	L1_Fruits;L2_Dried_fruits;L3_Dried_fruits;L4_;L5_;Banana_chips
Blueberries dried	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Fruits;L2_Dried_fruits;L3_Dried_fruits;L4_;L5_;Blueberries_dried
Cherries dried	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Fruits;L2_Dried_fruits;L3_Dried_fruits;L4_;L5_;Cherries_dried
