	PD_whole_tree	shannon	chao1	simpson
MCTs01	83.0	5.08733932481	36.0	0.968761124956
MCTs03	104.0	5.59289981694	50.0	0.978532345159
MCTs04	92.0	5.01845962775	33.0	0.968589760107
MCTs06	54.0	4.54445652221	24.0	0.955944258964
MCTs07	96.0	5.10266784744	36.0	0.969475690623
MCTs08	70.0	4.45313177077	23.0	0.952051408799
MCTs09	82.0	4.85471697086	30.0	0.9642
MCTs10	78.0	4.86437285315	30.0	0.964778099552
MCTs13	108.0	5.46191751118	46.0	0.976321128525
MCTs14	81.0	4.81192891997	29.0	0.963279509172
MCTs15	99.0	5.13034323	36.0	0.97059908013
MCTs16	30.0	3.12892516417	9.0	0.882752376641
MCTs18	77.0	4.85889357608	30.0	0.96441700443
MCTs19	90.0	5.2751305859	40.0	0.973368055556
MCTs20	94.0	4.90080142653	31.0	0.965488884625
MCTs21	69.0	4.4508243375	23.0	0.952004070326
MCTs22	92.0	5.01846440823	34.0	0.967678174345
MCTs23	87.0	5.10882934909	36.0	0.969850611136
MCTs24	78.0	4.74609110054	28.0	0.961151422855
MCTs25	72.0	4.88849214437	31.0	0.96468008458
MCTs26	66.0	4.46787721964	23.0	0.953200645508
MCTs27	95.0	4.98769774395	33.0	0.967163761115
MCTs28	46.0	3.86549703058	16.0	0.923718820862
MCTs29	64.0	4.65685103822	27.0	0.957553854875
MCTs31	52.0	3.93023457215	16.0	0.930844444444
MCTs32	81.0	4.83465098573	30.0	0.963102493075
MCTs33	100.0	5.31376783583	41.0	0.974115276208
MCTs34	88.0	4.76067820476	28.0	0.961868609145
MCTs35	47.0	4.07021808963	18.0	0.936568047337
MCTs36	73.0	4.81489031117	29.0	0.963480545851
MCTs37	82.0	4.77750135194	29.0	0.961218040793
