	MCTs01	MCTs03	MCTs04	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
MCTs01	0.0	5.11653718091	4.64797433196	6.18151852694	5.12190829993	4.23370857777	5.6941509434	4.0751900873	4.40036900369	5.50802668613	5.4060344111	7.01766358892	4.83000549551	4.73679245283	4.23510816951	4.58221024259	3.90490029509	4.74656764352	4.19929889679	4.92711638003	4.97763557198	4.41085589281	5.66253369272	5.59613656783	6.04817610063	4.25749751738	5.00487363364	6.045183714	6.24571843251	5.13630271162	5.31270653448
MCTs03	5.11653718091	0.0	4.76953612141	4.4389460958	5.49115226706	5.65892239249	5.27117647059	5.37946943483	5.30747328235	5.38484773175	6.4454979193	6.55201354634	4.35740921154	4.56617647059	4.58903241001	5.951973359	5.24150937208	4.52677611721	5.16894510938	5.22916985639	4.31112831805	4.35661869181	4.93465150766	5.42292799473	4.88876585928	5.11990529958	4.8962576131	5.46170501224	6.67048176737	3.72946092613	6.26387504154
MCTs04	4.64797433196	4.76953612141	0.0	5.26328664913	5.20696457221	5.50501215715	4.72441624365	5.5655226406	4.70541517598	5.61679333651	5.9518325544	7.44961658926	3.84106254004	4.3641285956	5.2452228453	5.42735010114	4.39839295595	4.23307052597	4.77357077474	4.61497686537	4.27375670015	4.03335049903	5.03582306019	4.90101522843	5.01495769882	4.21068661501	3.84351995804	5.33974530234	5.72932448262	4.25070039666	6.02185322206
MCTs06	6.18151852694	4.4389460958	5.26328664913	0.0	6.42355952307	6.79133340083	6.18951807229	5.91800035965	5.5371893478	6.52339745723	7.68128018683	8.00025634453	4.54251959293	4.74618473896	6.60253579764	5.88069571519	5.6823502541	5.63445270443	6.00855882547	4.37242776415	4.96452944646	5.25714452011	5.11382673551	6.20926563396	5.42939759036	5.63398858592	5.3613124083	6.94786162193	5.80834105653	5.05892422148	5.99305697366
MCTs07	5.12190829993	5.49115226706	5.20696457221	6.42355952307	0.0	4.53981799974	5.89129533679	4.41522955172	4.88996807067	5.03792975124	4.6180183059	6.24804321464	5.21087579858	5.2804835924	5.2007704202	5.3406833145	5.53461189009	5.5402932422	5.72626631558	5.72910266404	5.38657197725	4.98770994468	6.03138415988	6.26449543548	5.61671848014	5.57392964276	4.47832820297	5.24067509014	6.51359107214	5.59109827572	4.51181171511
MCTs08	4.23370857777	5.65892239249	5.50501215715	6.79133340083	4.53981799974	0.0	6.20512605042	5.20974957147	5.31954479209	6.14782487581	5.03720430904	6.41373145003	5.96907889369	5.06470588235	5.47511989089	5.23308270677	5.21422597475	5.76470588235	5.287505166	6.18353536105	5.29823118058	4.99167783055	5.80056022409	6.41736694678	5.24593837535	5.45731977001	5.82374647276	5.92323947123	7.31648351648	5.61004729761	5.44433366567
MCTs09	5.6941509434	5.27117647059	4.72441624365	6.18951807229	5.89129533679	6.20512605042	0.0	6.14338308458	5.53926199262	5.56994475138	5.51427312775	7.57936170213	4.53436893204	4.81	4.96570680628	5.3584962406	4.69052132701	3.91489361702	5.18273224044	5.45097345133	4.40615384615	4.44599033816	5.3319047619	4.7080952381	5.65333333333	4.61263157895	4.57726937269	4.75801169591	6.11846153846	5.09808743169	6.75480225989
MCTs10	4.0751900873	5.37946943483	5.5655226406	5.91800035965	4.41522955172	5.20974957147	6.14338308458	0.0	4.50261607094	4.88034963305	5.84368904377	6.36667725204	5.02275032604	5.45534825871	4.66484332265	5.23225975386	5.38869632878	5.57539959776	5.28978060517	5.18892264342	5.71067738232	5.54690316533	5.18351101635	6.35252309879	5.78308457711	5.3678449856	4.93154155422	6.02443920747	6.06092613854	5.44311230732	4.32616578126
MCTs13	4.40036900369	5.30747328235	4.70541517598	5.5371893478	4.88996807067	5.31954479209	5.53926199262	4.50261607094	0.0	4.40896210067	5.97545393956	6.84242757321	4.77849030917	4.85842558426	4.71830142385	4.58874122576	4.01524982074	5.4184501845	5.08894400419	4.06390621428	5.15954893815	4.35271048363	6.49804955192	5.26014760148	6.14740467405	4.58395805011	4.13284132841	5.74079109212	5.95776326994	4.83487588974	4.98509391874
MCTs14	5.50802668613	5.38484773175	5.61679333651	6.52339745723	5.03792975124	6.14782487581	5.56994475138	4.88034963305	4.40896210067	0.0	5.19502519045	5.71270718232	5.68041624202	6.20354511971	5.23438720315	5.04473891912	5.51108900003	5.74787821794	5.54979923316	6.03916295898	6.22114901673	5.51455947901	6.38674033149	5.11325966851	6.83241252302	5.49712125618	5.03712462539	6.47106717069	6.49341266468	5.60323642182	4.7805350064
MCTs15	5.4060344111	6.4454979193	5.9518325544	7.68128018683	4.6180183059	5.03720430904	5.51427312775	5.84368904377	5.97545393956	5.19502519045	0.0	6.12128596869	6.38351653052	5.85785609398	5.95507069216	4.88894041271	5.85314320312	6.30008435655	5.62249344022	6.84889477993	5.4775884908	6.25065440848	6.24636039438	5.85609397944	6.62719530103	6.12024113146	5.43495293984	5.45961820852	7.03131141986	6.64124599793	5.68416336892
MCTs16	7.01766358892	6.55201354634	7.44961658926	8.00025634453	6.24804321464	6.41373145003	7.57936170213	6.36667725204	6.84242757321	5.71270718232	6.12128596869	0.0	7.48791571989	7.33102836879	6.45070736326	7.04239321709	7.51880609055	7.56595744681	6.93198465295	7.86612690642	7.05579526856	6.71641484222	5.90151975684	6.83763931104	7.06836879433	7.57961926092	7.11549030384	6.63008585293	8.43306055646	6.2469480293	6.74960932804
MCTs18	4.83000549551	4.35740921154	3.84106254004	4.54251959293	5.21087579858	5.96907889369	4.53436893204	5.02275032604	4.77849030917	5.68041624202	6.38351653052	7.48791571989	0.0	3.71585760518	5.25710364459	4.84626615081	4.49795242258	4.03701714522	4.96779670009	4.21342039694	4.10774662231	4.290886919	4.97873324087	4.80755894591	5.49618122977	4.10996423097	4.18048937771	5.4641458014	5.27662434653	3.80089129397	5.95617355055
MCTs19	4.73679245283	4.56617647059	4.3641285956	4.74618473896	5.2804835924	5.06470588235	4.81	5.45534825871	4.85842558426	6.20354511971	5.85785609398	7.33102836879	3.71585760518	0.0	5.34882198953	4.74674185464	3.98214849921	4.32145390071	4.81284153005	4.25899705015	3.75268065268	3.93128019324	4.60952380952	5.37142857143	4.86333333333	4.59122807018	4.78437884379	5.3283625731	6.23974358974	4.00669398907	5.62274011299
MCTs20	4.23510816951	4.58903241001	5.2452228453	6.60253579764	5.2007704202	5.47511989089	4.96570680628	4.66484332265	4.71830142385	5.23438720315	5.95507069216	6.45070736326	5.25710364459	5.34882198953	0.0	5.36550801086	4.60445150244	4.5530132561	4.77303807971	5.47060186258	5.45227547322	4.82186306498	5.83664921466	5.48229867863	5.73389179756	4.55497382199	4.83217093951	5.2890603472	6.51365283931	4.51137241439	5.08155115804
