	MCTs01	MCTs03	MCTs04	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
MCTs01	0.0	3.49806477093	3.62383513499	4.80031976246	5.05322041799	3.58669808573	4.16808221106	4.1501651587	3.35860979463	3.06470224603	4.53897192855	3.97962630059	4.48383547732	3.46258949279	4.33100127887	4.14530248118	3.1440325258	3.39757767246	6.05926471265	5.17129316181	5.07957345972	4.7707434392	5.34377115775	4.7705371248	4.27768643002	3.45583800086	5.44859867767	4.03798051606	5.02044685173	4.44875592417	4.8813059505
MCTs03	3.49806477093	0.0	3.4824906367	5.01897590361	4.39153005464	3.93919925512	4.09034653465	4.25303030303	3.30746268657	3.13550724638	4.66282051282	4.91264367816	3.99404761905	4.2225177305	3.95701058201	4.92156862745	3.83193739425	3.97301587302	5.55097087379	6.00396825397	4.725	3.9960199005	5.89047619048	4.19166666667	4.15833333333	3.75833333333	4.97222222222	4.09722222222	4.20833333333	3.44583333333	4.35555555556
MCTs04	3.62383513499	3.4824906367	0.0	4.03808492397	3.7940688893	3.3379365179	4.09070345237	3.8505958461	3.437755045	3.31631656082	4.43053874964	4.20121399974	4.70258159444	4.43083114192	3.53617501932	3.49447014761	3.36637578661	3.78098805065	5.8669139304	5.89513108614	4.64116104869	4.49315221645	5.38188871054	4.02028714107	2.92784529542	3.54988083078	4.73463725898	3.26248439451	5.03777421081	4.71020599251	4.4329588015
MCTs06	4.80031976246	5.01897590361	4.03808492397	0.0	5.24879847258	4.13246281214	4.83406894906	5.19094560058	4.18461907331	4.84136546185	4.20599320358	4.13765406453	4.96385542169	5.47859523199	4.88468158348	3.45230333097	4.36609381689	4.09887167718	6.25546847585	5.70548862115	5.50048192771	5.88539231553	5.9148020654	5.18875502008	4.67605114335	4.87714494341	4.60806187714	4.15177376171	5.59357429719	5.06024096386	4.9030789826
MCTs07	5.05322041799	4.39153005464	3.7940688893	5.24879847258	0.0	3.92368043472	4.22647838554	3.58112270243	4.68118424272	3.93703967688	5.70979403111	5.09628792161	4.89207650273	5.73764678526	3.93876311909	4.2900032144	4.8465784583	4.52641165756	4.97310202133	6.53603955243	4.8750273224	3.68991110024	5.21448087432	5.04098360656	4.00975800156	4.83383010432	4.7245496863	3.74453551913	4.54894613583	4.96632513661	4.77486338798
MCTs08	3.58669808573	3.93919925512	3.3379365179	4.13246281214	3.92368043472	0.0	4.25510260523	4.01950228542	3.97620834376	2.96656141203	4.94519409827	4.70493803378	3.86492418196	4.43432782598	3.56613756614	2.89937561617	3.42131979695	3.25352487364	6.36828117373	5.08468564334	5.29139664804	4.55171072014	5.63188347965	4.90696772191	3.87025424695	4.2374301676	4.54789985516	3.39990689013	4.58994413408	4.38177374302	4.47436374922
MCTs09	4.16808221106	4.09034653465	4.09070345237	4.83406894906	4.22647838554	4.25510260523	0.0	3.89378937894	4.38874932269	3.94245946334	4.82315308454	4.10606577899	4.02369165488	4.52517379398	3.99675205616	4.47023878858	4.19711514299	3.10435329247	5.68028453331	5.20132013201	4.74930693069	3.85596768632	5.89957567185	4.49339933993	4.59203879572	4.12511251125	4.90771299352	4.85286028603	4.18953323904	4.31782178218	5.46930693069
MCTs10	4.1501651587	4.25303030303	3.8505958461	5.19094560058	3.58112270243	4.01950228542	3.89378937894	0.0	4.09118046133	4.00316205534	4.90629370629	5.18829676071	5.0762987013	5.25609284333	4.59567099567	4.34973262032	4.82799569297	3.76594516595	5.39052662548	6.67763347763	4.9996969697	4.04450474898	4.98116883117	5.28232323232	4.24836116265	4.32727272727	4.7088664422	3.6952020202	4.44155844156	4.00227272727	5.76565656566
MCTs13	3.35860979463	3.30746268657	3.437755045	4.18461907331	4.68118424272	3.97620834376	4.38874932269	4.09118046133	0.0	3.0165476963	3.87386146192	4.84577114428	4.40751599147	4.36657139833	4.09365869067	4.02370500439	3.26499482284	3.91542288557	4.97299908226	5.83605780621	4.52965174129	4.23880597015	4.98773987207	4.39179104478	3.91222459133	3.80710085934	5.90381426202	4.48030679934	4.26325515281	3.66299751244	4.56650082919
MCTs14	3.06470224603	3.13550724638	3.31631656082	4.84136546185	3.93703967688	2.96656141203	3.94245946334	4.00316205534	3.0165476963	0.0	4.54604236343	4.64492753623	3.56444099379	4.1868640148	3.57315389924	3.61636828645	3.40005885382	3.42753623188	5.4966230477	4.99792960663	5.10347826087	4.08382003028	5.41977225673	4.3768115942	4.16681455191	4.04018445323	5.34272678476	4.01509661836	4.32960662526	3.81612318841	3.75555555556
