	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
MCTs01	0.0	7.67651003643	7.45693560986	7.52347034449	6.84123358081	8.25954018339	7.95596046462	7.31265077964	6.1443936798	6.22570205658	7.32314453852	8.04788682752	8.46855429272	7.44055387554	7.81417421337	6.79693908288	8.36575628346	6.89850234296	6.65748807178	7.2986407767	6.91395497706	7.70556951139	7.0090081073	8.45548917102	7.56151850029	8.5504380772	7.37986130374	7.84405339806	7.69748135641	7.87409736378	7.80120112053	8.23292454437
MCTs03	7.67651003643	0.0	6.6420974756	9.35740450026	6.09606820396	8.10391047445	8.71076532972	7.56404547833	7.6578939268	7.61271191686	7.84519827998	8.11275005052	9.36461977808	7.29407828705	7.30698433219	7.34872968831	8.2763831629	7.55860723324	6.96527503234	7.25073783359	6.1671899529	7.51429522858	6.42289889786	7.32307692308	7.69367498861	8.97109162614	7.60244897959	7.16787676609	7.59403226173	8.11506338095	7.04140579917	8.50999752128
MCTs04	7.45693560986	6.6420974756	0.0	9.00363089483	6.77045082772	6.92928639847	8.24827586207	7.27711598746	7.36721723172	7.89583487826	7.28780315724	8.38820985547	9.02997920835	6.7957145549	7.13342992369	7.4012344663	7.21325598883	7.15644512129	7.16749009358	6.99331564987	7.00695970696	6.66264769713	6.75261286882	7.46383731211	7.74181895228	7.56863310505	6.83750410509	7.43329228243	7.4808095952	7.65842843703	7.53428740175	8.00238959468
MCTs05	7.52347034449	9.35740450026	9.00363089483	0.0	8.30432649394	8.25019470405	7.55218848913	8.08983290852	6.85902772324	7.45023950692	7.85226792871	8.13096449832	9.32703900992	8.6369293849	8.20932485144	8.02263213853	8.52024922118	8.16610159498	7.85228008439	7.86451953031	8.58796343843	7.95825980873	7.94834120179	8.8917325665	8.55064099803	8.81194438113	8.4580329328	8.41431631064	8.67201679534	8.39321071828	8.92859517565	8.92281521561
MCTs06	6.84123358081	6.09606820396	6.77045082772	8.30432649394	0.0	8.27601860637	8.65173991246	6.67004772584	7.28761181892	7.58760278305	8.02590545335	8.43001985208	9.31837757673	6.83254158353	7.47375079064	7.83429417652	8.35923673057	7.03582566638	6.58645374705	7.4545613779	5.64470254603	7.21275814634	6.53598466324	7.45033815015	7.61940905394	8.41651845632	7.88939007861	7.71273549742	8.1821769381	7.50267072734	7.60781813682	8.18484303738
MCTs07	8.25954018339	8.10391047445	6.92928639847	8.25019470405	8.27601860637	0.0	7.5105906257	7.88049242424	7.1956407563	8.20609318996	7.95174410344	7.84464383938	9.2197217482	8.16719522508	7.80217086835	8.37200841952	7.40336188993	7.74029530319	8.11983835914	7.77509615385	8.72599969475	7.98931623932	7.30566294387	7.93498931624	8.0792530722	7.4764687379	8.36920634921	7.58630952381	8.14689009662	8.46823102017	8.05335968379	8.04586988304
MCTs08	7.95596046462	8.71076532972	8.24827586207	7.55218848913	8.65173991246	7.5105906257	0.0	8.08025748467	8.1764425209	7.6558565159	8.67400273693	8.36565540322	8.15970507568	9.31151295565	8.14460293135	8.15033408105	8.05695503156	8.67157659167	8.45949110936	8.19878526283	9.20055495607	8.77186540914	7.917391484	8.64117979549	8.6068357914	8.22404390663	8.46068136273	8.74122351847	7.66149690686	8.72874574772	9.21257534833	8.89052666737
MCTs09	7.31265077964	7.56404547833	7.27711598746	8.08983290852	6.67004772584	7.88049242424	8.08025748467	0.0	7.24283167813	7.45656565657	7.87564132372	7.53417341734	9.06728720654	7.32064438294	7.32676343265	7.7596875678	6.97462475219	6.93038906414	6.74180929095	6.60913752914	7.65254745255	7.78461538462	6.62314901593	8.0317016317	6.56439044826	8.74594023862	7.16225108225	6.88593073593	7.58115942029	7.44399870592	8.0743083004	8.84322169059
MCTs10	6.1443936798	7.6578939268	7.36721723172	6.85902772324	7.28761181892	7.1956407563	8.1764425209	7.24283167813	0.0	6.71353272492	7.05565704543	7.18190642594	8.38401162513	7.33902741424	7.87114845938	7.17176417106	8.05604858766	7.46250298227	7.17148473081	7.02012497307	7.37168713639	7.50727703669	7.13236016056	7.663003663	7.74347158218	8.11573409852	7.27383753501	7.46507352941	7.70655218609	7.88271180358	7.32691179238	7.95982603568
MCTs13	6.22570205658	7.61271191686	7.89583487826	7.45023950692	7.58760278305	8.20609318996	7.6558565159	7.45656565657	6.71353272492	0.0	7.51947492414	7.03055466837	8.64437838697	7.36445821057	7.79331947833	7.04064122634	7.97561384115	6.81259116041	7.27432061764	7.01434794596	6.95391705069	7.9638569316	6.58020175147	8.65993934381	7.12339989759	8.69176876101	7.25275985663	7.22489439324	7.0427769986	7.66637329558	7.54784875402	8.25848896435
MCTs14	7.32314453852	7.84519827998	7.28780315724	7.85226792871	8.02590545335	7.95174410344	8.67400273693	7.87564132372	7.05565704543	7.51947492414	0.0	7.81857469634	8.93663748331	6.97092065622	8.2805991962	7.48349803759	7.21385376581	7.58227306833	7.43994147037	7.95794609483	7.76032151991	6.9743232045	7.62140427664	8.40107548036	8.03876389265	8.24174590303	7.75684325904	7.93295579101	7.84015345269	8.60501861274	7.93024877935	7.64157356306
MCTs15	8.04788682752	8.11275005052	8.38820985547	8.13096449832	8.43001985208	7.84464383938	8.36565540322	7.53417341734	7.18190642594	7.03055466837	7.81857469634	0.0	8.72573468951	8.76678955952	7.6063455085	7.79597816584	7.62536627495	7.76383379663	7.86679254723	7.60948464077	8.2712254742	8.64598767569	7.26094722874	8.31337903021	7.51501878298	8.94511332666	7.96431871759	6.86938649222	7.92466637968	8.25622775801	7.82264313388	9.01237623762
MCTs16	8.46855429272	9.36461977808	9.02997920835	9.32703900992	9.31837757673	9.2197217482	8.15970507568	9.06728720654	8.38401162513	8.64437838697	8.93663748331	8.72573468951	0.0	9.53657152449	8.99130983451	8.64072592798	8.48990462824	9.14809272079	9.56639435233	8.89957469152	9.68253759892	9.13915208796	9.23885507195	9.24340596832	8.89707617055	6.8922239003	8.94894197952	9.72572830327	8.59912449918	9.15317066061	9.69226618462	9.19491347823
MCTs18	7.44055387554	7.29407828705	6.7957145549	8.6369293849	6.83254158353	8.16719522508	9.31151295565	7.32064438294	7.33902741424	7.36445821057	6.97092065622	8.76678955952	9.53657152449	0.0	7.63732378197	7.74272411731	7.62264440018	7.18214525817	6.96500861758	7.2460313457	6.43046297964	7.47568278716	6.71976629083	8.17697712124	8.0839314044	8.72428171589	7.05592505855	7.37565866511	8.39793978889	7.747089268	7.13248974831	8.13149677472
MCTs19	7.81417421337	7.30698433219	7.13342992369	8.20932485144	7.47375079064	7.80217086835	8.14460293135	7.32676343265	7.87114845938	7.79331947833	8.2805991962	7.6063455085	8.99130983451	7.63732378197	0.0	7.78160619857	7.36854367915	6.48665270525	6.63703916775	7.18186597716	6.97759103641	7.8126187538	6.78240780848	7.90829562594	8.50320773471	8.57580105213	7.35921568627	7.33132002801	8.44945804409	8.39147901153	7.52478382657	8.51964469999
MCTs20	6.79693908288	7.34872968831	7.4012344663	8.02263213853	7.83429417652	8.37200841952	8.15033408105	7.7596875678	7.17176417106	7.04064122634	7.48349803759	7.79597816584	8.64072592798	7.74272411731	7.78160619857	0.0	7.88193964267	7.8471047936	7.07026276324	7.62838993942	7.20588003882	7.70226591229	7.24426100435	8.80866532036	7.89332732092	7.4639801086	7.43224002728	7.35786737129	6.72752585521	8.75871206652	7.80393747583	8.77578193694
MCTs21	8.36575628346	8.2763831629	7.21325598883	8.52024922118	8.35923673057	7.40336188993	8.05695503156	6.97462475219	8.05604858766	7.97561384115	7.21385376581	7.62536627495	8.48990462824	7.62264440018	7.36854367915	7.88193964267	0.0	7.77177982841	7.74462445445	7.14815240834	8.32818116463	8.15478291179	7.70917236728	8.04102564103	8.27158792368	7.16516330717	7.97185580774	6.90132676903	7.63598808073	8.52965044733	8.49717409774	7.95113953107
MCTs22	6.89850234296	7.55860723324	7.15644512129	8.16610159498	7.03582566638	7.74029530319	8.67157659167	6.93038906414	7.46250298227	6.81259116041	7.58227306833	7.76383379663	9.14809272079	7.18214525817	6.48665270525	7.8471047936	7.77177982841	0.0	5.88577202224	6.99680660034	6.39940028426	7.68501319921	5.98517024944	8.39605273801	6.93432089433	8.71392299322	7.3646146913	7.21872183416	8.14997942669	7.69859784232	7.61304721886	8.36133709668
MCTs23	6.65748807178	6.96527503234	7.16749009358	7.85228008439	6.58645374705	8.11983835914	8.45949110936	6.74180929095	7.17148473081	7.27432061764	7.43994147037	7.86679254723	9.56639435233	6.96500861758	6.63703916775	7.07026276324	7.74462445445	5.88577202224	0.0	6.89587361294	5.64323329482	6.9481879164	6.03714112873	8.05709986835	7.47232206235	8.90933099341	7.09971358715	6.256778292	8.61464866589	7.99126417179	7.74446495356	8.49061682323
MCTs24	7.2986407767	7.25073783359	6.99331564987	7.86451953031	7.4545613779	7.77509615385	8.19878526283	6.60913752914	7.02012497307	7.01434794596	7.95794609483	7.60948464077	8.89957469152	7.2460313457	7.18186597716	7.62838993942	7.14815240834	6.99680660034	6.89587361294	0.0	7.16923076923	7.8827039627	6.38804123711	6.73846153846	7.24418291386	8.35214151702	7.51340659341	7.25612637363	7.78858416945	7.07228031755	7.31908786865	8.46357624831
MCTs25	6.91395497706	6.1671899529	7.00695970696	8.58796343843	5.64470254603	8.72599969475	9.20055495607	7.65254745255	7.37168713639	6.95391705069	7.76032151991	8.2712254742	9.68253759892	6.43046297964	6.97759103641	7.20588003882	8.32818116463	6.39940028426	5.64323329482	7.16923076923	0.0	7.34698634699	6.44839696386	8.1673992674	8.12105636299	9.22460466363	7.37626373626	7.04395604396	8.20401337793	8.0985491377	7.63000043435	8.40572585309
MCTs26	7.70556951139	7.51429522858	6.66264769713	7.95825980873	7.21275814634	7.98931623932	8.77186540914	7.78461538462	7.50727703669	7.9638569316	6.9743232045	8.64598767569	9.13915208796	7.47568278716	7.8126187538	7.70226591229	8.15478291179	7.68501319921	6.9481879164	7.8827039627	7.34698634699	0.0	7.62255785452	7.91608391608	8.15947493367	7.816021377	7.62994338994	7.70950924076	8.18835512314	7.7425279347	7.56136617006	7.79625199362
MCTs27	7.0090081073	6.42289889786	6.75261286882	7.94834120179	6.53598466324	7.30566294387	7.917391484	6.62314901593	7.13236016056	6.58020175147	7.62140427664	7.26094722874	9.23885507195	6.71976629083	6.78240780848	7.24426100435	7.70917236728	5.98517024944	6.03714112873	6.38804123711	6.44839696386	7.62255785452	0.0	7.74467353952	7.07800845646	8.67164768849	7.15160530191	6.76164396171	7.87001344688	7.4734013281	6.8814840471	8.7015283053
MCTs28	8.45548917102	7.32307692308	7.46383731211	8.8917325665	7.45033815015	7.93498931624	8.64117979549	8.0317016317	7.663003663	8.65993934381	8.40107548036	8.31337903021	9.24340596832	8.17697712124	7.90829562594	8.80866532036	8.04102564103	8.39605273801	8.05709986835	6.73846153846	8.1673992674	7.91608391608	7.74467353952	0.0	8.24298712041	8.83956043956	8.12498168498	8.83063186813	8.65039018952	8.01182589652	7.47797709537	8.56754385965
MCTs29	7.56151850029	7.69367498861	7.74181895228	8.55064099803	7.61940905394	8.0792530722	8.6068357914	6.56439044826	7.74347158218	7.12339989759	8.03876389265	7.51501878298	8.89707617055	8.0839314044	8.50320773471	7.89332732092	8.27158792368	6.93432089433	7.47232206235	7.24418291386	8.12105636299	8.15947493367	7.07800845646	8.24298712041	0.0	8.70922782961	7.7734562212	7.88608870968	7.78047151539	6.89373042295	7.94052931641	8.76635136228
MCTs31	8.5504380772	8.97109162614	7.56863310505	8.81194438113	8.41651845632	7.4764687379	8.22404390663	8.74594023862	8.11573409852	8.69176876101	8.24174590303	8.94511332666	6.8922239003	8.72428171589	8.57580105213	7.4639801086	7.16516330717	8.71392299322	8.90933099341	8.35214151702	9.22460466363	7.816021377	8.67164768849	8.83956043956	8.70922782961	0.0	8.51108013937	8.68706445993	7.55125486037	9.34159981152	9.14029554751	8.54366098172
MCTs32	7.37986130374	7.60244897959	6.83750410509	8.4580329328	7.88939007861	8.36920634921	8.46068136273	7.16225108225	7.27383753501	7.25275985663	7.75684325904	7.96431871759	8.94894197952	7.05592505855	7.35921568627	7.43224002728	7.97185580774	7.3646146913	7.09971358715	7.51340659341	7.37626373626	7.62994338994	7.15160530191	8.12498168498	7.7734562212	8.51108013937	0.0	7.04946428571	7.8968115942	7.83332994408	7.62583850932	8.90050125313
MCTs33	7.84405339806	7.16787676609	7.43329228243	8.41431631064	7.71273549742	7.58630952381	8.74122351847	6.88593073593	7.46507352941	7.22489439324	7.93295579101	6.86938649222	9.72572830327	7.37565866511	7.33132002801	7.35786737129	6.90132676903	7.21872183416	6.256778292	7.25612637363	7.04395604396	7.70950924076	6.76164396171	8.83063186813	7.88608870968	8.68706445993	7.04946428571	0.0	7.76869824017	7.97632816472	7.96894409938	8.80364974937
MCTs34	7.69748135641	7.59403226173	7.4808095952	8.67201679534	8.1821769381	8.14689009662	7.66149690686	7.58115942029	7.70655218609	7.0427769986	7.84015345269	7.92466637968	8.59912449918	8.39793978889	8.44945804409	6.72752585521	7.63598808073	8.14997942669	8.61464866589	7.78858416945	8.20401337793	8.18835512314	7.87001344688	8.65039018952	7.78047151539	7.55125486037	7.8968115942	7.76869824017	0.0	8.89886017845	8.27075098814	9.13691838291
