Field Name	Description	Data Type	Length	Codes					
									
USERNAME 	Study abbreviation plus researcher provided ID 	Character 	30	Assigned per project 					
USERID 	Unique system ID 	Character 	38	System assigned GUID such as {40C29DAB-4C7B-423F-956C-8A86B5E77B39} 					
RECALLNO	Recall number. 	Numeric 	2	1 -- 99 					
RECALLATTEMPT 	Sequence number for attempt within recall 	Numeric 	2	1 -- 99 					
RECALLSTATUS	The final status of this recall	Numeric 	1	"2 = Complete
5 = Breakoff/Quit"					
INTAKESTARTDATETIME	Date and time of the start of the 24 hour period for which intake is being reported	Date 	22	MM/DD/YYYY hh:mm 					
INTAKEENDDATETIME	Date and time of the end of the 24 hour period for which intake is being reported	Date 	22	MM/DD/YYYY hh:mm					
REPORTINGDATE 	The date that the last data were reported within the reporting period. Reporting period is the time within which respondents are allowed to report their intake.	Date 	8	MM/DD/YYYY					
LANG 	Language used for recall. 	Numeric 	1	1=English;  2=Spanish					
OCC_NO 	"System assigned sequence number for this eating occasion; eating occasions (meals) are sorted chronologically based on the times reported by respondent. By default, supplements are assigned the final sequence number in the intake."	Numeric 	2	1 -- 99 					
OCC_TIME 	Time of eating occasion; supplements are assigned a default time of midnight on the intake day.	Date 	19	MM/DD/YYYY hh:mm					
OCC_NAME 	Name of eating occasion. 	Numeric 	1	1=Breakfast; 2=Brunch; 3=Lunch; 4=Dinner; 5=Supper; 6=Snack; 7=Just a Drink; 8=Just a Supplement					
EATWITH 	Who was with the respondent for the meal	Numeric 	1	1 = Eat Alone; 2 = Family Member(s); 3 = Other(s); 4 = Family Member(s) and Other(s); 9 = Don't know; Blank = Not applicable 					
WATCHTVUSECOMPUTER 	Respondent's TV and computer use during the meal	Numeric 	1	"1=Watching TV (no change) 
2=Using a computer  
3=Using a mobile phone or tablet     
4=None of these
Blank = Not Applicable (no change)
"					
LOCATION 	Respondent's location while eating the meal	Numeric 	2	"1=Home;  2=Fast food restaurant; 3=Other restaurant; 4=Cafeteria; 5=Bar or tavern; 6=Work (not in cafeteria); 7=Car; 8=Sports or entertainment venue; 9=Some place else; 10 (Kids version only)=School, cafeteria; 11 (Kids version only)=School, not in cafeteria; 98=Don’t know; Blank=Not applicable "					
FOODNUM 	FoodListTerm (FLT) or Supplement Sequence number within the recall 	Numeric 	3	1 -- 999 					
FOODTYPE 	Type of food reported 	Numeric 	1	1=Primary; 2=Addition; Blank=Not Applicable 					
FOODSRCE	Source of the food/most of the ingredients for the food	Character 	250	Study specified Food Source answer					
CODENUM 	Food code sequence number within a meal 	Numeric 	2	1 -- 99=Food code number 					
FOODCODE 	USDA Food and Nutrient Database for Dietary Studies (FNDDS) Food code	Numeric 	8	11000000- 99999999=Food code 					
MODCODE 	Recipe Modification Code from FNDDS 	Numeric 	6	0=No modification; 100000 - 999999=Modification code 					
HOWMANY 	Amount of the food model represented in the field PORTIONCODE	Numeric 	8.3	0.001 -- 9999.999 					
SUBCODE 	Portion subcode from FNDDS 	Numeric 	7	0=Not applicable; 1-9999999=Code 					
PORTIONCODE 	Food measure code from FNDDS	Numeric 	5	"0=Not applicable; MEASURE was GM, LB, or WO; 1-99999=Code; 98=1 gram"					
FOODAMT 	"Amount of food in grams; calculated using HOWMANY, SUBCODE, and PORTIONCODE data"	Numeric 	8.2	0.01 -- 99999.99=Amount in grams; Blank=Not applicable 					
KCAL 	Energy (kcal) 	Numeric 	12.6	  					
PROT 	Protein (g) 	Numeric 	12.6	  					
TFAT 	Total Fat (g) 	Numeric 	12.6	  					
CARB 	Carbohydrate (g) 	Numeric 	12.6	  					
MOIS 	Water (g) 	Numeric 	12.6	  					
ALC 	Alcohol (g) 	Numeric 	12.6	  					
CAFF 	Caffeine (mg) 	Numeric 	12.6	  					
THEO 	Theobromine (mg) 	Numeric 	12.6	  					
SUGR 	"Sugars, total (g) "	Numeric 	12.6	  					
FIBE 	"Fiber, total dietary (g) "	Numeric 	12.6	  					
CALC 	Calcium (mg) 	Numeric 	12.6	  					
IRON 	Iron (mg) 	Numeric 	12.6	  					
MAGN 	Magnesium (mg) 	Numeric 	12.6	  					
PHOS 	Phosphorus (mg) 	Numeric 	12.6	  					
POTA 	Potassium (mg) 	Numeric 	12.6	  					
SODI 	Sodium (mg) 	Numeric 	12.6	  					
ZINC 	Zinc (mg) 	Numeric 	12.6	  					
COPP 	Copper (mg) 	Numeric 	12.6	  					
SELE 	Selenium (mcg) 	Numeric 	12.6	  					
VC 	Vitamin C (mg) 	Numeric 	12.6	  					
VB1 	Thiamin (mg) 	Numeric 	12.6	  					
VB2 	Riboflavin (mg) 	Numeric 	12.6	  					
NIAC 	Niacin (mg) 	Numeric 	12.6	  					
VB6 	Vitamin B-6 (mg) 	Numeric 	12.6	  					
FOLA 	"Folate, total (mcg) "	Numeric 	12.6	  					
FA 	Folic acid (mcg) 	Numeric 	12.6	  					
FF 	"Folate, food (mcg) "	Numeric 	12.6	  					
FDFE 	"Folate, DFE (mcg_DFE) "	Numeric 	12.6	  					
VB12 	Vitamin B-12 (mcg) 	Numeric 	12.6	  					
VARA 	"Vitamin A, RAE (mcg_RAE) "	Numeric 	12.6	  					
RET 	Retinol (mcg) 	Numeric 	12.6	  					
BCAR 	"Carotene, beta (mcg) "	Numeric 	12.6	  					
ACAR 	"Carotene, alpha (mcg) "	Numeric 	12.6	  					
CRYP 	"Cryptoxanthin, beta (mcg) "	Numeric 	12.6	  					
LYCO 	Lycopene (mcg) 	Numeric 	12.6	  					
LZ 	Lutein + zeaxanthin (mcg) 	Numeric 	12.6	  					
ATOC 	"Vitamin E, alpha-tocopherol (mg) "	Numeric 	12.6	  					
VK 	"Vitamin K, phylloquinone (mcg) "	Numeric 	12.6	  					
CHOLE 	Cholesterol (mg) 	Numeric 	12.6	  					
SFAT 	"Fatty acids, total saturated (g) "	Numeric 	12.6	  					
S040 	"4:0, Butanoic acid (g)"	Numeric 	12.6	  					
S060 	"6:0, Hexanoic acid (g)"	Numeric 	12.6	  					
S080 	"8:0, Octanoic acid (g)"	Numeric 	12.6	  					
S100 	"10:0, Decanoic acid (g)"	Numeric 	12.6	  					
S120 	"12:0, Dodecanoic acid (g)"	Numeric 	12.6	  					
