	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs11	MCTs12	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
MCTs01	0.0	29.978671434	37.6613418649	41.290088617	33.6290090925	32.0823504333	29.6759561779	35.7446356112	33.0520348249	33.303493402	32.7897079786	35.8850363613	40.7792835049	27.9787146976	32.0367840973	40.7900959002	39.4027665995	32.7071294672	33.8881784714	27.692864343	35.1046912874	35.9578224997	33.3206196125	27.5233416723	34.5209456593	28.0719963964	29.4228937253	40.3067309418	36.2215586509	30.2632951019	37.0638126139	42.8862976116	33.3547363352	38.2755987974
MCTs03	29.978671434	0.0	38.7612191246	37.3331723504	34.3488683273	34.3100177389	33.3701262836	34.6396483189	36.9664918426	36.4947030017	29.2555963114	34.0121248931	42.4929045455	29.2275765154	36.5089628984	38.7328480914	42.8791172982	34.5601686667	34.5799317255	31.7164630238	36.0787808925	38.6937370591	35.10304126	29.8787080827	36.0148945997	31.1482111121	33.2964661028	40.8178816372	38.2013399664	34.1641605054	37.8753381815	47.2079318381	36.851580917	38.9477030086
MCTs04	37.6613418649	38.7612191246	0.0	38.6524382647	34.9364181701	40.8879933832	38.2431154668	37.3384788281	41.1829649149	40.9473517722	40.0336463138	39.9214266515	40.0942317126	41.1090618263	40.5293633661	39.7528318931	35.9186102863	37.0808909591	35.9824704304	39.4818472037	44.5092969416	41.6774636954	34.7370817686	35.7551775727	42.8279913374	37.4858811379	36.2192385967	38.3456146683	34.9809505032	38.5275649871	38.9663346994	40.1587666398	35.0102518087	36.9429612201
MCTs05	41.290088617	37.3331723504	38.6524382647	0.0	38.3157227195	40.7076220468	39.287707609	42.7402354589	43.6787355126	42.7395333417	38.5542468614	40.8742306379	49.6063346084	39.4085491487	44.4586202987	36.0724545327	41.1284897891	44.8002237655	37.8708558136	41.4667248478	44.8623131254	43.4281997109	40.3588619429	39.1974627016	43.862141498	42.3905090149	44.316476628	42.0334453511	41.6351204684	42.7602899756	44.0753524806	50.1771386053	39.3155692873	38.4688505913
MCTs06	33.6290090925	34.3488683273	34.9364181701	38.3157227195	0.0	34.9423271421	39.0783191794	33.4114622895	35.2573458764	35.5249269958	33.9745938658	37.3021388501	33.2646048	32.5982129695	38.6339455028	41.0163350936	41.0012361245	35.9269672898	38.8896163789	35.9945075193	35.4102103034	35.2811564737	35.7930145285	33.0632908937	38.7618736903	31.0903508816	33.4323532891	36.8557204834	28.9672444788	35.8192634976	38.6998537786	38.1138357349	35.4113544383	39.3828994603
MCTs07	32.0823504333	34.3100177389	40.8879933832	40.7076220468	34.9423271421	0.0	33.9700960156	30.896432003	27.93821477	29.9586230342	33.9292369255	33.2085947307	37.1753838174	30.3249259464	33.1429583636	42.1002830106	40.372372661	31.9818154352	31.2175506164	30.7620881334	32.147548568	37.5088763942	34.4853731217	29.291340211	31.7242049907	33.0165762106	33.5622188471	38.6818925386	37.0431993552	33.590903785	36.9605127309	47.0189498573	37.432124081	39.8569094871
MCTs08	29.6759561779	33.3701262836	38.2431154668	39.287707609	39.0783191794	33.9700960156	0.0	37.3955702485	39.6446627713	36.545375237	32.8916346296	38.6641452885	41.9338266982	32.6666387062	36.699291658	39.500150509	38.1916892457	38.0523047859	33.7405278118	33.0777211835	41.0030734433	38.9440392155	33.2569509772	30.9278303982	36.6290563295	37.0501267541	37.1794461788	40.6337316683	37.6998468896	36.7822181302	43.0786245386	47.5440474207	34.011180084	38.2210806402
MCTs09	35.7446356112	34.6396483189	37.3384788281	42.7402354589	33.4114622895	30.896432003	37.3955702485	0.0	34.1859102199	33.582094701	34.8958995782	31.2519422985	32.2976223825	34.6042013714	40.320566334	45.7672618357	42.1575162957	31.9422244305	35.2842485191	36.0333184618	34.7618049088	40.6761548555	33.2195233541	33.8198654515	32.2238638661	35.7408826153	38.8395907155	41.6124354499	30.8674353555	37.0613666069	43.6012739391	49.6818147635	37.1503399707	39.4423231874
MCTs10	33.0520348249	36.9664918426	41.1829649149	43.6787355126	35.2573458764	27.93821477	39.6446627713	34.1859102199	0.0	26.2735489621	35.2217325174	31.8090511941	32.4827127049	30.9914230248	33.2634727755	44.55944521	39.2871554974	26.7159426079	33.3045894557	32.2521029024	26.6620291733	34.104847717	35.8787956302	30.1055669252	33.4192708183	30.9518182454	35.3204629925	39.0831952051	33.5714981665	30.0147423158	36.6924382562	42.44042875	33.4500074111	41.0035548376
MCTs11	33.303493402	36.4947030017	40.9473517722	42.7395333417	35.5249269958	29.9586230342	36.545375237	33.582094701	26.2735489621	0.0	31.6657068878	31.0944326635	35.8616707277	31.7603480657	33.7442630083	43.7144411098	35.5539562399	33.3812899046	34.3202466374	34.4598120576	31.4621245708	35.0950277987	34.028856589	33.6213223272	32.3832934239	33.4350182399	40.1953287237	37.7790199187	29.9882955241	31.0479785795	39.7488257436	44.7166374651	31.5698565597	40.8312847572
MCTs12	32.7897079786	29.2555963114	40.0336463138	38.5542468614	33.9745938658	33.9292369255	32.8916346296	34.8958995782	35.2217325174	31.6657068878	0.0	33.8347763015	40.5193182076	29.2089230908	39.8683377946	40.7443044852	39.3159517922	37.1892767388	34.972492889	35.0550818965	36.4744274694	37.7992912967	34.4611256728	30.8106964751	34.6831835948	34.4080620885	37.0693703983	39.1941426866	36.6441544923	35.7157295917	39.9871786544	46.5730084007	35.741625828	38.7633862514
