#taxonomy	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs11	MCTs12	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;NA	6.85929018245451	7.20164994147909	7.28696357855876	8.50812128207604	5.80336837594208	6.94005976941276	8.12519773187217	7.10332859155927	6.37483535899234	6.96353264474361	7.3357638782222	6.69721605901173	5.3918076378485	6.66874085663422	6.71471724477058	8.36487599487626	8.15819620623062	6.31005068791292	7.67275732121634	7.11381321919527	6.90745604014015	5.89214789193902	7.41982883364708	7.17396895681232	6.81846927167681	6.05003146264094	5.61043839852374	6.76424074838434	6.06326598344419	6.96295991440987	6.27542632334633	4.8376165466242	7.26266453166524	8.64965529837564
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	5.94496070385901	5.75977981411969	5.09233541952765	6.94286880886964	5.55613802624546	5.84215257958817	5.75548988014294	5.88003495880339	5.4438066610963	5.06878278410615	5.6573151435539	4.87509569274699	5.28846041551514	4.68374150141987	4.76956811844541	1.26739681244563	4.83692699065776	4.63471893084872	6.40953240483285	5.69697583860072	4.62492351314511	4.96508461589986	5.99945996784187	5.78042097933834	6.07931077183398	5.06915515541608	5.53329186441124	5.24215524937673	5.58636305292557	4.72531602216672	5.18633807797285	6.16841694917943	6.44892223438834	2.7223940697857
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	6.20186939528458	5.93766388492106	3.86558964125746	6.9238401507444	4.28932332526234	4.96806410369576	6.75766867831283	6.17439107183532	4.75286424923986	4.89718175473512	4.43326631047422	4.74202534343077	3.83801396560258	4.65644449759393	5.55335418117131	0.926044136659506	3.03242931110244	5.12965252395634	6.35618685892064	5.65297598354677	6.35212526980066	4.15599643839306	5.97855213207612	5.86051987872986	5.87849299997456	3.85320710774948	4.25349320537999	2.11175707111953	3.51846810379197	4.76755661883127	2.16521979066815	2.61221980595655	5.68417735200835	6.98569590285085
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	-2.10065721930939	-1.03815644988222	-0.832759730309536	-1.82191336143193	3.25549803580489	-1.89057095665497	-0.215203338585237	-1.74635529427462	-1.78341449483977	-0.159758025206873	0.149766903444198	-0.902791610886534	5.62675980571545	-1.63472911622353	-2.10159622591936	-0.659704004652189	-2.14031194844579	-2.77181368186808	-0.112541878565825	-1.32453941308798	-1.05624778867741	7.49682731875238	-1.93118215864048	-1.85725181325083	-2.56473722549645	0.438480147231655	-1.38806115260402	7.99633064529068	4.97643240253815	-2.17520170020352	-1.69608812218098	7.99974628090171	0.143071995264598	0.43230280805763
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	5.41160037007147	-0.722071185443527	1.89906438786597	-1.27186702451266	1.46675088390738	5.0936359744875	1.40886006306784	4.94453157523778	5.75615779341147	5.35999753381682	5.86134257712915	5.58940821933336	5.77363546842979	6.17526022764303	1.52030040763565	0.8145767317935	0.644979838050241	5.61397917793259	-0.151043425920401	5.14954777757527	-0.912489266617765	5.46758670731481	5.46722850379554	5.14511189614593	5.35488454254359	5.12531796693749	3.84210158613919	0.653496260596808	1.76901763483102	6.30574117349216	6.83080294737844	0.515118379955222	5.4953736668841	2.17359285159653
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;NA;NA;NA	4.99522163462573	4.6583006224833	5.54456204448625	5.80140921183063	4.12882013478312	4.9870171684106	6.00323902028258	5.37279063793022	5.64588471049582	5.47224776643815	5.61431240286763	5.25995328959928	4.45448527401712	5.32421424327804	4.62484825288784	5.3589298961405	5.94223773753034	4.88283173585037	5.6660566080352	5.32413944895451	5.27285725034567	5.06018419089763	5.75727319790947	5.21848050411147	5.3317798906273	4.44659898131952	3.91351058124989	5.2272229252131	4.92494780611122	5.30035131331693	5.51714596762393	4.91373458477379	5.20750050049104	5.90169301886375
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris	-0.174764419197499	5.63907682269656	6.31445919430844	1.3291117965281	-0.0509539782678945	-0.70680085964655	2.53468491526084	4.16904473277901	0.942202029980344	0.314437532230233	7.26016244654923	6.00275661388021	1.84097232526635	0.614367291819529	4.40496649474171	2.26840808122682	1.38971830505933	3.91841557125055	2.28715033990925	1.26600861178955	-0.225056387321259	2.23839307375636	7.10911550741007	6.24795227912704	0.629845906802705	3.46606287905219	3.27527369339744	0.810977139693777	2.87860756757216	0.630407233064392	0.669316983192932	1.22063221615238	0.668403766419618	8.37598427647939
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides dorei	5.01394773411492	2.09539633201212	7.03571274635494	3.44999158116427	1.9110827855049	3.68438333364728	7.20835191188688	4.23473511423766	2.11817451848617	5.32562665823571	3.16009309258143	2.5351269592316	3.75266037747901	4.38918497404469	5.75401395918574	7.1713833781913	1.65772761191241	3.5012897141444	3.59080082204346	5.91058040744916	1.98230448205951	3.98113273132287	3.09573402105992	5.13412063747445	5.00199678018801	3.11546686034556	4.83465761167225	2.94813105180235	1.98194697814144	5.32438601674662	0.787902357135236	4.25394548366372	4.93134983183514	4.12072074629352
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides vulgatus	3.55314941744574	5.1533542313501	2.34953212253188	6.59645200384353	3.99958796129581	5.01950246668646	4.03874922928214	5.04727180039917	4.49718281246984	4.951156778178	6.01665013774054	5.15896529304448	2.58638421578712	3.91810933733097	1.93984762271283	6.25928559127538	0.881774527668229	3.2429766905434	5.73966060120865	2.11774958966327	4.76405962061635	0.850566732252586	5.72301329909355	4.37246208830505	4.21396852774017	3.19980247125229	2.30233648550174	5.24413497842934	4.04890437152867	4.67457331470722	1.05427746327409	1.16904484736189	5.20811091162428	6.48833209240249
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	3.98403968041962	2.52964691300952	1.28816474444733	-0.493954577325004	3.85011334849928	4.73745939653612	1.58023260537213	2.85701840720619	5.70913775228409	4.37952850283675	4.48187383988775	4.99410835297837	3.54777744604375	4.70472957631437	0.983667720188011	-0.659704004652189	-0.591782789098686	5.82855085638368	4.73816669395907	5.77175091287217	2.82572287168433	4.58239699805352	3.9593313287731	4.50080877301471	3.98042501097836	5.19941190095491	4.12327129699257	1.46566654235731	4.19773146990978	4.29525276396245	6.0042966210048	2.64488413802088	1.31809083722752	0.934703782164369
