#taxonomy	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs11	MCTs12	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	4960	5781	6930	6974	3475	4691	7667	5725	4572	5294	6013	4844	2241	4067	4982	7729	7127	4771	7168	5210	5326	3066	6346	6231	4541	3162	2907	2127	3482	5401	2522	633	5717	9025
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	1343	1207	35	6	395	1875	726	1209	2136	1154	897	2182	2683	3049	1946	18	9	3003	521	2383	2190	928	694	847	1467	2467	757	395	1163	1983	3756	53	940	19
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	1452	1067	427	1042	1662	1043	389	1001	805	561	535	532	1161	497	542	44	331	515	1033	874	366	430	839	979	1464	994	1778	1076	1657	356	607	996	1344	23
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	13	3	782	9	891	8	29	379	4	18	19	12	1723	14	15	7	4	137	5	9	47	4303	432	10	6	41	11	4655	1058	12	6	5709	10	14
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	480	426	559	687	1269	729	299	251	345	341	455	464	432	571	343	1032	598	248	423	204	216	180	307	333	457	934	1709	374	557	342	694	327	467	135
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;NA	381	234	490	293	319	380	463	444	774	577	432	532	374	611	293	228	465	455	442	438	479	366	498	421	483	388	228	281	611	467	428	246	370	257
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	414	379	77	26	170	338	94	449	453	1244	1078	498	163	283	165	81	698	258	43	14	537	155	368	279	390	368	141	570	467	595	973	36	275	159
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;NA	151	158	200	221	442	152	115	117	148	134	119	226	226	159	180	349	285	149	129	149	90	56	103	115	329	263	411	196	303	91	230	76	106	57
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	226	117	39	268	499	98	7	0	39	1	3	1	1	232	571	191	0	82	0	29	31	178	40	350	0	740	710	1	13	159	128	967	30	87
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae	10	19	1	227	40	23	4	10	108	323	41	90	338	11	257	25	0	4	0	3	9	32	9	32	9	17	45	0	209	155	0	226	555	21
