#taxonomy	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs11	MCTs12	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	7292	7717	8318	7310	5301	7634	8982	8231	8285	8437	8443	8364	7502	8301	7575	8065	8431	8714	8245	8375	9036	8953	8394	7970	7123	6526	4118	8029	6834	8753	7691	6702	7338	9474
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	2219	1743	1364	2078	3526	2015	898	1555	1373	1095	1147	1355	1961	1297	1298	1562	1401	996	1657	1290	720	698	1342	1521	2475	2325	4027	1766	2663	826	1675	1495	1984	242
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	226	117	39	268	499	98	7	0	39	1	3	1	1	232	571	191	0	82	0	29	31	178	40	350	0	740	710	1	13	159	128	967	30	87
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	80	269	1	227	282	57	26	66	116	348	240	90	347	86	273	105	1	5	0	14	61	48	80	73	55	88	252	0	219	157	0	230	556	22
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	3	0	2	0	2	13	0	9	93	0	0	4	20	3	67	0	0	112	2	175	87	0	0	6	192	29	280	0	0	43	389	100	0	12
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	78	61	51	54	108	18	24	61	15	33	101	30	22	10	18	0	11	10	32	31	6	35	43	41	85	74	187	6	113	18	0	53	26	36
k__Bacteria;p__Firmicutes;NA;NA	25	27	24	16	59	28	9	20	24	21	13	24	40	27	40	14	25	30	24	24	16	10	15	16	24	67	69	35	53	12	28	23	15	2
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	3	8	20	18	27	100	1	5	22	24	23	85	1	2	13	1	54	2	3	6	24	22	0	0	15	40	104	23	0	0	10	8	6	93
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	23	36	78	5	12	7	20	3	4	3	4	16	18	9	36	9	5	14	9	29	2	6	7	4	4	4	68	64	9	11	25	50	7	16
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	16	0	25	0	8	10	8	4	6	7	0	0	18	0	63	0	32	15	3	5	1	12	33	6	6	35	93	4	27	8	0	18	23	5
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales	0	0	0	0	0	0	0	0	2	9	0	0	0	0	15	20	7	0	5	3	0	0	20	0	0	0	5	17	0	0	10	251	0	0
k__Bacteria;NA;NA;NA	7	4	27	4	11	8	2	7	9	3	4	6	14	9	5	6	10	11	5	6	5	17	3	3	7	9	10	27	25	4	7	45	4	3
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales	5	10	18	14	9	4	2	11	2	9	5	9	6	12	18	17	8	5	4	4	4	4	1	4	4	47	18	7	20	6	26	2	4	2
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales	11	0	0	0	130	0	14	24	0	0	0	6	34	0	0	0	0	0	0	4	0	0	18	0	0	0	1	0	1	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales	3	4	8	1	7	4	2	3	6	8	10	5	9	5	5	1	4	4	4	3	2	1	2	3	10	9	10	9	6	1	8	2	2	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	2	0	21	0	1	3	2	1	4	1	2	0	0	3	2	1	1	0	2	1	1	1	0	0	0	1	40	0	1	0	1	27	4	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales	0	0	2	0	14	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	11	0	0	0	0	0	11	10	0	0	24	0	0
k__Bacteria;p__Bacteroidetes;NA;NA	1	3	1	4	1	2	1	1	1	2	2	1	2	1	1	2	2	2	1	1	3	2	1	1	1	2	5	1	2	1	1	2	1	2
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	6	1	2	0	4	1	0	1	0	0	0	0	1	3	0	6	9	0	2	1	0	0	0	1	0	5	4	1	2	0	1	0	0	0
