	MCT.f.0375	MCT.f.0376	MCT.f.0377	MCT.f.0378	MCT.f.0379	MCT.f.0380	MCT.f.0381	MCT.f.0382	MCT.f.0383	MCT.f.0384	MCT.f.0385	MCT.f.0386	MCT.f.0387	MCT.f.0388	MCT.f.0389	MCT.f.0390	MCT.f.0391
MCT.f.0375	0.0	5.40874436335	6.77448747153	6.51169487672	6.49296623687	7.49795568046	7.49513429977	9.00651660333	8.10413670179	8.70909409497	7.68656438725	7.18600871283	7.43905066798	7.55306378132	5.11319076292	6.81518915999	7.68737171696
MCT.f.0376	5.40874436335	0.0	6.08940774487	7.09407324574	7.7550184008	7.60583692937	6.91627605106	9.97418201619	7.13422529132	8.70761381476	6.83137360905	8.59827856872	6.75073542931	8.04989795918	6.51539825863	7.03676625289	6.15154683782
MCT.f.0377	6.77448747153	6.08940774487	0.0	5.16706266243	8.19059710968	8.68096664264	7.93916466109	9.27088034924	8.80758934409	8.3763360785	8.01382833753	8.39949729008	9.10840567219	9.12785876993	5.95696149159	8.1677289059	8.14073102216
MCT.f.0378	6.51169487672	7.09407324574	5.16706266243	0.0	7.33027493504	8.87390602298	6.7449745182	9.17600265164	8.96152913841	9.31271262984	8.36349969544	9.06774566954	7.46440471783	9.25059686888	7.11084802516	8.65204672464	9.0270584249
MCT.f.0379	6.49296623687	7.7550184008	8.19059710968	7.33027493504	0.0	8.12505631406	9.74087437211	8.96378445639	9.99751657386	8.71533957845	7.36130196297	6.99678840097	9.52582441927	7.44944964871	7.70545725599	8.00894275574	9.31594409182
MCT.f.0380	7.49795568046	7.60583692937	8.68096664264	8.87390602298	8.12505631406	0.0	6.7611273714	7.24027015961	8.46966123757	8.65449431332	6.48308222519	7.7404578865	8.76523582406	7.58585850556	7.58309976422	8.17019323751	8.03238074907
MCT.f.0381	7.49513429977	6.91627605106	7.93916466109	6.7449745182	9.74087437211	6.7611273714	0.0	8.33698441458	7.57723143275	10.0753057896	8.20245087715	8.70603893487	5.67263553306	9.47583038869	7.58792843526	8.48968707879	5.48763250883
MCT.f.0382	9.00651660333	9.97418201619	9.27088034924	9.17600265164	8.96378445639	7.24027015961	8.33698441458	0.0	8.2604495973	9.35273960378	9.16967061559	8.31680072867	9.12781923455	9.6137587007	9.36040391132	9.52271150764	8.52877276118
MCT.f.0383	8.10413670179	7.13422529132	8.80758934409	8.96152913841	9.99751657386	8.46966123757	7.57723143275	8.2604495973	0.0	9.98731117825	9.70824246547	9.6097750567	6.74137884108	8.77197885196	7.85785600786	8.65158999595	6.7735420025
MCT.f.0384	8.70909409497	8.70761381476	8.3763360785	9.31271262984	8.71533957845	8.65449431332	10.0753057896	9.35273960378	9.98731117825	0.0	7.98367294957	8.6624668435	10.4704088704	8.70038461538	8.30823059559	8.0578112609	10.016757271
MCT.f.0385	7.68656438725	6.83137360905	8.01382833753	8.36349969544	7.36130196297	6.48308222519	8.20245087715	9.16967061559	9.70824246547	7.98367294957	0.0	7.19762737073	8.66935147068	7.95826710817	8.27338186856	8.68151384811	8.02862736839
MCT.f.0386	7.18600871283	8.59827856872	8.39949729008	9.06774566954	6.99678840097	7.7404578865	8.70603893487	8.31680072867	9.6097750567	8.6624668435	7.19762737073	0.0	8.02806652807	7.42461538462	7.47326822784	8.65631545845	8.13365700949
MCT.f.0387	7.43905066798	6.75073542931	9.10840567219	7.46440471783	9.52582441927	8.76523582406	5.67263553306	9.12781923455	6.74137884108	10.4704088704	8.66935147068	8.02806652807	0.0	10.0145945946	8.42094238708	8.68674654035	6.24232005857
MCT.f.0388	7.55306378132	8.04989795918	9.12785876993	9.25059686888	7.44944964871	7.58585850556	9.47583038869	9.6137587007	8.77197885196	8.70038461538	7.95826710817	7.42461538462	10.0145945946	0.0	7.85100451467	6.90639175258	9.13349823322
MCT.f.0389	5.11319076292	6.51539825863	5.95696149159	7.11084802516	7.70545725599	7.58309976422	7.58792843526	9.36040391132	7.85785600786	8.30823059559	8.27338186856	7.47326822784	8.42094238708	7.85100451467	0.0	7.60895487654	7.89644968054
MCT.f.0390	6.81518915999	7.03676625289	8.1677289059	8.65204672464	8.00894275574	8.17019323751	8.48968707879	9.52271150764	8.65158999595	8.0578112609	8.68151384811	8.65631545845	8.68674654035	6.90639175258	7.60895487654	0.0	6.85252996248
MCT.f.0391	7.68737171696	6.15154683782	8.14073102216	9.0270584249	9.31594409182	8.03238074907	5.48763250883	8.52877276118	6.7735420025	10.016757271	8.02862736839	8.13365700949	6.24232005857	9.13349823322	7.89644968054	6.85252996248	0.0
