	MCT.f.0036	MCT.f.0037	MCT.f.0038	MCT.f.0039	MCT.f.0042	MCT.f.0043	MCT.f.0044	MCT.f.0045	MCT.f.0048	MCT.f.0049	MCT.f.0050
MCT.f.0036	0.0	3.71987571295	6.43696787019	6.73554270905	6.97388696453	6.61776023986	6.78868677516	6.72516035371	8.03930996795	7.19656821521	6.35978767602
MCT.f.0037	3.71987571295	0.0	3.49167478456	6.13283358532	7.37816272753	7.02614379085	6.40582929504	6.35163481165	7.56075901328	7.28607320461	6.58942044715
MCT.f.0038	6.43696787019	3.49167478456	0.0	3.09988921081	7.87165524618	7.43475403639	5.78233131999	5.66266886348	7.31654358888	7.726096054	7.16099215769
MCT.f.0039	6.73554270905	6.13283358532	3.09988921081	0.0	8.09336595369	7.41111313242	5.86343392403	5.82719043031	7.86204604665	7.86380436747	6.47324315204
MCT.f.0042	6.97388696453	7.37816272753	7.87165524618	8.09336595369	0.0	4.1022155064	8.0661214838	8.43957240411	8.31686058297	7.14451204438	6.52320298255
MCT.f.0043	6.61776023986	7.02614379085	7.43475403639	7.41111313242	4.1022155064	0.0	4.8027955498	6.94182564719	8.42648401109	6.56760210183	6.19487571273
MCT.f.0044	6.78868677516	6.40582929504	5.78233131999	5.86343392403	8.0661214838	4.8027955498	0.0	2.92360012216	7.02078272389	6.71056766623	6.61483958435
MCT.f.0045	6.72516035371	6.35163481165	5.66266886348	5.82719043031	8.43957240411	6.94182564719	2.92360012216	0.0	7.61394357682	7.33075841921	6.9462558348
MCT.f.0048	8.03930996795	7.56075901328	7.31654358888	7.86204604665	8.31686058297	8.42648401109	7.02078272389	7.61394357682	0.0	5.29335747762	7.61857621992
MCT.f.0049	7.19656821521	7.28607320461	7.726096054	7.86380436747	7.14451204438	6.56760210183	6.71056766623	7.33075841921	5.29335747762	0.0	2.69142579316
MCT.f.0050	6.35978767602	6.58942044715	7.16099215769	6.47324315204	6.52320298255	6.19487571273	6.61483958435	6.9462558348	7.61857621992	2.69142579316	0.0
