	MCT.f.0104	MCT.f.0106	MCT.f.0107	MCT.f.0108	MCT.f.0109	MCT.f.0110	MCT.f.0111	MCT.f.0112	MCT.f.0113	MCT.f.0114	MCT.f.0115	MCT.f.0116	MCT.f.0117	MCT.f.0118	MCT.f.0119
MCT.f.0104	0.0	0.397959183673	0.519650655022	0.592592592593	0.638009049774	0.573604060914	0.541062801932	0.586854460094	0.650862068966	0.720930232558	0.694915254237	0.757322175732	0.651785714286	0.592233009709	0.68
MCT.f.0106	0.397959183673	0.0	0.374407582938	0.558333333333	0.600917431193	0.602941176471	0.56338028169	0.607305936073	0.662447257384	0.715384615385	0.705394190871	0.761316872428	0.703389830508	0.657534246575	0.729957805907
MCT.f.0107	0.519650655022	0.374407582938	0.0	0.328828828829	0.607594936709	0.652173913043	0.603375527426	0.630705394191	0.648221343874	0.684981684982	0.693798449612	0.750957854406	0.736641221374	0.734126984127	0.774436090226
MCT.f.0108	0.592592592593	0.558333333333	0.328828828829	0.0	0.399038461538	0.615044247788	0.658634538153	0.678571428571	0.67816091954	0.639097744361	0.671875	0.763157894737	0.700389105058	0.727272727273	0.758490566038
MCT.f.0109	0.638009049774	0.600917431193	0.607594936709	0.399038461538	0.0	0.42774566474	0.598086124402	0.596153846154	0.62443438914	0.604347826087	0.615740740741	0.753246753247	0.691964285714	0.661904761905	0.714285714286
MCT.f.0110	0.573604060914	0.602941176471	0.652173913043	0.615044247788	0.42774566474	0.0	0.44	0.537634408602	0.54358974359	0.580188679245	0.625615763547	0.699029126214	0.628140703518	0.5	0.596858638743
MCT.f.0111	0.541062801932	0.56338028169	0.603375527426	0.658634538153	0.598086124402	0.44	0.0	0.266272189349	0.540669856459	0.606060606061	0.591549295775	0.643192488263	0.651376146789	0.538860103627	0.63679245283
MCT.f.0112	0.586854460094	0.607305936073	0.630705394191	0.678571428571	0.596153846154	0.537634408602	0.266272189349	0.0	0.416666666667	0.598253275109	0.622119815668	0.690909090909	0.649769585253	0.587939698492	0.672811059908
MCT.f.0113	0.650862068966	0.662447257384	0.648221343874	0.67816091954	0.62443438914	0.54358974359	0.540669856459	0.416666666667	0.0	0.318181818182	0.511961722488	0.654708520179	0.679653679654	0.630841121495	0.666666666667
MCT.f.0114	0.720930232558	0.715384615385	0.684981684982	0.639097744361	0.604347826087	0.580188679245	0.606060606061	0.598253275109	0.318181818182	0.0	0.273684210526	0.639484978541	0.64135021097	0.640350877193	0.668067226891
MCT.f.0115	0.694915254237	0.705394190871	0.693798449612	0.671875	0.615740740741	0.625615763547	0.591549295775	0.622119815668	0.511961722488	0.273684210526	0.0	0.546798029557	0.666666666667	0.678899082569	0.700440528634
MCT.f.0116	0.757322175732	0.761316872428	0.750957854406	0.763157894737	0.753246753247	0.699029126214	0.643192488263	0.690909090909	0.654708520179	0.639484978541	0.546798029557	0.0	0.376404494382	0.621890547264	0.732142857143
MCT.f.0117	0.651785714286	0.703389830508	0.736641221374	0.700389105058	0.691964285714	0.628140703518	0.651376146789	0.649769585253	0.679653679654	0.64135021097	0.666666666667	0.376404494382	0.0	0.406779661017	0.668202764977
MCT.f.0118	0.592233009709	0.657534246575	0.734126984127	0.727272727273	0.661904761905	0.5	0.538860103627	0.587939698492	0.630841121495	0.640350877193	0.678899082569	0.621890547264	0.406779661017	0.0	0.435028248588
MCT.f.0119	0.68	0.729957805907	0.774436090226	0.758490566038	0.714285714286	0.596858638743	0.63679245283	0.672811059908	0.666666666667	0.668067226891	0.700440528634	0.732142857143	0.668202764977	0.435028248588	0.0
