	MCT.f.0121	MCT.f.0122	MCT.f.0123	MCT.f.0124	MCT.f.0125	MCT.f.0126	MCT.f.0127	MCT.f.0128	MCT.f.0129	MCT.f.0130	MCT.f.0131	MCT.f.0132	MCT.f.0133	MCT.f.0134	MCT.f.0135	MCT.f.0136
MCT.f.0121	0.0	1.50864322123	1.69853418287	3.09516340896	4.26017985822	4.62073654412	5.21497378549	3.30109255909	2.83474780433	3.22556499704	4.33637242757	5.7232118197	6.52402271566	5.73627873104	5.04960944303	3.92992936065
MCT.f.0122	1.50864322123	0.0	0.554837028369	2.63508957119	3.93997599742	4.35874245788	5.30909982211	3.41242882944	2.1242455438	3.32608345805	4.58711871723	5.89056766158	6.58353779002	5.65047998686	4.74469236179	3.57211596115
MCT.f.0123	1.69853418287	0.554837028369	0.0	2.29407246925	3.69467827664	4.37661669359	5.32807767905	3.34057931436	2.33746732376	3.2544706918	4.29454524162	5.74883339752	6.55058620307	5.52336141222	4.70045382859	3.62297076707
MCT.f.0124	3.09516340896	2.63508957119	2.29407246925	0.0	1.65289523995	4.50990983334	5.47441365219	3.754926168	3.36382399494	4.05851103629	4.41312423535	5.40958411073	6.07467813356	5.26072685805	4.81418854752	3.7810965087
MCT.f.0125	4.26017985822	3.93997599742	3.69467827664	1.65289523995	0.0	3.63797416889	5.74396784318	3.91655601873	3.65331718151	4.22456965607	4.42260843521	5.04354761121	5.83586350255	5.27513518641	4.95410480135	4.48498221996
MCT.f.0126	4.62073654412	4.35874245788	4.37661669359	4.50990983334	3.63797416889	0.0	2.98447335797	4.88380037423	4.60950615649	4.81640849111	5.67426118029	6.37557487645	6.34205852931	5.74756167527	5.83148274715	5.43126769752
MCT.f.0127	5.21497378549	5.30909982211	5.32807767905	5.47441365219	5.74396784318	2.98447335797	0.0	3.85603938545	5.27872127872	4.71561771562	5.94439194439	7.10785677345	6.61062365416	6.28634016586	5.66136566137	5.08914069801
MCT.f.0128	3.30109255909	3.41242882944	3.34057931436	3.754926168	3.91655601873	4.88380037423	3.85603938545	0.0	2.12273504274	1.8996123702	3.43961608667	5.35888517608	5.90473716938	5.13817885923	3.64687764688	3.06794223066
MCT.f.0129	2.83474780433	2.1242455438	2.33746732376	3.36382399494	3.65331718151	4.60950615649	5.27872127872	2.12273504274	0.0	2.46512820513	4.22069454069	5.29265561876	6.12106675172	5.32497991968	3.51293139293	2.74318238213
MCT.f.0130	3.22556499704	3.32608345805	3.2544706918	4.05851103629	4.22456965607	4.81640849111	4.71561771562	1.8996123702	2.46512820513	0.0	2.59610909611	5.58609985941	5.97362209318	4.65498357065	3.52704502705	3.25179793325
MCT.f.0131	4.33637242757	4.58711871723	4.29454524162	4.41312423535	4.42260843521	5.67426118029	5.94439194439	3.43961608667	4.22069454069	2.59610909611	0.0	3.98878943252	5.68657946129	4.92079549429	4.72410872411	4.24932795699
MCT.f.0132	5.7232118197	5.89056766158	5.74883339752	5.40958411073	5.04354761121	6.37557487645	7.10785677345	5.35888517608	5.29265561876	5.58609985941	3.98878943252	0.0	3.53698304731	6.11505701262	5.91914954777	5.40863888601
MCT.f.0133	6.52402271566	6.58353779002	6.55058620307	6.07467813356	5.83586350255	6.34205852931	6.61062365416	5.90473716938	6.12106675172	5.97362209318	5.68657946129	3.53698304731	0.0	3.17765769366	5.3678511854	5.85262890965
MCT.f.0134	5.73627873104	5.65047998686	5.52336141222	5.26072685805	5.27513518641	5.74756167527	6.28634016586	5.13817885923	5.32497991968	4.65498357065	4.92079549429	6.11505701262	3.17765769366	0.0	3.90026133641	4.87867113616
MCT.f.0135	5.04960944303	4.74469236179	4.70045382859	4.81418854752	4.95410480135	5.83148274715	5.66136566137	3.64687764688	3.51293139293	3.52704502705	4.72410872411	5.91914954777	5.3678511854	3.90026133641	0.0	2.293583596
MCT.f.0136	3.92992936065	3.57211596115	3.62297076707	3.7810965087	4.48498221996	5.43126769752	5.08914069801	3.06794223066	2.74318238213	3.25179793325	4.24932795699	5.40863888601	5.85262890965	4.87867113616	2.293583596	0.0
