#taxonomy	MCT.f.0138	MCT.f.0139	MCT.f.0141	MCT.f.0142	MCT.f.0143	MCT.f.0144	MCT.f.0145	MCT.f.0146	MCT.f.0147	MCT.f.0148	MCT.f.0149	MCT.f.0150	MCT.f.0151	MCT.f.0152	MCT.f.0153
k__Bacteria;NA;NA;NA;NA;NA;NA	2.05687751556561	1.0485328068877	0.933039185229456	1.49646860774374	1.54030956157343	1.06481161808035	1.16836112041456	0.980987161236818	0.877348389417677	1.05922877000289	0.969083160325369	0.994107073098497	1.44888998286169	1.08424865174273	1.19053746064032
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	-4.006907693122	-4.11625316703581	-4.04771518140057	-3.70702999590861	-4.20744454281688	-3.83400161916811	-3.71822152501171	-4.13039622986831	-3.7077807568359	-3.58034284270254	-3.19758206347636	-2.59172054931477	-2.74436688991319	-3.83010913629683	-2.97328898384574
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	-4.55586611529588	-4.28180960172673	-3.71135171391192	-3.81276256927936	-3.29861435484089	-3.75741583847904	-4.28732005058867	-2.56479144923644	-3.82500173064003	-3.87448464867132	-3.8907292440363	-2.74929551693621	-2.76478782901259	-3.60369075528835	-2.97371247273119
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-4.60931744828998	-4.72433440898212	-4.32836232546869	-3.98914664139123	-4.13576600318259	-4.09391913544176	-3.99698214383136	-3.66340373790455	-3.58130563428197	-4.06700534692435	-4.27054916615405	-2.55747972698179	-2.6847190536993	-3.9606405834299	-2.75268012753347
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-4.54080758860155	-4.53916887500309	-4.3556943951538	-3.91574930289251	-3.92985878926079	-4.23104962477787	-3.980596827836	-3.96348177631454	-3.8172098238611	-3.77662794607925	-4.44239574205283	-2.52019661834384	-2.69099926713542	-3.82366270958065	-2.83439039061765
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-4.41008363686309	-4.45131098885432	-4.07373684981174	-3.60150075144638	-4.13576071812595	-3.81828008265812	-4.2298488727192	-3.66340373790455	-3.79768317653803	-4.02443320471975	-4.2220290298339	-2.5797237846696	-2.62786357168857	-3.86757254829477	-2.94525211390022
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	-2.90829540445389	-3.19996243516166	-3.71135171391192	-3.28684776362782	-3.0109322823891	-3.09407146527932	-4.06941856957242	-3.66340373790455	-3.75938706902886	-3.17487773459437	-3.19758206347636	-2.53283036433038	-2.58329385702405	-3.02114574666596	-2.88616399541212
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-4.27184961975912	-4.69337011133907	-4.17930641574162	-4.0963928748315	-4.24306943914864	-4.16054673195558	-3.94304234688305	-3.92652683841951	-3.57802624980919	-4.42842726141095	-4.20044162942752	-2.85402597938633	-2.68455242695441	-4.00859928017318	-2.92454303405152
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-2.13510551622041	-3.0176408783677	-2.79506098203776	-3.28684776362782	-3.92939394516837	-2.80638939282754	-3.02507434445177	-3.25793862979639	-3.97214837743188	-3.17487773459437	-3.8907292440363	-2.77153360307154	-2.62999967175039	-2.17384788627875	-2.87561619070585
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	-0.423388754665889	-1.07173072931239	-0.6432987787783	-0.801941113839824	0.477970679692156	-0.973807929079231	-1.7723113759564	-2.15932634112828	-1.47768317894891	-1.27775774970849	-0.972958511952024	0.588641964990333	-1.16606979517451	-0.40618596862976	-0.0559949581044163
