	MCT.f.0223	MCT.f.0224	MCT.f.0225	MCT.f.0226	MCT.f.0227	MCT.f.0228	MCT.f.0229	MCT.f.0230	MCT.f.0231	MCT.f.0232	MCT.f.0233	MCT.f.0234	MCT.f.0235	MCT.f.0236	MCT.f.0238
MCT.f.0223	0.0	3.64987305544	6.34684031375	7.58499859202	8.50849513076	8.13264604811	7.39458239278	6.47075881147	7.69697224558	7.94610917538	7.40846007972	7.59506075534	9.16627834731	7.50224906796	7.7409400012
MCT.f.0224	3.64987305544	0.0	3.36212949078	7.26255280961	8.15675728372	7.57919776576	6.69833887846	6.71665916779	7.69794299148	7.92007985484	6.86901139913	7.301881048	9.15632801476	8.36496322151	7.86044562193
MCT.f.0225	6.34684031375	3.36212949078	0.0	5.12362554206	7.63333307923	7.23346110993	6.67104247603	6.15149086721	6.69262011933	7.19711085523	6.31280858176	7.30559084406	9.20000579979	7.99426652402	7.77921788044
MCT.f.0226	7.58499859202	7.26255280961	5.12362554206	0.0	4.33038486948	7.86384196475	7.63318535798	7.01526367184	7.41977836928	7.37698692927	6.84358057187	7.74852815781	8.60213888722	8.04733007367	7.59229701839
MCT.f.0227	8.50849513076	8.15675728372	7.63333307923	4.33038486948	0.0	4.63236510793	7.24696382248	8.34111863682	8.42978382359	8.30610240891	7.82401476777	7.13254909921	6.51114124782	7.32441700843	8.81580538067
MCT.f.0228	8.13264604811	7.57919776576	7.23346110993	7.86384196475	4.63236510793	0.0	4.1262881309	7.98279583273	8.39914051249	8.35254009255	7.55145961332	7.02852001607	6.70329795588	7.6005729682	8.58768284126
MCT.f.0229	7.39458239278	6.69833887846	6.67104247603	7.63318535798	7.24696382248	4.1262881309	0.0	5.35134206919	8.38423718549	8.32226687955	7.37454808937	7.93222315382	8.18320013015	7.77394699279	7.93122806188
MCT.f.0230	6.47075881147	6.71665916779	6.15149086721	7.01526367184	8.34111863682	7.98279583273	5.35134206919	0.0	4.77886178862	7.21016284259	7.00051692583	8.4985354673	9.71781428732	8.52659688471	7.86329792241
MCT.f.0231	7.69697224558	7.69794299148	6.69262011933	7.41977836928	8.42978382359	8.39914051249	8.38423718549	4.77886178862	0.0	3.29918699187	6.93854260765	7.4997630662	9.06517248956	8.73111105895	8.13843698123
MCT.f.0232	7.94610917538	7.92007985484	7.19711085523	7.37698692927	8.30610240891	8.35254009255	8.32226687955	7.21016284259	3.29918699187	0.0	4.83651849506	7.71159117305	8.72903914367	8.67490517886	7.87295182152
MCT.f.0233	7.40846007972	6.86901139913	6.31280858176	6.84358057187	7.82401476777	7.55145961332	7.37454808937	7.00051692583	6.93854260765	4.83651849506	0.0	4.17351675485	9.23506081839	7.68941257295	7.91400450109
MCT.f.0234	7.59506075534	7.301881048	7.30559084406	7.74852815781	7.13254909921	7.02852001607	7.93222315382	8.4985354673	7.4997630662	7.71159117305	4.17351675485	0.0	5.53754182754	8.0316612127	7.1700104712
MCT.f.0235	9.16627834731	9.15632801476	9.20000579979	8.60213888722	6.51114124782	6.70329795588	8.18320013015	9.71781428732	9.06517248956	8.72903914367	9.23506081839	5.53754182754	0.0	5.33798740993	8.70056836942
MCT.f.0236	7.50224906796	8.36496322151	7.99426652402	8.04733007367	7.32441700843	7.6005729682	7.77394699279	8.52659688471	8.73111105895	8.67490517886	7.68941257295	8.0316612127	5.33798740993	0.0	8.15383902161
MCT.f.0238	7.7409400012	7.86044562193	7.77921788044	7.59229701839	8.81580538067	8.58768284126	7.93122806188	7.86329792241	8.13843698123	7.87295182152	7.91400450109	7.1700104712	8.70056836942	8.15383902161	0.0
