	MCT.f.0291	MCT.f.0292	MCT.f.0293	MCT.f.0294	MCT.f.0295	MCT.f.0296	MCT.f.0297	MCT.f.0298	MCT.f.0299	MCT.f.0300	MCT.f.0301	MCT.f.0302	MCT.f.0303	MCT.f.0304	MCT.f.0305	MCT.f.0306
MCT.f.0291	0.0	0.466666666667	0.637795275591	0.646153846154	0.760736196319	0.784946236559	0.668789808917	0.550387596899	0.702702702703	0.776397515528	0.791666666667	0.73417721519	0.765517241379	0.878571428571	0.792	0.616822429907
MCT.f.0292	0.466666666667	0.0	0.25	0.72	0.802197802198	0.691891891892	0.611111111111	0.681818181818	0.783625730994	0.842391304348	0.796703296703	0.736842105263	0.757961783439	0.77304964539	0.734848484848	0.666666666667
MCT.f.0293	0.637795275591	0.25	0.0	0.628787878788	0.789473684211	0.672413793103	0.61935483871	0.72	0.806060606061	0.845714285714	0.811428571429	0.75	0.748299319728	0.753846153846	0.741935483871	0.703389830508
MCT.f.0294	0.646153846154	0.72	0.628787878788	0.0	0.5	0.79381443299	0.730994152047	0.717105263158	0.709677419355	0.77245508982	0.821229050279	0.783625730994	0.793548387097	0.862068965517	0.748031496063	0.64347826087
MCT.f.0295	0.760736196319	0.802197802198	0.789473684211	0.5	0.0	0.54748603352	0.760204081633	0.71511627907	0.551282051282	0.672413793103	0.796954314721	0.78125	0.82967032967	0.895953757225	0.798701298701	0.802631578947
MCT.f.0296	0.784946236559	0.691891891892	0.672413793103	0.79381443299	0.54748603352	0.0	0.320754716981	0.717277486911	0.697916666667	0.725	0.786046511628	0.690355329949	0.759162303665	0.844086021505	0.819209039548	0.83615819209
MCT.f.0297	0.668789808917	0.611111111111	0.61935483871	0.730994152047	0.760204081633	0.320754716981	0.0	0.592592592593	0.726775956284	0.747368421053	0.79802955665	0.711229946524	0.75	0.835294117647	0.807453416149	0.722972972973
MCT.f.0298	0.550387596899	0.681818181818	0.72	0.717105263158	0.71511627907	0.717277486911	0.592592592593	0.0	0.325396825397	0.690909090909	0.731428571429	0.726744186047	0.777777777778	0.842105263158	0.740740740741	0.619834710744
MCT.f.0299	0.702702702703	0.783625730994	0.806060606061	0.709677419355	0.551282051282	0.697916666667	0.726775956284	0.325396825397	0.0	0.506756756757	0.687861271676	0.727272727273	0.805882352941	0.847133757962	0.703703703704	0.716417910448
MCT.f.0300	0.776397515528	0.842391304348	0.845714285714	0.77245508982	0.672413793103	0.725	0.747368421053	0.690909090909	0.506756756757	0.0	0.377622377622	0.698863636364	0.746987951807	0.8	0.783783783784	0.762237762238
MCT.f.0301	0.791666666667	0.796703296703	0.811428571429	0.821229050279	0.796954314721	0.786046511628	0.79802955665	0.731428571429	0.687861271676	0.377622377622	0.0	0.512658227848	0.741176470588	0.777070063694	0.8	0.788079470199
MCT.f.0302	0.73417721519	0.736842105263	0.75	0.783625730994	0.78125	0.690355329949	0.711229946524	0.726744186047	0.727272727273	0.698863636364	0.512658227848	0.0	0.3515625	0.714285714286	0.796052631579	0.783783783784
MCT.f.0303	0.765517241379	0.757961783439	0.748299319728	0.793548387097	0.82967032967	0.759162303665	0.75	0.777777777778	0.805882352941	0.746987951807	0.741176470588	0.3515625	0.0	0.526315789474	0.763358778626	0.786259541985
MCT.f.0304	0.878571428571	0.77304964539	0.753846153846	0.862068965517	0.895953757225	0.844086021505	0.835294117647	0.842105263158	0.847133757962	0.8	0.777070063694	0.714285714286	0.526315789474	0.0	0.526315789474	0.798245614035
MCT.f.0305	0.792	0.734848484848	0.741935483871	0.748031496063	0.798701298701	0.819209039548	0.807453416149	0.740740740741	0.703703703704	0.783783783784	0.8	0.796052631579	0.763358778626	0.526315789474	0.0	0.476744186047
MCT.f.0306	0.616822429907	0.666666666667	0.703389830508	0.64347826087	0.802631578947	0.83615819209	0.722972972973	0.619834710744	0.716417910448	0.762237762238	0.788079470199	0.783783783784	0.786259541985	0.798245614035	0.476744186047	0.0
