	MCT.f.0224	MCT.f.0225	MCT.f.0226	MCT.f.0227	MCT.f.0228	MCT.f.0229	MCT.f.0230	MCT.f.0231	MCT.f.0232	MCT.f.0233	MCT.f.0234	MCT.f.0235	MCT.f.0236	MCT.f.0238
MCT.f.0224	0.0	3.04673448327	5.32349585314	7.43540669856	7.53685837379	6.9680787659	6.56916996047	6.42832407329	7.29727537457	6.85017121681	7.10235901831	7.92479423762	7.112694027	6.53570771921
MCT.f.0225	3.04673448327	0.0	3.99488833845	6.27173643012	7.33852739639	6.82096415462	6.21920459005	6.5410983873	7.09547400317	6.79017273576	6.62204237547	7.86443225157	8.05147223209	7.23933559125
MCT.f.0226	5.32349585314	3.99488833845	0.0	3.15219269546	4.69723376974	6.95218352455	6.84586388067	6.7200301453	6.81858335512	6.61873246562	6.60418863667	7.58284587166	7.39918950765	7.01239867775
MCT.f.0227	7.43540669856	6.27173643012	3.15219269546	0.0	2.55430388187	4.73719100156	6.64988253781	7.25676854223	7.57142445446	7.24274665637	6.36381255256	6.08713167743	6.52937208601	8.33595161293
MCT.f.0228	7.53685837379	7.33852739639	4.69723376974	2.55430388187	0.0	2.9342196161	5.40859533803	7.71839188571	7.84010771089	7.35906193078	6.65937592261	6.02045130369	6.7658653805	8.20794571656
MCT.f.0229	6.9680787659	6.82096415462	6.95218352455	4.73719100156	2.9342196161	0.0	3.41073895898	6.1108172112	7.74842769443	7.30249293872	6.74515894322	6.1741003567	6.99703313829	8.23509937481
MCT.f.0230	6.56916996047	6.21920459005	6.84586388067	6.64988253781	5.40859533803	3.41073895898	0.0	3.83931418002	5.93097804691	6.97407170598	7.24032266838	7.65927882046	7.71275090154	7.67114141767
MCT.f.0231	6.42832407329	6.5410983873	6.7200301453	7.25676854223	7.71839188571	6.1108172112	3.83931418002	0.0	2.53359860991	4.56035338569	6.73801745614	8.06152433927	7.85351757903	7.56888122041
MCT.f.0232	7.29727537457	7.09547400317	6.81858335512	7.57142445446	7.84010771089	7.74842769443	5.93097804691	2.53359860991	0.0	2.84338896638	5.12366343178	8.19101234533	8.0316308316	7.552236074
MCT.f.0233	6.85017121681	6.79017273576	6.61873246562	7.24274665637	7.35906193078	7.30249293872	6.97407170598	4.56035338569	2.84338896638	0.0	2.62472159327	5.59447705329	7.34527754764	7.38461599117
MCT.f.0234	7.10235901831	6.62204237547	6.60418863667	6.36381255256	6.65937592261	6.74515894322	7.24032266838	6.73801745614	5.12366343178	2.62472159327	0.0	3.51793833663	5.62231282431	7.00997938205
MCT.f.0235	7.92479423762	7.86443225157	7.58284587166	6.08713167743	6.02045130369	6.1741003567	7.65927882046	8.06152433927	8.19101234533	5.59447705329	3.51793833663	0.0	3.12047090933	8.04343725708
MCT.f.0236	7.112694027	8.05147223209	7.39918950765	6.52937208601	6.7658653805	6.99703313829	7.71275090154	7.85351757903	8.0316308316	7.34527754764	5.62231282431	3.12047090933	0.0	5.47824642223
MCT.f.0238	6.53570771921	7.23933559125	7.01239867775	8.33595161293	8.20794571656	8.23509937481	7.67114141767	7.56888122041	7.552236074	7.38461599117	7.00997938205	8.04343725708	5.47824642223	0.0
