	MCT.f.0513	MCT.f.0514	MCT.f.0515	MCT.f.0516	MCT.f.0517	MCT.f.0519	MCT.f.0520	MCT.f.0522	MCT.f.0523	MCT.f.0524	MCT.f.0525	MCT.f.0526	MCT.f.0527
MCT.f.0513	0.0	0.170124481328	0.314741035857	0.7	0.716845878136	0.662921348315	0.657480314961	0.682432432432	0.698996655518	0.727598566308	0.660516605166	0.698347107438	0.68345323741
MCT.f.0514	0.170124481328	0.0	0.155737704918	0.577464788732	0.653846153846	0.628571428571	0.676258992806	0.663461538462	0.7	0.730897009967	0.650519031142	0.684615384615	0.672297297297
MCT.f.0515	0.314741035857	0.155737704918	0.0	0.503875968992	0.593869731801	0.618867924528	0.703703703704	0.691803278689	0.736507936508	0.774410774411	0.703832752613	0.693548387097	0.674911660777
MCT.f.0516	0.7	0.577464788732	0.503875968992	0.0	0.264864864865	0.490566037736	0.700854700855	0.725631768953	0.773519163763	0.790874524715	0.716535433071	0.688679245283	0.699604743083
MCT.f.0517	0.716845878136	0.653846153846	0.593869731801	0.264864864865	0.0	0.415789473684	0.6866359447	0.715384615385	0.729007633588	0.764462809917	0.704641350211	0.685279187817	0.68085106383
MCT.f.0519	0.662921348315	0.628571428571	0.618867924528	0.490566037736	0.415789473684	0.0	0.404494382022	0.640816326531	0.687747035573	0.726495726496	0.651982378855	0.642105263158	0.620535714286
MCT.f.0520	0.657480314961	0.676258992806	0.703703703704	0.700854700855	0.6866359447	0.404494382022	0.0	0.525581395349	0.688796680498	0.700460829493	0.625592417062	0.67032967033	0.731601731602
MCT.f.0522	0.682432432432	0.663461538462	0.691803278689	0.725631768953	0.715384615385	0.640816326531	0.525581395349	0.0	0.270142180095	0.560869565217	0.649402390438	0.74025974026	0.733333333333
MCT.f.0523	0.698996655518	0.7	0.736507936508	0.773519163763	0.729007633588	0.687747035573	0.688796680498	0.270142180095	0.0	0.358208955224	0.524017467249	0.765957446809	0.746323529412
MCT.f.0524	0.727598566308	0.730897009967	0.774410774411	0.790874524715	0.764462809917	0.726495726496	0.700460829493	0.560869565217	0.358208955224	0.0	0.32967032967	0.63829787234	0.736625514403
MCT.f.0525	0.660516605166	0.650519031142	0.703832752613	0.716535433071	0.704641350211	0.651982378855	0.625592417062	0.649402390438	0.524017467249	0.32967032967	0.0	0.37037037037	0.568181818182
MCT.f.0526	0.698347107438	0.684615384615	0.693548387097	0.688679245283	0.685279187817	0.642105263158	0.67032967033	0.74025974026	0.765957446809	0.63829787234	0.37037037037	0.0	0.420118343195
MCT.f.0527	0.68345323741	0.672297297297	0.674911660777	0.699604743083	0.68085106383	0.620535714286	0.731601731602	0.733333333333	0.746323529412	0.736625514403	0.568181818182	0.420118343195	0.0
