	MCT.f.0055	MCT.f.0056	MCT.f.0057	MCT.f.0058	MCT.f.0059	MCT.f.0060	MCT.f.0061	MCT.f.0063	MCT.f.0065	MCT.f.0066	MCT.f.0067	MCT.f.0068
MCT.f.0055	0.0	0.238596491228	0.38064516129	0.523676880223	0.638356164384	0.658536585366	0.726315789474	0.799450549451	0.80055401662	0.706349206349	0.67012987013	0.650632911392
MCT.f.0056	0.238596491228	0.0	0.183098591549	0.366366366366	0.492625368732	0.613079019074	0.675531914894	0.774456521739	0.771978021978	0.69689119171	0.633766233766	0.618686868687
MCT.f.0057	0.38064516129	0.183098591549	0.0	0.250803858521	0.403125	0.537356321839	0.692913385827	0.743732590529	0.733711048159	0.662234042553	0.623036649215	0.608142493639
MCT.f.0058	0.523676880223	0.366366366366	0.250803858521	0.0	0.203333333333	0.387387387387	0.562841530055	0.736147757256	0.698630136986	0.624352331606	0.60101010101	0.59068627451
MCT.f.0059	0.638356164384	0.492625368732	0.403125	0.203333333333	0.0	0.243902439024	0.459375	0.718390804598	0.664652567976	0.585227272727	0.584239130435	0.573684210526
MCT.f.0060	0.658536585366	0.613079019074	0.537356321839	0.387387387387	0.243902439024	0.0	0.301038062284	0.594936708861	0.705882352941	0.641095890411	0.619680851064	0.60824742268
MCT.f.0061	0.726315789474	0.675531914894	0.692913385827	0.562841530055	0.459375	0.301038062284	0.0	0.448028673835	0.734513274336	0.692722371968	0.652519893899	0.650510204082
MCT.f.0063	0.799450549451	0.774456521739	0.743732590529	0.736147757256	0.718390804598	0.594936708861	0.448028673835	0.0	0.625899280576	0.692537313433	0.708683473389	0.724867724868
MCT.f.0065	0.80055401662	0.771978021978	0.733711048159	0.698630136986	0.664652567976	0.705882352941	0.734513274336	0.625899280576	0.0	0.337164750958	0.471571906355	0.542682926829
MCT.f.0066	0.706349206349	0.69689119171	0.662234042553	0.624352331606	0.585227272727	0.641095890411	0.692722371968	0.692537313433	0.337164750958	0.0	0.21875	0.315457413249
MCT.f.0067	0.67012987013	0.633766233766	0.623036649215	0.60101010101	0.584239130435	0.619680851064	0.652519893899	0.708683473389	0.471571906355	0.21875	0.0	0.124579124579
MCT.f.0068	0.650632911392	0.618686868687	0.608142493639	0.59068627451	0.573684210526	0.60824742268	0.650510204082	0.724867724868	0.542682926829	0.315457413249	0.124579124579	0.0
