	MCT.f.0209	MCT.f.0211	MCT.f.0213	MCT.f.0214	MCT.f.0215	MCT.f.0216	MCT.f.0218	MCT.f.0219	MCT.f.0220	MCT.f.0221
MCT.f.0209	0.0	3.42539325316	6.32853736561	5.99679913151	6.94105436908	6.73473467715	7.78398893499	7.03988248319	7.01049058168	6.72622961804
MCT.f.0211	3.42539325316	0.0	4.01176157961	4.8772855281	7.07574084897	6.66384561573	7.67198493409	7.40994600789	7.31559796422	6.45658232275
MCT.f.0213	6.32853736561	4.01176157961	0.0	2.06213735216	4.00311439372	6.30974471297	7.75789502386	7.68217099841	7.67224675766	6.49970704991
MCT.f.0214	5.99679913151	4.8772855281	2.06213735216	0.0	2.78547172806	5.39803503835	7.60315396718	7.51114145707	7.25953641817	6.44538215112
MCT.f.0215	6.94105436908	7.07574084897	4.00311439372	2.78547172806	0.0	3.50013901195	6.78592303848	7.58753066515	7.59059720954	6.96309198342
MCT.f.0216	6.73473467715	6.66384561573	6.30974471297	5.39803503835	3.50013901195	0.0	4.64646562681	6.22766537648	7.43707201689	7.00639268859
MCT.f.0218	7.78398893499	7.67198493409	7.75789502386	7.60315396718	6.78592303848	4.64646562681	0.0	2.75578039626	4.22443720594	5.67516493656
MCT.f.0219	7.03988248319	7.40994600789	7.68217099841	7.51114145707	7.58753066515	6.22766537648	2.75578039626	0.0	1.82665661918	3.59435929078
MCT.f.0220	7.01049058168	7.31559796422	7.67224675766	7.25953641817	7.59059720954	7.43707201689	4.22443720594	1.82665661918	0.0	2.35746649685
MCT.f.0221	6.72622961804	6.45658232275	6.49970704991	6.44538215112	6.96309198342	7.00639268859	5.67516493656	3.59435929078	2.35746649685	0.0
