#taxonomy	MCT.f.0225	MCT.f.0226	MCT.f.0227	MCT.f.0228	MCT.f.0229	MCT.f.0230	MCT.f.0231	MCT.f.0232	MCT.f.0233	MCT.f.0234	MCT.f.0235	MCT.f.0236	MCT.f.0238
k__Bacteria;NA;NA;NA;NA;NA;NA	1.38307396420488	1.54069696857703	1.25640471146138	0.505133335455747	1.5184124943041	0.916582878180938	1.12385588810516	1.03253625627693	1.6886657531675	1.18673537113286	1.14850478778044	0.739150249962404	1.73732131572048
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	-3.18693234807953	-2.99841210570459	-1.90059570968874	-2.92781954457452	-3.9517551291706	-3.13778572727863	-2.71128607298703	-3.70366219211756	-2.84661830535643	-3.20673241076562	-4.25358052374782	-3.06798430491316	-2.63655474228879
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	-2.40111566971338	-2.88868417283551	-2.31017065838333	-2.53938910226768	-2.56546076805071	-1.83068803607455	-2.18065782192486	-3.48051864080336	-2.62347475404222	-2.82059781409961	-3.94524541302632	-3.14329480810977	-2.72358979440373
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-3.25082131536231	-3.15499385161057	-2.44770602011086	-3.26689243030604	-4.23566172945203	-3.35659183038407	-4.53084570543794	-4.86732864313254	-4.19817169156821	-3.31568464263434	-4.44365343571912	-3.06285430090926	-2.75997038668586
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-3.34126129796777	-2.87167445235697	-2.59925054594492	-3.18396883514899	-4.19008963145007	-3.34988152214165	-4.57284793263067	-4.71530597576835	-4.11842281170553	-3.11503789609224	-4.39166447129904	-3.22881604851361	-2.68362976047778
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-3.07115306054925	-3.11250037399689	-2.27469869259971	-2.90018444458015	-4.33045198849812	-3.13202349126031	-4.64546541761263	-4.9333562756441	-4.10500241788926	-3.30207052060694	-4.21497091100314	-3.10307823843824	-2.76768320574967
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	-2.80658077782154	-1.85213216341461	-1.90059570968874	-2.94705690104353	-2.85314284050249	-1.83068803607455	-2.52896451619307	-3.48051864080336	-0.900708156301116	-2.41513270599145	-3.02895468115216	-2.95361703425221	-2.66762273107879
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-3.60646434495299	-3.20352612930351	-2.31514118261212	-2.92836979290843	-3.9517551291706	-2.95224162117119	-3.91525887731296	-4.68004352324722	-4.1082896569199	-3.21180881503001	-3.53978030491816	-2.79925990830836	-2.77003777286777
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	0.350419643328569	0.39915963519189	-0.0287935327871445	-1.44077681359957	-0.368236190714489	-0.801068618893395	-1.40295325333685	-1.56359602862129	-1.23718039292233	0.199827072044752	0.197889313365213	0.409671048832162	1.25634865510417
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	0.470563955170633	0.345092413921614	0.773552939737793	0.505133335455747	0.150888235866197	0.567207236723817	-0.304340964668737	-0.931073469877784	-0.18986139864177	0.629389731731977	0.0155677565712583	-0.308168744318155	0.36904546010327
