	MCT.f.0327	MCT.f.0329	MCT.f.0330	MCT.f.0331	MCT.f.0334	MCT.f.0335	MCT.f.0336	MCT.f.0337	MCT.f.0338	MCT.f.0340
MCT.f.0327	0.0	0.426523297491	0.585034013605	0.627627627628	0.53795379538	0.538461538462	0.602523659306	0.645962732919	0.690690690691	0.75
MCT.f.0329	0.426523297491	0.0	0.259259259259	0.354609929078	0.598130841121	0.6125	0.606811145511	0.653495440729	0.697058823529	0.751445086705
MCT.f.0330	0.585034013605	0.259259259259	0.0	0.207317073171	0.635782747604	0.667721518987	0.627009646302	0.666666666667	0.707692307692	0.717868338558
MCT.f.0331	0.627627627628	0.354609929078	0.207317073171	0.0	0.504792332268	0.633136094675	0.662857142857	0.679083094556	0.712290502793	0.703170028818
MCT.f.0334	0.53795379538	0.598130841121	0.635782747604	0.504792332268	0.0	0.27027027027	0.466216216216	0.580952380952	0.665671641791	0.682779456193
MCT.f.0335	0.538461538462	0.6125	0.667721518987	0.633136094675	0.27027027027	0.0	0.340740740741	0.5	0.61320754717	0.693009118541
MCT.f.0336	0.602523659306	0.606811145511	0.627009646302	0.662857142857	0.466216216216	0.340740740741	0.0	0.22619047619	0.392086330935	0.624605678233
MCT.f.0337	0.645962732919	0.653495440729	0.666666666667	0.679083094556	0.580952380952	0.5	0.22619047619	0.0	0.211382113821	0.494736842105
MCT.f.0338	0.690690690691	0.697058823529	0.707692307692	0.712290502793	0.665671641791	0.61320754717	0.392086330935	0.211382113821	0.0	0.35632183908
MCT.f.0340	0.75	0.751445086705	0.717868338558	0.703170028818	0.682779456193	0.693009118541	0.624605678233	0.494736842105	0.35632183908	0.0
