	MCT.f.0378	MCT.f.0379	MCT.f.0380	MCT.f.0381	MCT.f.0382	MCT.f.0383	MCT.f.0384	MCT.f.0385	MCT.f.0386	MCT.f.0387	MCT.f.0388	MCT.f.0389	MCT.f.0390	MCT.f.0391
MCT.f.0378	0.0	7.65163307459	13.0925906406	7.90301431833	12.7913187159	7.11761300134	9.6368860051	12.1645318017	9.21376668278	10.9046778157	6.90986766118	8.91653567533	8.07926363077	9.70739921256
MCT.f.0379	7.65163307459	0.0	9.88812004662	7.42220686011	11.7646021413	10.0680274989	10.5893587692	12.277547385	10.6621132957	9.10460729294	8.40706522513	11.9775784013	10.6467690334	10.2453916917
MCT.f.0380	13.0925906406	9.88812004662	0.0	10.686259974	12.5015646551	14.6242134804	13.4987147498	13.0637639352	13.6546405915	10.8463768683	13.8742246864	16.078967409	14.4542487922	13.1451868322
MCT.f.0381	7.90301431833	7.42220686011	10.686259974	0.0	11.8045379296	8.54556696838	10.9774581247	12.1260454347	10.97658117	8.3920625295	8.41360402526	11.7075306238	9.73820841695	9.57173826749
MCT.f.0382	12.7913187159	11.7646021413	12.5015646551	11.8045379296	0.0	11.3216865611	10.259404574	9.43052418648	10.9958888749	10.9086328854	13.7046504456	14.3410316227	14.0833889393	9.71095640081
MCT.f.0383	7.11761300134	10.0680274989	14.6242134804	8.54556696838	11.3216865611	0.0	8.44311494628	10.5049175562	9.41537700232	10.9681093615	7.86256120148	8.80809872899	9.32290011469	8.86132100615
MCT.f.0384	9.6368860051	10.5893587692	13.4987147498	10.9774581247	10.259404574	8.44311494628	0.0	8.24848567839	9.92397407227	11.3245131874	10.7342549241	9.59204805612	11.4367816881	9.54313702459
MCT.f.0385	12.1645318017	12.277547385	13.0637639352	12.1260454347	9.43052418648	10.5049175562	8.24848567839	0.0	11.2132557768	11.2911260215	12.9949495021	12.291404968	13.7465139209	9.85231295589
MCT.f.0386	9.21376668278	10.6621132957	13.6546405915	10.97658117	10.9958888749	9.41537700232	9.92397407227	11.2132557768	0.0	10.2062924269	9.27335987023	10.2209415445	9.72049953153	8.77660613726
MCT.f.0387	10.9046778157	9.10460729294	10.8463768683	8.3920625295	10.9086328854	10.9681093615	11.3245131874	11.2911260215	10.2062924269	0.0	10.7107192409	13.5925065791	11.7645991086	8.87473441926
MCT.f.0388	6.90986766118	8.40706522513	13.8742246864	8.41360402526	13.7046504456	7.86256120148	10.7342549241	12.9949495021	9.27335987023	10.7107192409	0.0	8.69712599635	7.50207975713	9.77804801401
MCT.f.0389	8.91653567533	11.9775784013	16.078967409	11.7075306238	14.3410316227	8.80809872899	9.59204805612	12.291404968	10.2209415445	13.5925065791	8.69712599635	0.0	9.31483391843	10.3124214177
MCT.f.0390	8.07926363077	10.6467690334	14.4542487922	9.73820841695	14.0833889393	9.32290011469	11.4367816881	13.7465139209	9.72049953153	11.7645991086	7.50207975713	9.31483391843	0.0	9.95695018947
MCT.f.0391	9.70739921256	10.2453916917	13.1451868322	9.57173826749	9.71095640081	8.86132100615	9.54313702459	9.85231295589	8.77660613726	8.87473441926	9.77804801401	10.3124214177	9.95695018947	0.0
