	MCT.f.0395	MCT.f.0396	MCT.f.0397	MCT.f.0398	MCT.f.0399	MCT.f.0400	MCT.f.0402	MCT.f.0403	MCT.f.0404	MCT.f.0405	MCT.f.0406	MCT.f.0407	MCT.f.0408
MCT.f.0395	0.0	2.25156094509	3.60973904923	5.12665615057	7.58743722086	7.14451421729	6.86813609345	6.98950227165	7.72988451336	7.89146371314	8.83250821148	8.83622924827	8.07327590315
MCT.f.0396	2.25156094509	0.0	2.59077487987	4.16318626401	6.58922931436	7.53983630922	7.42535928531	7.72136139722	8.31287857366	8.55565994617	8.52396016278	8.4358045977	8.00309729563
MCT.f.0397	3.60973904923	2.59077487987	0.0	2.01711122966	4.52667287605	5.59557645936	7.6712531769	8.0099703977	8.12347042797	8.08734606106	7.94140304081	7.82806748466	7.39045770951
MCT.f.0398	5.12665615057	4.16318626401	2.01711122966	0.0	3.0364349402	4.12740798624	7.70260682133	7.96608560522	8.09239677744	7.75077195079	7.34608695652	7.05678743961	6.57710955958
MCT.f.0399	7.58743722086	6.58922931436	4.52667287605	3.0364349402	0.0	2.34026464889	5.86693058921	8.3785155873	8.41741689948	8.09765819171	7.24583056025	6.95699916353	6.55627194844
MCT.f.0400	7.14451421729	7.53983630922	5.59557645936	4.12740798624	2.34026464889	0.0	4.03651514895	6.52384504123	6.7524990787	6.41812068946	6.7915164869	6.78264191711	5.9533397279
MCT.f.0402	6.86813609345	7.42535928531	7.6712531769	7.70260682133	5.86693058921	4.03651514895	0.0	2.82350140473	4.46277824622	5.47256419567	7.51045763726	7.47741969128	6.58831751368
MCT.f.0403	6.98950227165	7.72136139722	8.0099703977	7.96608560522	8.3785155873	6.52384504123	2.82350140473	0.0	2.85454967993	4.06130158501	6.49121313469	7.60681818182	6.64493219676
MCT.f.0404	7.72988451336	8.31287857366	8.12347042797	8.09239677744	8.41741689948	6.7524990787	4.46277824622	2.85454967993	0.0	1.66334889143	4.2223328517	5.54979355488	6.68418221958
MCT.f.0405	7.89146371314	8.55565994617	8.08734606106	7.75077195079	8.09765819171	6.41812068946	5.47256419567	4.06130158501	1.66334889143	0.0	2.95767945188	4.30630093274	5.62027790021
MCT.f.0406	8.83250821148	8.52396016278	7.94140304081	7.34608695652	7.24583056025	6.7915164869	7.51045763726	6.49121313469	4.2223328517	2.95767945188	0.0	2.10963768116	4.37019923128
MCT.f.0407	8.83622924827	8.4358045977	7.82806748466	7.05678743961	6.95699916353	6.78264191711	7.47741969128	7.60681818182	5.54979355488	4.30630093274	2.10963768116	0.0	2.76657745337
MCT.f.0408	8.07327590315	8.00309729563	7.39045770951	6.57710955958	6.55627194844	5.9533397279	6.58831751368	6.64493219676	6.68418221958	5.62027790021	4.37019923128	2.76657745337	0.0
