	MCT.f.0599	MCT.f.0600	MCT.f.0601	MCT.f.0602	MCT.f.0603	MCT.f.0604	MCT.f.0605	MCT.f.0606	MCT.f.0607	MCT.f.0608	MCT.f.0609	MCT.f.0610	MCT.f.0611	MCT.f.0612
MCT.f.0599	0.0	0.20814479638	0.383333333333	0.560311284047	0.685393258427	0.685823754789	0.73046875	0.69111969112	0.719230769231	0.701195219124	0.69111969112	0.759036144578	0.734082397004	0.754601226994
MCT.f.0600	0.20814479638	0.0	0.209090909091	0.420168067227	0.577689243028	0.692883895131	0.736641221374	0.707865168539	0.735074626866	0.718146718147	0.712686567164	0.76953125	0.721189591078	0.728395061728
MCT.f.0601	0.383333333333	0.209090909091	0.0	0.255924170616	0.475982532751	0.630522088353	0.752895752896	0.751851851852	0.755639097744	0.734375	0.708812260536	0.757085020243	0.707692307692	0.7375
MCT.f.0602	0.560311284047	0.420168067227	0.255924170616	0.0	0.284974093264	0.483568075117	0.632286995516	0.734126984127	0.737903225806	0.740740740741	0.744094488189	0.732456140351	0.702040816327	0.742671009772
MCT.f.0603	0.685393258427	0.577689243028	0.475982532751	0.284974093264	0.0	0.282485875706	0.470588235294	0.617511520737	0.73275862069	0.730088495575	0.723404255319	0.72641509434	0.7	0.75593220339
MCT.f.0604	0.685823754789	0.692883895131	0.630522088353	0.483568075117	0.282485875706	0.0	0.240506329114	0.471204188482	0.611650485437	0.743243243243	0.735930735931	0.721951219512	0.723684210526	0.770547945205
MCT.f.0605	0.73046875	0.736641221374	0.752895752896	0.632286995516	0.470588235294	0.240506329114	0.0	0.339393939394	0.511111111111	0.668367346939	0.719626168224	0.735751295337	0.764705882353	0.807692307692
MCT.f.0606	0.69111969112	0.707865168539	0.751851851852	0.734126984127	0.617511520737	0.471204188482	0.339393939394	0.0	0.22641509434	0.428571428571	0.507772020725	0.735294117647	0.757575757576	0.808724832215
MCT.f.0607	0.719230769231	0.735074626866	0.755639097744	0.737903225806	0.73275862069	0.611650485437	0.511111111111	0.22641509434	0.0	0.253246753247	0.379310344828	0.637837837838	0.734234234234	0.804794520548
MCT.f.0608	0.701195219124	0.718146718147	0.734375	0.740740740741	0.730088495575	0.743243243243	0.668367346939	0.428571428571	0.253246753247	0.0	0.17880794702	0.487654320988	0.623115577889	0.782918149466
MCT.f.0609	0.69111969112	0.712686567164	0.708812260536	0.744094488189	0.723404255319	0.735930735931	0.719626168224	0.507772020725	0.379310344828	0.17880794702	0.0	0.335483870968	0.505208333333	0.704379562044
MCT.f.0610	0.759036144578	0.76953125	0.757085020243	0.732456140351	0.72641509434	0.721951219512	0.735751295337	0.735294117647	0.637837837838	0.487654320988	0.335483870968	0.0	0.309210526316	0.645833333333
MCT.f.0611	0.734082397004	0.721189591078	0.707692307692	0.702040816327	0.7	0.723684210526	0.764705882353	0.757575757576	0.734234234234	0.623115577889	0.505208333333	0.309210526316	0.0	0.467532467532
MCT.f.0612	0.754601226994	0.728395061728	0.7375	0.742671009772	0.75593220339	0.770547945205	0.807692307692	0.808724832215	0.804794520548	0.782918149466	0.704379562044	0.645833333333	0.467532467532	0.0
