	MCT.f.0056	MCT.f.0057	MCT.f.0058	MCT.f.0059	MCT.f.0060	MCT.f.0061	MCT.f.0063	MCT.f.0065	MCT.f.0066	MCT.f.0067	MCT.f.0068
MCT.f.0056	0.0	0.177777777778	0.34435261708	0.422459893048	0.550251256281	0.647196261682	0.722772277228	0.782816229117	0.709601873536	0.655813953488	0.63488372093
MCT.f.0057	0.177777777778	0.0	0.213213213213	0.302325581395	0.444141689373	0.5675	0.695652173913	0.752475247525	0.67396593674	0.618357487923	0.603365384615
MCT.f.0058	0.34435261708	0.213213213213	0.0	0.12	0.305949008499	0.445595854922	0.690243902439	0.714285714286	0.631578947368	0.593896713615	0.579439252336
MCT.f.0059	0.422459893048	0.302325581395	0.12	0.0	0.237237237237	0.390710382514	0.651282051282	0.696741854637	0.614814814815	0.589928057554	0.58865248227
MCT.f.0060	0.550251256281	0.444141689373	0.305949008499	0.237237237237	0.0	0.2	0.525862068966	0.68992248062	0.612658227848	0.587223587224	0.585956416465
MCT.f.0061	0.647196261682	0.5675	0.445595854922	0.390710382514	0.2	0.0	0.375394321767	0.616847826087	0.628428927681	0.599514563107	0.601431980907
MCT.f.0063	0.722772277228	0.695652173913	0.690243902439	0.651282051282	0.525862068966	0.375394321767	0.0	0.537704918033	0.616477272727	0.625668449198	0.70223325062
MCT.f.0065	0.782816229117	0.752475247525	0.714285714286	0.696741854637	0.68992248062	0.616847826087	0.537704918033	0.0	0.329861111111	0.427244582043	0.53125
MCT.f.0066	0.709601873536	0.67396593674	0.631578947368	0.614814814815	0.612658227848	0.628428927681	0.616477272727	0.329861111111	0.0	0.163879598662	0.298780487805
MCT.f.0067	0.655813953488	0.618357487923	0.593896713615	0.589928057554	0.587223587224	0.599514563107	0.625668449198	0.427244582043	0.163879598662	0.0	0.154574132492
MCT.f.0068	0.63488372093	0.603365384615	0.579439252336	0.58865248227	0.585956416465	0.601431980907	0.70223325062	0.53125	0.298780487805	0.154574132492	0.0
