	MCT.f.0311	MCT.f.0312	MCT.f.0313	MCT.f.0314	MCT.f.0315	MCT.f.0316	MCT.f.0318	MCT.f.0319	MCT.f.0320	MCT.f.0321	MCT.f.0322	MCT.f.0323
MCT.f.0311	0.0	1.30229841716	2.999506386	4.34290733062	4.63609148091	5.29653055908	5.85122598921	5.21038286004	5.73437072984	5.70814874467	5.27878091406	5.0334670249
MCT.f.0312	1.30229841716	0.0	2.0000289084	3.41187077449	3.70730438556	4.59214489893	5.65955355351	5.24404075356	5.26492070021	5.06522255475	4.58883184602	4.45466838914
MCT.f.0313	2.999506386	2.0000289084	0.0	1.76975768779	2.44899389553	3.56746403949	5.74193150996	5.77140205557	5.61333016129	5.42493536301	5.05199258164	4.81053070363
MCT.f.0314	4.34290733062	3.41187077449	1.76975768779	0.0	1.48155379564	2.73987215602	5.35246048114	6.00215431585	5.51848770077	5.23869637872	5.45697528335	5.54612106572
MCT.f.0315	4.63609148091	3.70730438556	2.44899389553	1.48155379564	0.0	1.74784671455	4.3197159163	5.00703885387	5.46215858088	5.22589717124	5.07147201497	5.03419107647
MCT.f.0316	5.29653055908	4.59214489893	3.56746403949	2.73987215602	1.74784671455	0.0	3.07428815011	4.05870590196	4.86358023469	5.27536888358	5.04434047099	5.17264616336
MCT.f.0318	5.85122598921	5.65955355351	5.74193150996	5.35246048114	4.3197159163	3.07428815011	0.0	2.36639624636	3.1336922171	4.38119893754	5.32083321662	5.91131041355
MCT.f.0319	5.21038286004	5.24404075356	5.77140205557	6.00215431585	5.00703885387	4.05870590196	2.36639624636	0.0	1.90524112566	3.10610144518	3.74647347665	4.33437243006
MCT.f.0320	5.73437072984	5.26492070021	5.61333016129	5.51848770077	5.46215858088	4.86358023469	3.1336922171	1.90524112566	0.0	1.90045713158	2.99406607022	3.73506224717
MCT.f.0321	5.70814874467	5.06522255475	5.42493536301	5.23869637872	5.22589717124	5.27536888358	4.38119893754	3.10610144518	1.90045713158	0.0	2.00331756972	3.13419862461
MCT.f.0322	5.27878091406	4.58883184602	5.05199258164	5.45697528335	5.07147201497	5.04434047099	5.32083321662	3.74647347665	2.99406607022	2.00331756972	0.0	1.34010893729
MCT.f.0323	5.0334670249	4.45466838914	4.81053070363	5.54612106572	5.03419107647	5.17264616336	5.91131041355	4.33437243006	3.73506224717	3.13419862461	1.34010893729	0.0
