	MCT.f.0617	MCT.f.0618	MCT.f.0619	MCT.f.0620	MCT.f.0621	MCT.f.0622	MCT.f.0623	MCT.f.0624	MCT.f.0625	MCT.f.0627	MCT.f.0628
MCT.f.0617	0.0	17.0807967332	10.6406148008	22.1083756503	14.4070393784	16.3985895316	19.9010521081	21.0756497668	13.4176404244	22.6162819685	16.4471593041
MCT.f.0618	17.0807967332	0.0	17.751665277	11.2839011701	9.95645513554	11.0269958709	9.36783564698	12.2699051222	9.46238317584	23.2296164858	11.7583324257
MCT.f.0619	10.6406148008	17.751665277	0.0	23.5986507739	15.9901204387	17.4475420718	20.9521773517	21.7789096005	15.0109483734	23.5125293688	18.1006227075
MCT.f.0620	22.1083756503	11.2839011701	23.5986507739	0.0	13.4254504086	14.8936841801	9.57934887312	9.96881317277	14.1139276375	28.1512172958	12.2448455304
MCT.f.0621	14.4070393784	9.95645513554	15.9901204387	13.4254504086	0.0	10.6410153567	10.7329456122	13.36843197	9.64242794809	23.8028937686	10.669369043
MCT.f.0622	16.3985895316	11.0269958709	17.4475420718	14.8936841801	10.6410153567	0.0	12.4884735927	14.9716111232	11.4071290495	21.9580128822	12.1498463641
MCT.f.0623	19.9010521081	9.36783564698	20.9521773517	9.57934887312	10.7329456122	12.4884735927	0.0	8.56192958962	11.8744611515	26.4453184989	11.392636496
MCT.f.0624	21.0756497668	12.2699051222	21.7789096005	9.96881317277	13.36843197	14.9716111232	8.56192958962	0.0	14.32147549	26.8860536315	12.993275944
MCT.f.0625	13.4176404244	9.46238317584	15.0109483734	14.1139276375	9.64242794809	11.4071290495	11.8744611515	14.32147549	0.0	23.8514064804	10.4011347795
MCT.f.0627	22.6162819685	23.2296164858	23.5125293688	28.1512172958	23.8028937686	21.9580128822	26.4453184989	26.8860536315	23.8514064804	0.0	25.0363190164
MCT.f.0628	16.4471593041	11.7583324257	18.1006227075	12.2448455304	10.669369043	12.1498463641	11.392636496	12.993275944	10.4011347795	25.0363190164	0.0
