	MCT.f.0035	MCT.f.0036	MCT.f.0037	MCT.f.0038	MCT.f.0039	MCT.f.0042	MCT.f.0043	MCT.f.0044	MCT.f.0045	MCT.f.0048	MCT.f.0049	MCT.f.0051
MCT.f.0035	0.0	0.562841530055	0.642857142857	0.699248120301	0.705263157895	0.765886287625	0.8125	0.807432432432	0.804487179487	0.762645914397	0.775735294118	0.800687285223
MCT.f.0036	0.562841530055	0.0	0.260504201681	0.357142857143	0.413793103448	0.696883852691	0.702479338843	0.701754385965	0.696629213483	0.709779179811	0.722891566265	0.698224852071
MCT.f.0037	0.642857142857	0.260504201681	0.0	0.159259259259	0.213058419244	0.602150537634	0.659090909091	0.677165354331	0.673417721519	0.732432432432	0.736292428198	0.701298701299
MCT.f.0038	0.699248120301	0.357142857143	0.159259259259	0.0	0.108013937282	0.574803149606	0.642156862745	0.6825	0.678743961353	0.735218508997	0.738805970149	0.705445544554
MCT.f.0039	0.705263157895	0.413793103448	0.213058419244	0.108013937282	0.0	0.506596306069	0.612980769231	0.665048543689	0.695652173913	0.743902439024	0.744075829384	0.709219858156
MCT.f.0042	0.765886287625	0.696883852691	0.602150537634	0.574803149606	0.506596306069	0.0	0.219135802469	0.405797101449	0.475935828877	0.658854166667	0.704156479218	0.68115942029
MCT.f.0043	0.8125	0.702479338843	0.659090909091	0.642156862745	0.612980769231	0.219135802469	0.0	0.230283911672	0.344729344729	0.615789473684	0.674019607843	0.634803921569
MCT.f.0044	0.807432432432	0.701754385965	0.677165354331	0.6825	0.665048543689	0.405797101449	0.230283911672	0.0	0.212903225806	0.549418604651	0.621983914209	0.623376623377
MCT.f.0045	0.804487179487	0.696629213483	0.673417721519	0.678743961353	0.695652173913	0.475935828877	0.344729344729	0.212903225806	0.0	0.486880466472	0.583554376658	0.618090452261
MCT.f.0048	0.762645914397	0.709779179811	0.732432432432	0.735218508997	0.743902439024	0.658854166667	0.615789473684	0.549418604651	0.486880466472	0.0	0.270758122744	0.443396226415
MCT.f.0049	0.775735294118	0.722891566265	0.736292428198	0.738805970149	0.744075829384	0.704156479218	0.674019607843	0.621983914209	0.583554376658	0.270758122744	0.0	0.247422680412
MCT.f.0051	0.800687285223	0.698224852071	0.701298701299	0.705445544554	0.709219858156	0.68115942029	0.634803921569	0.623376623377	0.618090452261	0.443396226415	0.247422680412	0.0
