	MCT.f.0103	MCT.f.0104	MCT.f.0106	MCT.f.0107	MCT.f.0108	MCT.f.0109	MCT.f.0110	MCT.f.0111	MCT.f.0112	MCT.f.0113	MCT.f.0114	MCT.f.0115	MCT.f.0116	MCT.f.0117	MCT.f.0118	MCT.f.0119
MCT.f.0103	0.0	0.303225806452	0.464285714286	0.542372881356	0.63137254902	0.667953667954	0.646586345382	0.655172413793	0.670542635659	0.706093189964	0.70036101083	0.736842105263	0.742957746479	0.720848056537	0.71102661597	0.748275862069
MCT.f.0104	0.303225806452	0.0	0.272251308901	0.419491525424	0.5	0.577946768061	0.586872586873	0.602941176471	0.617100371747	0.668941979522	0.681355932203	0.701067615658	0.730263157895	0.705298013245	0.685714285714	0.701986754967
MCT.f.0106	0.464285714286	0.272251308901	0.0	0.24358974359	0.362204724409	0.445283018868	0.481203007519	0.490974729242	0.514492753623	0.592105263158	0.622580645161	0.656666666667	0.670846394984	0.663551401869	0.673202614379	0.704819277108
MCT.f.0107	0.542372881356	0.419491525424	0.24358974359	0.0	0.178571428571	0.283018867925	0.350553505535	0.393728222997	0.443298969072	0.518867924528	0.609467455621	0.636085626911	0.669515669516	0.666666666667	0.671597633136	0.700549450549
MCT.f.0108	0.63137254902	0.5	0.362204724409	0.178571428571	0.0	0.122448979592	0.241245136187	0.323741007194	0.387323943662	0.464516129032	0.590504451039	0.608024691358	0.666666666667	0.660112359551	0.64880952381	0.683195592287
MCT.f.0109	0.667953667954	0.577946768061	0.445283018868	0.283018867925	0.122448979592	0.0	0.133333333333	0.229885057471	0.312267657993	0.405405405405	0.546296296296	0.567307692308	0.627565982405	0.644699140401	0.628048780488	0.664788732394
MCT.f.0110	0.646586345382	0.586872586873	0.481203007519	0.350553505535	0.241245136187	0.133333333333	0.0	0.139344262295	0.244094488189	0.377622377622	0.516025641026	0.541528239203	0.588957055215	0.607784431138	0.596825396825	0.645348837209
MCT.f.0111	0.655172413793	0.602941176471	0.490974729242	0.393728222997	0.323741007194	0.229885057471	0.139344262295	0.0	0.114754098361	0.298932384342	0.420529801325	0.49	0.546012269939	0.570149253731	0.570532915361	0.628571428571
MCT.f.0112	0.670542635659	0.617100371747	0.514492753623	0.443298969072	0.387323943662	0.312267657993	0.244094488189	0.114754098361	0.0	0.233082706767	0.354385964912	0.438596491228	0.515923566879	0.559633027523	0.582278481013	0.63976945245
MCT.f.0113	0.706093189964	0.668941979522	0.592105263158	0.518867924528	0.464516129032	0.405405405405	0.377622377622	0.298932384342	0.233082706767	0.0	0.209558823529	0.285185185185	0.438709677419	0.495384615385	0.570552147239	0.6
MCT.f.0114	0.70036101083	0.681355932203	0.622580645161	0.609467455621	0.590504451039	0.546296296296	0.516025641026	0.420529801325	0.354385964912	0.209558823529	0.0	0.152	0.317073170732	0.378737541528	0.528481012658	0.570175438596
MCT.f.0115	0.736842105263	0.701067615658	0.656666666667	0.636085626911	0.608024691358	0.567307692308	0.541528239203	0.49	0.438596491228	0.285185185185	0.152	0.0	0.267924528302	0.348754448399	0.484536082474	0.546875
MCT.f.0116	0.742957746479	0.730263157895	0.670846394984	0.669515669516	0.666666666667	0.627565982405	0.588957055215	0.546012269939	0.515923566879	0.438709677419	0.317073170732	0.267924528302	0.0	0.12015503876	0.301470588235	0.385382059801
MCT.f.0117	0.720848056537	0.705298013245	0.663551401869	0.666666666667	0.660112359551	0.644699140401	0.607784431138	0.570149253731	0.559633027523	0.495384615385	0.378737541528	0.348754448399	0.12015503876	0.0	0.203846153846	0.324232081911
MCT.f.0118	0.71102661597	0.685714285714	0.673202614379	0.671597633136	0.64880952381	0.628048780488	0.596825396825	0.570532915361	0.582278481013	0.570552147239	0.528481012658	0.484536082474	0.301470588235	0.203846153846	0.0	0.19305019305
MCT.f.0119	0.748275862069	0.701986754967	0.704819277108	0.700549450549	0.683195592287	0.664788732394	0.645348837209	0.628571428571	0.63976945245	0.6	0.570175438596	0.546875	0.385382059801	0.324232081911	0.19305019305	0.0
