	MCT.f.0103	MCT.f.0104	MCT.f.0106	MCT.f.0107	MCT.f.0108	MCT.f.0109	MCT.f.0110	MCT.f.0111	MCT.f.0112	MCT.f.0113	MCT.f.0114	MCT.f.0115	MCT.f.0116	MCT.f.0117	MCT.f.0118	MCT.f.0119
MCT.f.0103	0.0	3.51138543067	5.60850259494	7.14863413241	7.74404473508	7.43830098741	5.76928346713	6.52161745766	6.60691929142	7.28880199601	7.76951027505	7.01195219124	8.68818383685	7.67012847486	7.37709112312	8.21243001742
MCT.f.0104	3.51138543067	0.0	4.59093576081	6.56383440748	7.04748452441	6.84246670726	5.28863832678	6.03630817886	6.38734208073	7.27948069385	7.65610986663	7.34951191632	8.63669354381	7.46542212391	6.97198503654	7.7919870163
MCT.f.0106	5.60850259494	4.59093576081	0.0	4.02859495941	4.66568298065	5.18635207417	5.22044580094	5.81275678214	6.20872489136	6.67545049579	7.18624164611	6.82418465199	7.95063874883	7.37369808336	6.9749606632	7.85817601675
MCT.f.0107	7.14863413241	6.56383440748	4.02859495941	0.0	3.45806092586	4.27648230082	5.47217205012	6.5302888135	6.77523141627	6.62771370008	6.91306193777	6.62548169098	7.46123447237	7.02434548234	6.87996170246	7.71945476486
MCT.f.0108	7.74404473508	7.04748452441	4.66568298065	3.45806092586	0.0	3.05076045914	5.24600644762	6.16209711201	6.62460853048	6.7818928586	5.53720417056	5.98140605664	6.82414849613	6.97786751843	7.17987300903	7.7299242754
MCT.f.0109	7.43830098741	6.84246670726	5.18635207417	4.27648230082	3.05076045914	0.0	3.65578108589	5.20332505353	5.47764612451	5.27300058825	5.48117821987	5.84393265212	7.08788384692	6.60944217092	5.82201393976	6.72634597979
MCT.f.0110	5.76928346713	5.28863832678	5.22044580094	5.47217205012	5.24600644762	3.65578108589	0.0	3.44299663588	3.84925935727	4.72172832038	5.04644166394	5.18693972025	6.94324999606	6.49420784239	5.10107366533	6.26073124335
MCT.f.0111	6.52161745766	6.03630817886	5.81275678214	6.5302888135	6.16209711201	5.20332505353	3.44299663588	0.0	2.33959888688	4.03914994117	5.08203818482	5.4515533034	6.97123182113	6.91072580293	5.24245293485	6.41584405027
MCT.f.0112	6.60691929142	6.38734208073	6.20872489136	6.77523141627	6.62460853048	5.47764612451	3.84925935727	2.33959888688	0.0	2.78918252022	4.56390020558	5.33765012994	7.17240437724	7.00968123562	5.00205664154	6.41338294151
MCT.f.0113	7.28880199601	7.27948069385	6.67545049579	6.62771370008	6.7818928586	5.27300058825	4.72172832038	4.03914994117	2.78918252022	0.0	3.96072081611	4.21671601753	6.615944833	6.78926688084	5.25052413838	6.46039116743
MCT.f.0114	7.76951027505	7.65610986663	7.18624164611	6.91306193777	5.53720417056	5.48117821987	5.04644166394	5.08203818482	4.56390020558	3.96072081611	0.0	3.46698429649	5.3488320325	6.18624988279	5.40160757833	5.69793955386
MCT.f.0115	7.01195219124	7.34951191632	6.82418465199	6.62548169098	5.98140605664	5.84393265212	5.18693972025	5.4515533034	5.33765012994	4.21671601753	3.46698429649	0.0	5.06040507336	5.67830891522	5.58214077933	6.30913197089
MCT.f.0116	8.68818383685	8.63669354381	7.95063874883	7.46123447237	6.82414849613	7.08788384692	6.94324999606	6.97123182113	7.17240437724	6.615944833	5.3488320325	5.06040507336	0.0	2.9684908035	4.82766612386	6.25402339698
MCT.f.0117	7.67012847486	7.46542212391	7.37369808336	7.02434548234	6.97786751843	6.60944217092	6.49420784239	6.91072580293	7.00968123562	6.78926688084	6.18624988279	5.67830891522	2.9684908035	0.0	3.6025745237	5.87314550121
MCT.f.0118	7.37709112312	6.97198503654	6.9749606632	6.87996170246	7.17987300903	5.82201393976	5.10107366533	5.24245293485	5.00205664154	5.25052413838	5.40160757833	5.58214077933	4.82766612386	3.6025745237	0.0	4.09511793416
MCT.f.0119	8.21243001742	7.7919870163	7.85817601675	7.71945476486	7.7299242754	6.72634597979	6.26073124335	6.41584405027	6.41338294151	6.46039116743	5.69793955386	6.30913197089	6.25402339698	5.87314550121	4.09511793416	0.0
