	MCT.f.0154	MCT.f.0155	MCT.f.0157	MCT.f.0158	MCT.f.0159	MCT.f.0160	MCT.f.0161	MCT.f.0162	MCT.f.0163	MCT.f.0166	MCT.f.0167	MCT.f.0168	MCT.f.0169	MCT.f.0170
MCT.f.0154	0.0	0.45	0.697802197802	0.705882352941	0.725806451613	0.79802955665	0.806451612903	0.8	0.775119617225	0.775700934579	0.794258373206	0.774869109948	0.781115879828	0.801687763713
MCT.f.0155	0.45	0.0	0.44385026738	0.466321243523	0.600961538462	0.69298245614	0.722448979592	0.739495798319	0.713692946058	0.626086956522	0.657894736842	0.708520179372	0.714828897338	0.738805970149
MCT.f.0157	0.697802197802	0.44385026738	0.0	0.124324324324	0.347826086957	0.482608695652	0.578125	0.660305343511	0.662962962963	0.609848484848	0.657894736842	0.71102661597	0.635087719298	0.672354948805
MCT.f.0158	0.705882352941	0.466321243523	0.124324324324	0.0	0.290640394089	0.433628318584	0.512096774194	0.603921568627	0.634328358209	0.601503759398	0.649253731343	0.69696969697	0.627177700348	0.646048109966
MCT.f.0159	0.725806451613	0.600961538462	0.347826086957	0.290640394089	0.0	0.210256410256	0.410480349345	0.512711864407	0.550200803213	0.665454545455	0.667910447761	0.686046511628	0.672354948805	0.711920529801
MCT.f.0160	0.79802955665	0.69298245614	0.482608695652	0.433628318584	0.210256410256	0.0	0.290322580645	0.401785714286	0.453781512605	0.659498207885	0.641791044776	0.632411067194	0.648464163823	0.693069306931
MCT.f.0161	0.806451612903	0.722448979592	0.578125	0.512096774194	0.410480349345	0.290322580645	0.0	0.135	0.210280373832	0.575091575092	0.651245551601	0.667896678967	0.656862745098	0.682692307692
MCT.f.0162	0.8	0.739495798319	0.660305343511	0.603921568627	0.512711864407	0.401785714286	0.135	0.0	0.177339901478	0.581132075472	0.68345323741	0.671755725191	0.673333333333	0.686468646865
MCT.f.0163	0.775119617225	0.713692946058	0.662962962963	0.634328358209	0.550200803213	0.453781512605	0.210280373832	0.177339901478	0.0	0.486274509804	0.597014925373	0.607003891051	0.616949152542	0.635451505017
MCT.f.0166	0.775700934579	0.626086956522	0.609848484848	0.601503759398	0.665454545455	0.659498207885	0.575091575092	0.581132075472	0.486274509804	0.0	0.255707762557	0.410480349345	0.516129032258	0.567474048443
MCT.f.0167	0.794258373206	0.657894736842	0.657894736842	0.649253731343	0.667910447761	0.641791044776	0.651245551601	0.68345323741	0.597014925373	0.255707762557	0.0	0.221105527638	0.421875	0.498141263941
MCT.f.0168	0.774869109948	0.708520179372	0.71102661597	0.69696969697	0.686046511628	0.632411067194	0.667896678967	0.671755725191	0.607003891051	0.410480349345	0.221105527638	0.0	0.29203539823	0.398340248963
MCT.f.0169	0.781115879828	0.714828897338	0.635087719298	0.627177700348	0.672354948805	0.648464163823	0.656862745098	0.673333333333	0.616949152542	0.516129032258	0.421875	0.29203539823	0.0	0.220408163265
MCT.f.0170	0.801687763713	0.738805970149	0.672354948805	0.646048109966	0.711920529801	0.693069306931	0.682692307692	0.686468646865	0.635451505017	0.567474048443	0.498141263941	0.398340248963	0.220408163265	0.0
