	MCT.f.0154	MCT.f.0155	MCT.f.0157	MCT.f.0158	MCT.f.0159	MCT.f.0160	MCT.f.0161	MCT.f.0162	MCT.f.0163	MCT.f.0166	MCT.f.0167	MCT.f.0168	MCT.f.0169	MCT.f.0170
MCT.f.0154	0.0	5.66751653549	8.65820346839	8.590108418	7.58212015762	7.84527700947	8.21842284025	8.60381460283	7.80724096475	7.73729426659	8.18932807576	8.00358061183	6.88372606775	6.9571748412
MCT.f.0155	5.66751653549	0.0	6.90120863549	7.54360523141	8.28587287994	7.93141883032	7.41624989581	7.43535101238	7.26858417391	6.92682077402	7.27368151562	7.07872772389	6.5838453661	6.45259042033
MCT.f.0157	8.65820346839	6.90120863549	0.0	2.65861816544	5.30869961485	6.69749007374	8.06162790698	7.80251714494	7.66341709266	7.75143583467	8.02997535098	7.58779747384	6.94872646733	7.1096546864
MCT.f.0158	8.590108418	7.54360523141	2.65861816544	0.0	4.21714628554	5.8509050375	7.9487724534	7.85473351656	8.20185308735	7.64326396173	7.56842146372	7.44574634405	6.72493946731	7.04502042214
MCT.f.0159	7.58212015762	8.28587287994	5.30869961485	4.21714628554	0.0	3.79620579076	6.68751286273	6.82777207339	7.8248758283	7.96678728817	7.65136005873	7.92196004585	6.96868942267	7.62756835102
MCT.f.0160	7.84527700947	7.93141883032	6.69749007374	5.8509050375	3.79620579076	0.0	5.3855643789	6.87477397838	7.27363512799	7.10086896416	6.85729740362	7.22963215646	6.64340882695	7.28510716925
MCT.f.0161	8.21842284025	7.41624989581	8.06162790698	7.9487724534	6.68751286273	5.3855643789	0.0	3.53713459254	5.08315933473	8.00825016477	8.04531936556	7.92219602103	7.80836101883	7.42183462532
MCT.f.0162	8.60381460283	7.43535101238	7.80251714494	7.85473351656	6.82777207339	6.87477397838	3.53713459254	0.0	4.12440515962	8.66909670577	8.43612538814	8.65684343114	8.38222719071	8.23778143877
MCT.f.0163	7.80724096475	7.26858417391	7.66341709266	8.20185308735	7.8248758283	7.27363512799	5.08315933473	4.12440515962	0.0	7.76601571803	8.17368135709	7.71942814667	7.63269202418	7.55864371267
MCT.f.0166	7.73729426659	6.92682077402	7.75143583467	7.64326396173	7.96678728817	7.10086896416	8.00825016477	8.66909670577	7.76601571803	0.0	2.98408552398	3.89571831677	4.78787352998	5.59520304257
MCT.f.0167	8.18932807576	7.27368151562	8.02997535098	7.56842146372	7.65136005873	6.85729740362	8.04531936556	8.43612538814	8.17368135709	2.98408552398	0.0	3.64531704854	4.97012288786	6.02687008332
MCT.f.0168	8.00358061183	7.07872772389	7.58779747384	7.44574634405	7.92196004585	7.22963215646	7.92219602103	8.65684343114	7.71942814667	3.89571831677	3.64531704854	0.0	3.40587745588	4.2735042735
MCT.f.0169	6.88372606775	6.5838453661	6.94872646733	6.72493946731	6.96868942267	6.64340882695	7.80836101883	8.38222719071	7.63269202418	4.78787352998	4.97012288786	3.40587745588	0.0	3.34235209235
MCT.f.0170	6.9571748412	6.45259042033	7.1096546864	7.04502042214	7.62756835102	7.28510716925	7.42183462532	8.23778143877	7.55864371267	5.59520304257	6.02687008332	4.2735042735	3.34235209235	0.0
