	MCT.f.0358	MCT.f.0359	MCT.f.0360	MCT.f.0361	MCT.f.0362	MCT.f.0363	MCT.f.0364	MCT.f.0365	MCT.f.0366	MCT.f.0368	MCT.f.0369	MCT.f.0370	MCT.f.0371	MCT.f.0372	MCT.f.0374
MCT.f.0358	0.0	0.434482758621	0.534090909091	0.606060606061	0.611650485437	0.691588785047	0.702325581395	0.732718894009	0.702830188679	0.753303964758	0.744292237443	0.753303964758	0.761061946903	0.752100840336	0.780172413793
MCT.f.0359	0.434482758621	0.0	0.186440677966	0.430555555556	0.455752212389	0.558823529412	0.586776859504	0.637096774194	0.637096774194	0.669230769231	0.648	0.632411067194	0.685823754789	0.661710037175	0.723247232472
MCT.f.0360	0.534090909091	0.186440677966	0.0	0.279069767442	0.311111111111	0.42194092827	0.47131147541	0.524	0.55859375	0.598513011152	0.57528957529	0.582706766917	0.630036630037	0.608540925267	0.7
MCT.f.0361	0.606060606061	0.430555555556	0.279069767442	0.0	0.0865384615385	0.226244343891	0.3	0.400826446281	0.439516129032	0.531598513011	0.545112781955	0.609154929577	0.671186440678	0.641196013289	0.71335504886
MCT.f.0362	0.611650485437	0.455752212389	0.311111111111	0.0865384615385	0.0	0.147465437788	0.241228070175	0.345833333333	0.418326693227	0.543165467626	0.556363636364	0.598615916955	0.66	0.630718954248	0.693548387097
MCT.f.0363	0.691588785047	0.558823529412	0.42194092827	0.226244343891	0.147465437788	0.0	0.145539906103	0.262222222222	0.350210970464	0.494339622642	0.535580524345	0.580071174377	0.65306122449	0.645901639344	0.6875
MCT.f.0364	0.702325581395	0.586776859504	0.47131147541	0.3	0.241228070175	0.145539906103	0.0	0.169014084507	0.326180257511	0.498113207547	0.544776119403	0.58865248227	0.642611683849	0.653594771242	0.699346405229
MCT.f.0365	0.732718894009	0.637096774194	0.524	0.400826446281	0.345833333333	0.262222222222	0.169014084507	0.0	0.212962962963	0.436507936508	0.503875968992	0.592857142857	0.670068027211	0.671009771987	0.720779220779
MCT.f.0366	0.702830188679	0.637096774194	0.55859375	0.439516129032	0.418326693227	0.350210970464	0.326180257511	0.212962962963	0.0	0.286956521739	0.424489795918	0.546125461255	0.628070175439	0.607508532423	0.677852348993
MCT.f.0368	0.753303964758	0.669230769231	0.598513011152	0.531598513011	0.543165467626	0.494339622642	0.498113207547	0.436507936508	0.286956521739	0.0	0.209090909091	0.404761904762	0.538461538462	0.519572953737	0.668874172185
MCT.f.0369	0.744292237443	0.648	0.57528957529	0.545112781955	0.556363636364	0.535580524345	0.544776119403	0.503875968992	0.424489795918	0.209090909091	0.0	0.248888888889	0.423387096774	0.412451361868	0.646048109966
MCT.f.0370	0.753303964758	0.632411067194	0.582706766917	0.609154929577	0.598615916955	0.580071174377	0.58865248227	0.592857142857	0.546125461255	0.404761904762	0.248888888889	0.0	0.21875	0.244725738397	0.569395017794
MCT.f.0371	0.761061946903	0.685823754789	0.630036630037	0.671186440678	0.66	0.65306122449	0.642611683849	0.670068027211	0.628070175439	0.538461538462	0.423387096774	0.21875	0.0	0.0790697674419	0.477099236641
MCT.f.0372	0.752100840336	0.661710037175	0.608540925267	0.641196013289	0.630718954248	0.645901639344	0.653594771242	0.671009771987	0.607508532423	0.519572953737	0.412451361868	0.244725738397	0.0790697674419	0.0	0.412213740458
MCT.f.0374	0.780172413793	0.723247232472	0.7	0.71335504886	0.693548387097	0.6875	0.699346405229	0.720779220779	0.677852348993	0.668874172185	0.646048109966	0.569395017794	0.477099236641	0.412213740458	0.0
