	MCT.f.0375	MCT.f.0376	MCT.f.0377	MCT.f.0378	MCT.f.0379	MCT.f.0380	MCT.f.0381	MCT.f.0382	MCT.f.0383	MCT.f.0384	MCT.f.0385	MCT.f.0386	MCT.f.0387	MCT.f.0388	MCT.f.0389	MCT.f.0390	MCT.f.0391
MCT.f.0375	0.0	0.383458646617	0.541899441341	0.565934065934	0.668269230769	0.725806451613	0.744094488189	0.765625	0.751037344398	0.759541984733	0.766536964981	0.76512455516	0.757462686567	0.768115942029	0.768060836502	0.741935483871	0.733624454148
MCT.f.0376	0.383458646617	0.0	0.258426966292	0.410256410256	0.582608695652	0.627819548872	0.652014652015	0.705673758865	0.722627737226	0.705882352941	0.697508896797	0.693069306931	0.700680272109	0.698996655518	0.704861111111	0.687272727273	0.686046511628
MCT.f.0377	0.541899441341	0.258426966292	0.0	0.174358974359	0.382608695652	0.460674157303	0.516129032258	0.58275862069	0.643835616438	0.636363636364	0.640264026403	0.61875	0.632587859425	0.681818181818	0.669841269841	0.652317880795	0.653846153846
MCT.f.0378	0.565934065934	0.410256410256	0.174358974359	0.0	0.293577981651	0.400778210117	0.466666666667	0.52688172043	0.610526315789	0.618421052632	0.622073578595	0.623052959502	0.61935483871	0.681818181818	0.661341853035	0.643333333333	0.644366197183
MCT.f.0379	0.668269230769	0.582608695652	0.382608695652	0.293577981651	0.0	0.205882352941	0.286852589641	0.40671641791	0.564459930314	0.579804560261	0.582781456954	0.607902735562	0.625386996904	0.649700598802	0.619047619048	0.599337748344	0.583038869258
MCT.f.0380	0.725806451613	0.627819548872	0.460674157303	0.400778210117	0.205882352941	0.0	0.0934959349593	0.241509433962	0.411971830986	0.457792207792	0.483766233766	0.507507507508	0.522935779817	0.579710144928	0.563636363636	0.55625	0.547854785479
MCT.f.0381	0.744094488189	0.652014652015	0.516129032258	0.466666666667	0.286852589641	0.0934959349593	0.0	0.160784313725	0.343065693431	0.417218543046	0.464052287582	0.498498498498	0.522796352584	0.575144508671	0.576119402985	0.569230769231	0.561688311688
MCT.f.0382	0.765625	0.705673758865	0.58275862069	0.52688172043	0.40671641791	0.241509433962	0.160784313725	0.0	0.23828125	0.344947735192	0.395189003436	0.45652173913	0.485893416928	0.583815028902	0.589285714286	0.60843373494	0.58064516129
MCT.f.0383	0.751037344398	0.722627737226	0.643835616438	0.610526315789	0.564459930314	0.411971830986	0.343065693431	0.23828125	0.0	0.217054263566	0.274809160305	0.414473684211	0.450331125828	0.590504451039	0.609090909091	0.637195121951	0.606557377049
MCT.f.0384	0.759541984733	0.705882352941	0.636363636364	0.618421052632	0.579804560261	0.457792207792	0.417218543046	0.344947735192	0.217054263566	0.0	0.096	0.267123287671	0.365448504983	0.505988023952	0.575221238938	0.581325301205	0.588050314465
MCT.f.0385	0.766536964981	0.697508896797	0.640264026403	0.622073578595	0.582781456954	0.483766233766	0.464052287582	0.395189003436	0.274809160305	0.096	0.0	0.234042553191	0.33676975945	0.484567901235	0.542944785276	0.548589341693	0.554098360656
MCT.f.0386	0.76512455516	0.693069306931	0.61875	0.623052959502	0.607902735562	0.507507507508	0.498498498498	0.45652173913	0.414473684211	0.267123287671	0.234042553191	0.0	0.117216117216	0.308441558442	0.416927899687	0.459375	0.537267080745
MCT.f.0387	0.757462686567	0.700680272109	0.632587859425	0.61935483871	0.625386996904	0.522935779817	0.522796352584	0.485893416928	0.450331125828	0.365448504983	0.33676975945	0.117216117216	0.0	0.239583333333	0.37417218543	0.439739413681	0.521035598706
MCT.f.0388	0.768115942029	0.698996655518	0.681818181818	0.681818181818	0.649700598802	0.579710144928	0.575144508671	0.583815028902	0.590504451039	0.505988023952	0.484567901235	0.308441558442	0.239583333333	0.0	0.240282685512	0.341296928328	0.427118644068
MCT.f.0389	0.768060836502	0.704861111111	0.669841269841	0.661341853035	0.619047619048	0.563636363636	0.576119402985	0.589285714286	0.609090909091	0.575221238938	0.542944785276	0.416927899687	0.37417218543	0.240282685512	0.0	0.149606299213	0.236220472441
MCT.f.0390	0.741935483871	0.687272727273	0.652317880795	0.643333333333	0.599337748344	0.55625	0.569230769231	0.60843373494	0.637195121951	0.581325301205	0.548589341693	0.459375	0.439739413681	0.341296928328	0.149606299213	0.0	0.144680851064
MCT.f.0391	0.733624454148	0.686046511628	0.653846153846	0.644366197183	0.583038869258	0.547854785479	0.561688311688	0.58064516129	0.606557377049	0.588050314465	0.554098360656	0.537267080745	0.521035598706	0.427118644068	0.236220472441	0.144680851064	0.0
