	MCT.f.0375	MCT.f.0376	MCT.f.0377	MCT.f.0378	MCT.f.0379	MCT.f.0380	MCT.f.0381	MCT.f.0382	MCT.f.0383	MCT.f.0384	MCT.f.0385	MCT.f.0386	MCT.f.0387	MCT.f.0388	MCT.f.0389	MCT.f.0390	MCT.f.0391
MCT.f.0375	0.0	10.3190200988	10.0630333029	12.442356944	12.8741882199	13.6041382132	13.2177544884	10.1314934441	11.5777516296	9.52561572947	9.0355747638	11.8140995422	11.969293237	14.0351136979	13.2288285216	13.7998295018	11.0199095892
MCT.f.0376	10.3190200988	0.0	8.86903364812	9.36495494508	10.0425967848	13.3202855282	9.13795625349	10.5090594913	8.53434749427	10.1729014354	10.5617085573	10.1694840181	10.1331035008	10.4529410341	11.5968513681	12.1278226556	9.02266299332
MCT.f.0377	10.0630333029	8.86903364812	0.0	9.87124995385	9.63509267163	11.4940262175	10.5983491887	10.1355818164	10.6952951579	9.54576366473	10.5422254415	11.2486332687	11.3995006375	11.6153376562	12.4666983727	13.1561880787	10.6613058164
MCT.f.0378	12.442356944	9.36495494508	9.87124995385	0.0	7.65163307459	13.0925906406	7.90301431833	12.7913187159	7.11761300134	9.6368860051	12.1645318017	9.21376668278	10.9046778157	6.90986766118	8.91653567533	8.07926363077	9.70739921256
MCT.f.0379	12.8741882199	10.0425967848	9.63509267163	7.65163307459	0.0	9.88812004662	7.42220686011	11.7646021413	10.0680274989	10.5893587692	12.277547385	10.6621132957	9.10460729294	8.40706522513	11.9775784013	10.6467690334	10.2453916917
MCT.f.0380	13.6041382132	13.3202855282	11.4940262175	13.0925906406	9.88812004662	0.0	10.686259974	12.5015646551	14.6242134804	13.4987147498	13.0637639352	13.6546405915	10.8463768683	13.8742246864	16.078967409	14.4542487922	13.1451868322
MCT.f.0381	13.2177544884	9.13795625349	10.5983491887	7.90301431833	7.42220686011	10.686259974	0.0	11.8045379296	8.54556696838	10.9774581247	12.1260454347	10.97658117	8.3920625295	8.41360402526	11.7075306238	9.73820841695	9.57173826749
MCT.f.0382	10.1314934441	10.5090594913	10.1355818164	12.7913187159	11.7646021413	12.5015646551	11.8045379296	0.0	11.3216865611	10.259404574	9.43052418648	10.9958888749	10.9086328854	13.7046504456	14.3410316227	14.0833889393	9.71095640081
MCT.f.0383	11.5777516296	8.53434749427	10.6952951579	7.11761300134	10.0680274989	14.6242134804	8.54556696838	11.3216865611	0.0	8.44311494628	10.5049175562	9.41537700232	10.9681093615	7.86256120148	8.80809872899	9.32290011469	8.86132100615
MCT.f.0384	9.52561572947	10.1729014354	9.54576366473	9.6368860051	10.5893587692	13.4987147498	10.9774581247	10.259404574	8.44311494628	0.0	8.24848567839	9.92397407227	11.3245131874	10.7342549241	9.59204805612	11.4367816881	9.54313702459
MCT.f.0385	9.0355747638	10.5617085573	10.5422254415	12.1645318017	12.277547385	13.0637639352	12.1260454347	9.43052418648	10.5049175562	8.24848567839	0.0	11.2132557768	11.2911260215	12.9949495021	12.291404968	13.7465139209	9.85231295589
MCT.f.0386	11.8140995422	10.1694840181	11.2486332687	9.21376668278	10.6621132957	13.6546405915	10.97658117	10.9958888749	9.41537700232	9.92397407227	11.2132557768	0.0	10.2062924269	9.27335987023	10.2209415445	9.72049953153	8.77660613726
MCT.f.0387	11.969293237	10.1331035008	11.3995006375	10.9046778157	9.10460729294	10.8463768683	8.3920625295	10.9086328854	10.9681093615	11.3245131874	11.2911260215	10.2062924269	0.0	10.7107192409	13.5925065791	11.7645991086	8.87473441926
MCT.f.0388	14.0351136979	10.4529410341	11.6153376562	6.90986766118	8.40706522513	13.8742246864	8.41360402526	13.7046504456	7.86256120148	10.7342549241	12.9949495021	9.27335987023	10.7107192409	0.0	8.69712599635	7.50207975713	9.77804801401
MCT.f.0389	13.2288285216	11.5968513681	12.4666983727	8.91653567533	11.9775784013	16.078967409	11.7075306238	14.3410316227	8.80809872899	9.59204805612	12.291404968	10.2209415445	13.5925065791	8.69712599635	0.0	9.31483391843	10.3124214177
MCT.f.0390	13.7998295018	12.1278226556	13.1561880787	8.07926363077	10.6467690334	14.4542487922	9.73820841695	14.0833889393	9.32290011469	11.4367816881	13.7465139209	9.72049953153	11.7645991086	7.50207975713	9.31483391843	0.0	9.95695018947
MCT.f.0391	11.0199095892	9.02266299332	10.6613058164	9.70739921256	10.2453916917	13.1451868322	9.57173826749	9.71095640081	8.86132100615	9.54313702459	9.85231295589	8.77660613726	8.87473441926	9.77804801401	10.3124214177	9.95695018947	0.0
