	MCT.f.0596	MCT.f.0597	MCT.f.0598	MCT.f.0599	MCT.f.0600	MCT.f.0601	MCT.f.0602	MCT.f.0603	MCT.f.0604	MCT.f.0605	MCT.f.0606	MCT.f.0607	MCT.f.0608	MCT.f.0609	MCT.f.0610	MCT.f.0611	MCT.f.0612
MCT.f.0596	0.0	6.05086223394	7.34061820619	8.48525205415	8.11316018722	8.62571880149	7.90443676685	7.20093906418	8.34761002101	8.27345830838	8.94468549154	9.67029762415	8.88449991249	9.26935325247	9.30586725675	9.75484878891	9.98111045167
MCT.f.0597	6.05086223394	0.0	5.47270851103	6.90709408926	7.50431835692	8.23254758077	8.27227291074	7.37244548849	7.43948514703	7.82208044047	7.77899602916	9.01312078565	8.65645802322	9.12501495292	8.79156414091	9.22904722399	8.76451567132
MCT.f.0598	7.34061820619	5.47270851103	0.0	4.39325813986	6.29875040901	7.27245799885	6.13070908973	6.05920335985	6.95254588046	6.79686701247	7.04054854435	7.78423651378	7.33395269441	7.42028480971	8.0113420578	7.52888654527	8.02389905334
MCT.f.0599	8.48525205415	6.90709408926	4.39325813986	0.0	5.81921587274	6.80205650121	6.91774008308	7.0010479035	7.68209703513	7.73930297513	7.58397835344	8.62296234719	7.99763441132	7.89864122875	8.19225715069	8.41281237714	7.93368610313
MCT.f.0600	8.11316018722	7.50431835692	6.29875040901	5.81921587274	0.0	3.80379008001	6.11580502625	5.99226305609	6.71233756961	7.3811865682	7.81790549876	8.0383901168	7.51702093546	7.93718479667	8.26714353491	7.7325926808	8.01992833474
MCT.f.0601	8.62571880149	8.23254758077	7.27245799885	6.80205650121	3.80379008001	0.0	4.81734217017	6.02732640871	7.1122756704	7.3827230406	8.18283946815	7.74146303904	7.27741649768	7.62967217102	8.34225976833	7.27803880464	8.36607575203
MCT.f.0602	7.90443676685	8.27227291074	6.13070908973	6.91774008308	6.11580502625	4.81734217017	0.0	3.32943256644	5.44052178507	5.42704149133	6.80416070817	6.8518913076	6.34088334864	6.72254354292	7.24707499609	6.58161263726	7.60639690754
MCT.f.0603	7.20093906418	7.37244548849	6.05920335985	7.0010479035	5.99226305609	6.02732640871	3.32943256644	0.0	3.71194812613	4.50182928995	5.97181541862	6.49765162985	6.4747577088	6.59537088678	6.86726761797	6.59934281034	7.59232217215
MCT.f.0604	8.34761002101	7.43948514703	6.95254588046	7.68209703513	6.71233756961	7.1122756704	5.44052178507	3.71194812613	0.0	2.98048201141	4.38893535424	5.86988998651	6.29250855202	5.99254745337	5.66814210229	6.05831444237	7.90663403926
MCT.f.0605	8.27345830838	7.82208044047	6.79686701247	7.73930297513	7.3811865682	7.3827230406	5.42704149133	4.50182928995	2.98048201141	0.0	2.82788436655	4.81643354821	5.43640930063	5.72472525784	5.60242485331	5.91499976389	7.86179826073
MCT.f.0606	8.94468549154	7.77899602916	7.04054854435	7.58397835344	7.81790549876	8.18283946815	6.80416070817	5.97181541862	4.38893535424	2.82788436655	0.0	4.51685013794	5.53596757852	5.41650661048	4.95385986956	6.25714488011	7.70076680493
MCT.f.0607	9.67029762415	9.01312078565	7.78423651378	8.62296234719	8.0383901168	7.74146303904	6.8518913076	6.49765162985	5.86988998651	4.81643354821	4.51685013794	0.0	3.22299506569	5.2347104463	5.81294822295	5.39973535576	8.01974073963
MCT.f.0608	8.88449991249	8.65645802322	7.33395269441	7.99763441132	7.51702093546	7.27741649768	6.34088334864	6.4747577088	6.29250855202	5.43640930063	5.53596757852	3.22299506569	0.0	4.6066316097	5.83441482813	5.64633312498	7.63501520159
MCT.f.0609	9.26935325247	9.12501495292	7.42028480971	7.89864122875	7.93718479667	7.62967217102	6.72254354292	6.59537088678	5.99254745337	5.72472525784	5.41650661048	5.2347104463	4.6066316097	0.0	2.38888128887	4.61298143177	7.44620799684
MCT.f.0610	9.30586725675	8.79156414091	8.0113420578	8.19225715069	8.26714353491	8.34225976833	7.24707499609	6.86726761797	5.66814210229	5.60242485331	4.95385986956	5.81294822295	5.83441482813	2.38888128887	0.0	4.56067788677	7.5464110476
MCT.f.0611	9.75484878891	9.22904722399	7.52888654527	8.41281237714	7.7325926808	7.27803880464	6.58161263726	6.59934281034	6.05831444237	5.91499976389	6.25714488011	5.39973535576	5.64633312498	4.61298143177	4.56067788677	0.0	5.47715826616
MCT.f.0612	9.98111045167	8.76451567132	8.02389905334	7.93368610313	8.01992833474	8.36607575203	7.60639690754	7.59232217215	7.90663403926	7.86179826073	7.70076680493	8.01974073963	7.63501520159	7.44620799684	7.5464110476	5.47715826616	0.0
