	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample12	sample14	sample15	sample16	sample17
sample1	0.0	0.804347826087	0.891156462585	0.835616438356	0.886666666667	0.829268292683	0.87417218543	0.888888888889	0.838028169014	0.875	0.76404494382	0.92700729927	0.832369942197	0.790697674419	0.875816993464
sample2	0.804347826087	0.0	0.700636942675	0.780346820809	0.769230769231	0.732876712329	0.821229050279	0.905797101449	0.766467065868	0.864516129032	0.873134328358	0.925714285714	0.65	0.791411042945	0.732142857143
sample3	0.891156462585	0.700636942675	0.0	0.798850574713	0.77380952381	0.763513513514	0.78488372093	0.888059701493	0.80701754386	0.919254658385	0.928057553957	0.872727272727	0.718085106383	0.839285714286	0.62091503268
sample4	0.835616438356	0.780346820809	0.798850574713	0.0	0.82967032967	0.834355828221	0.838709677419	0.8	0.821229050279	0.896341463415	0.827067669173	0.921787709497	0.741116751269	0.877777777778	0.802197802198
sample5	0.886666666667	0.769230769231	0.77380952381	0.82967032967	0.0	0.880239520958	0.796610169492	0.891304347826	0.708074534161	0.844155844156	0.914893617021	0.827160493827	0.81067961165	0.748427672956	0.778409090909
sample6	0.829268292683	0.732876712329	0.763513513514	0.834355828221	0.880239520958	0.0	0.848484848485	0.925619834711	0.84375	0.860294117647	0.785046728972	0.908496732026	0.686390532544	0.826666666667	0.814814814815
sample7	0.87417218543	0.821229050279	0.78488372093	0.838709677419	0.796610169492	0.848484848485	0.0	0.893617021277	0.744047619048	0.832258064516	0.885714285714	0.713333333333	0.78431372549	0.768292682927	0.717647058824
sample8	0.888888888889	0.905797101449	0.888059701493	0.8	0.891304347826	0.925619834711	0.893617021277	0.0	0.921428571429	0.889908256881	0.829268292683	0.872881355932	0.894117647059	0.916030534351	0.895104895105
sample9	0.838028169014	0.766467065868	0.80701754386	0.821229050279	0.708074534161	0.84375	0.744047619048	0.921428571429	0.0	0.849673202614	0.856060606061	0.880952380952	0.778894472362	0.695364238411	0.724550898204
sample10	0.875	0.864516129032	0.919254658385	0.896341463415	0.844155844156	0.860294117647	0.832258064516	0.889908256881	0.849673202614	0.0	0.847619047619	0.82962962963	0.810055865922	0.753731343284	0.877300613497
sample12	0.76404494382	0.873134328358	0.928057553957	0.827067669173	0.914893617021	0.785046728972	0.885714285714	0.829268292683	0.856060606061	0.847619047619	0.0	0.936	0.846625766871	0.864	0.887323943662
sample14	0.92700729927	0.925714285714	0.872727272727	0.921787709497	0.827160493827	0.908496732026	0.713333333333	0.872881355932	0.880952380952	0.82962962963	0.936	0.0	0.913043478261	0.859872611465	0.879310344828
sample15	0.832369942197	0.65	0.718085106383	0.741116751269	0.81067961165	0.686390532544	0.78431372549	0.894117647059	0.778894472362	0.810055865922	0.846625766871	0.913043478261	0.0	0.847290640394	0.711340206186
sample16	0.790697674419	0.791411042945	0.839285714286	0.877777777778	0.748427672956	0.826666666667	0.768292682927	0.916030534351	0.695364238411	0.753731343284	0.864	0.859872611465	0.847290640394	0.0	0.708860759494
sample17	0.875816993464	0.732142857143	0.62091503268	0.802197802198	0.778409090909	0.814814814815	0.717647058824	0.895104895105	0.724550898204	0.877300613497	0.887323943662	0.879310344828	0.711340206186	0.708860759494	0.0
