#taxonomy	sample2	sample5	sample7	sample9	sample10	sample11	sample12	sample14	sample15	sample16	sample17
k__Bacteria;NA;NA;NA;NA;NA;NA	0.804083752856843	0.651362045966708	0.925075088040916	0.562070307947813	1.36187307554476	0.689275403917291	1.02748050704584	0.804825680562753	1.16758499832437	0.670769101452742	0.331580498928671
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	-3.02455764363225	-3.19644894625018	-1.88562775899163	-3.44742552595268	-2.97541766528773	-2.40176704944102	-4.32286916083433	-4.12242800459445	-4.11947863761162	-4.35161345065708	-1.97100459406537
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	-3.02455764363225	-3.25847182710276	-0.0131945505520139	-3.27680388794926	-2.97541766528773	-3.89252083462858	-3.91058409421558	-4.12242800459445	-3.68053136627411	-4.4977600423068	-3.48646274891882
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-3.18673147381841	-3.57177155445128	-1.96074878548293	-3.78236435718911	-3.52769339807443	-3.86124984217124	-4.3044685162418	-4.33592914370569	-4.14776374693124	-4.65824353788368	-4.07747316351701
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-3.26953938574779	-3.62794884466308	-2.00376350305893	-3.64312770608804	-3.4857995521782	-4.1487655346537	-4.02825021736168	-4.5406557887793	-4.16175681694034	-4.41161936853737	-3.54515649328879
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-3.54819272677876	-3.13335542708354	-1.83696213202746	-3.40174324331876	-3.32147842411609	-3.76392737162424	-3.50511898610742	-4.12242800459445	-3.27506625816594	-4.03876109985959	-3.35729895518527
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	-2.33141046307231	-2.81437385683302	-1.91218122292292	-3.46813056704752	-0.267367464185517	-3.75617950099163	-2.52428973309569	-4.49050096709462	-3.98585782199125	-3.12247036798544	-2.25868666651716
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-3.46704316992382	-2.81437385683302	-2.08399930270711	-3.56446639526991	-3.36467709933958	-3.77016944930452	-4.2937550845324	-4.12242800459445	-3.86034159642085	-4.03876109985959	-0.243783645974891
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-3.26015482135406	-3.04145443787328	-2.14816644927198	-2.61598352240013	-1.87680537661962	-3.65508354345517	-2.03878191731399	-0.738037741248677	0.0207706078383853	-2.09285095080428	-1.27785741350543
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	-1.77179467513688	-2.12122667627307	-1.51727194732829	-3.0214486305083	-2.97541766528773	-1.62857716120754	-2.40650669743931	-2.17651785553914	-3.27506625816594	-2.94014881119148	-1.85322155840899
