	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17
sample1	0.0	0.640625	0.711111111111	0.7	0.621428571429	0.696774193548	0.733870967742	0.808823529412	0.809523809524	0.737931034483	0.631147540984	0.688311688312	0.722222222222	0.753086419753	0.64	0.650793650794	0.714285714286
sample2	0.640625	0.0	0.709219858156	0.75	0.686274509804	0.679245283019	0.777777777778	0.866666666667	0.811688311688	0.700680272109	0.577235772358	0.78612716763	0.813008130081	0.74251497006	0.746478873239	0.641221374046	0.7
sample3	0.711111111111	0.709219858156	0.0	0.492063492063	0.71974522293	0.757396449704	0.795620437956	0.785714285714	0.811688311688	0.615942028986	0.741007194245	0.695652173913	0.832	0.8	0.691176470588	0.671641791045	0.734513274336
sample4	0.7	0.75	0.492063492063	0.0	0.69375	0.802197802198	0.699248120301	0.763888888889	0.783439490446	0.748427672956	0.796052631579	0.732558139535	0.705882352941	0.788888888889	0.792207792208	0.76	0.811023622047
sample5	0.621428571429	0.686274509804	0.71974522293	0.69375	0.0	0.59509202454	0.812903225806	0.803797468354	0.804733727811	0.6875	0.680272108844	0.676300578035	0.786764705882	0.668604651163	0.668918918919	0.540740740741	0.704
sample6	0.696774193548	0.679245283019	0.757396449704	0.802197802198	0.59509202454	0.0	0.738562091503	0.746835443038	0.689440993789	0.696428571429	0.55	0.677777777778	0.847682119205	0.591715976331	0.635761589404	0.598639455782	0.733333333333
sample7	0.733870967742	0.777777777778	0.795620437956	0.699248120301	0.812903225806	0.738562091503	0.0	0.756097560976	0.797101449275	0.847682119205	0.746031746032	0.844311377246	0.670103092784	0.85798816568	0.85	0.807407407407	0.752475247525
sample8	0.808823529412	0.866666666667	0.785714285714	0.763888888889	0.803797468354	0.746835443038	0.756097560976	0.0	0.632	0.790540540541	0.783582089552	0.738853503185	0.834782608696	0.835294117647	0.847222222222	0.822695035461	0.752380952381
sample9	0.809523809524	0.811688311688	0.811688311688	0.783439490446	0.804733727811	0.689440993789	0.797101449275	0.632	0.0	0.792452830189	0.625	0.728915662651	0.795081967213	0.721212121212	0.814569536424	0.78231292517	0.702702702703
sample10	0.737931034483	0.700680272109	0.615942028986	0.748427672956	0.6875	0.696428571429	0.847682119205	0.790540540541	0.792452830189	0.0	0.685714285714	0.741379310345	0.851851851852	0.783333333333	0.701388888889	0.63503649635	0.764227642276
sample11	0.631147540984	0.577235772358	0.741007194245	0.796052631579	0.680272108844	0.55	0.746031746032	0.783582089552	0.625	0.685714285714	0.0	0.723270440252	0.769911504425	0.655629139073	0.704545454545	0.653543307087	0.612244897959
sample12	0.688311688312	0.78612716763	0.695652173913	0.732558139535	0.676300578035	0.677777777778	0.844311377246	0.738853503185	0.728915662651	0.741379310345	0.723270440252	0.0	0.765957446809	0.685082872928	0.736196319018	0.751515151515	0.760869565217
sample13	0.722222222222	0.813008130081	0.832	0.705882352941	0.786764705882	0.847682119205	0.670103092784	0.834782608696	0.795081967213	0.851851851852	0.769911504425	0.765957446809	0.0	0.855263157895	0.88188976378	0.786324786325	0.72619047619
sample14	0.753086419753	0.74251497006	0.8	0.788888888889	0.668604651163	0.591715976331	0.85798816568	0.835294117647	0.721212121212	0.783333333333	0.655629139073	0.685082872928	0.855263157895	0.0	0.728395061728	0.58904109589	0.804195804196
sample15	0.64	0.746478873239	0.691176470588	0.792207792208	0.668918918919	0.635761589404	0.85	0.847222222222	0.814569536424	0.701388888889	0.704545454545	0.736196319018	0.88188976378	0.728395061728	0.0	0.629921259843	0.801724137931
sample16	0.650793650794	0.641221374046	0.671641791045	0.76	0.540740740741	0.598639455782	0.807407407407	0.822695035461	0.78231292517	0.63503649635	0.653543307087	0.751515151515	0.786324786325	0.58904109589	0.629921259843	0.0	0.581632653061
sample17	0.714285714286	0.7	0.734513274336	0.811023622047	0.704	0.733333333333	0.752475247525	0.752380952381	0.702702702703	0.764227642276	0.612244897959	0.760869565217	0.72619047619	0.804195804196	0.801724137931	0.581632653061	0.0
