	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16
sample3	0.0	10.5323232323	9.45333333333	9.86656833825	9.17777777778	8.11194098663	8.21789077213	8.39259259259	8.82983425414	10.0294117647	10.3729981378	10.6993088783	9.94146341463	9.12267573696
sample4	10.5323232323	0.0	7.26187590188	7.77198023216	8.48311688312	10.2650212858	10.4804754567	10.2737694404	10.4526799168	9.99142687378	8.15678734673	8.35748462064	9.44145285609	7.94322820037
sample5	9.45333333333	7.26187590188	0.0	4.94151425762	6.65070707071	8.00070078377	7.93566854991	8.01481481481	9.31923879681	8.3968627451	7.03091247672	6.77367357788	8.28422764228	7.47682539683
sample6	9.86656833825	7.77198023216	4.94151425762	0.0	6.62566371681	6.74053537987	8.95092245388	9.33322407954	9.41483726919	8.92336167505	6.04301181589	7.78905026041	8.93927620692	5.98006140509
sample7	9.17777777778	8.48311688312	6.65070707071	6.62566371681	0.0	5.96937004904	7.46379044684	8.15185185185	10.0465427758	7.76844919786	6.58207211783	7.33157894737	9.52498152254	7.94248608534
sample8	8.11194098663	10.2650212858	8.00070078377	6.74053537987	5.96937004904	0.0	8.03859624446	8.15467957584	8.73236896602	9.33710302932	9.22942117342	9.88131588874	9.36403198057	8.73083241595
sample9	8.21789077213	10.4804754567	7.93566854991	8.95092245388	7.46379044684	8.03859624446	0.0	4.52707679431	9.12878234541	8.44198515564	10.2423634126	9.58978185062	9.14807771807	9.16665513663
sample10	8.39259259259	10.2737694404	8.01481481481	9.33322407954	8.15185185185	8.15467957584	4.52707679431	0.0	8.01347111384	9.58968772694	11.18387475	10.4208754209	9.57015959048	9.46238347191
sample11	8.82983425414	10.4526799168	9.31923879681	9.41483726919	10.0465427758	8.73236896602	9.12878234541	8.01347111384	0.0	9.62849817643	10.4093130446	10.3634425088	7.98607555136	8.13201037321
sample12	10.0294117647	9.99142687378	8.3968627451	8.92336167505	7.76844919786	9.33710302932	8.44198515564	9.58968772694	9.62849817643	0.0	7.54237411911	10.0550708322	9.84249960147	8.41256502601
sample13	10.3729981378	8.15678734673	7.03091247672	6.04301181589	6.58207211783	9.22942117342	10.2423634126	11.18387475	10.4093130446	7.54237411911	0.0	7.7046857876	9.23655962817	6.12605176149
sample14	10.6993088783	8.35748462064	6.77367357788	7.78905026041	7.33157894737	9.88131588874	9.58978185062	10.4208754209	10.3634425088	10.0550708322	7.7046857876	0.0	6.77457501848	8.31696123425
sample15	9.94146341463	9.44145285609	8.28422764228	8.93927620692	9.52498152254	9.36403198057	9.14807771807	9.57015959048	7.98607555136	9.84249960147	9.23655962817	6.77457501848	0.0	7.01235551131
sample16	9.12267573696	7.94322820037	7.47682539683	5.98006140509	7.94248608534	8.73083241595	9.16665513663	9.46238347191	8.13201037321	8.41256502601	6.12605176149	8.31696123425	7.01235551131	0.0
