	sample1	sample2	sample4	sample5	sample6	sample7	sample8	sample10	sample11	sample12	sample13	sample15	sample16
sample1	0.0	9.64498539413	18.240512307	20.9551855736	16.2028642839	17.1156455476	13.709815799	11.4084324956	11.9035481075	13.4203004852	16.437658016	17.4807158391	17.250592395
sample2	9.64498539413	0.0	20.6174091324	22.9705181555	17.095046184	19.6277432624	14.5562409077	14.312491732	14.8776562007	16.1629408316	19.1080133018	19.7451002765	19.860860815
sample4	18.240512307	20.6174091324	0.0	11.8080247269	12.2647558702	9.87963271693	14.9625949507	16.9321333086	19.1221189628	14.4634368862	11.2765114596	13.3324360811	14.6572946297
sample5	20.9551855736	22.9705181555	11.8080247269	0.0	12.5167301081	16.5622060016	19.8332894892	20.8724374339	23.0141654331	19.4219669491	18.6017828571	20.4428489469	21.1935564476
sample6	16.2028642839	17.095046184	12.2647558702	12.5167301081	0.0	14.1472211334	13.2077216347	17.1814399543	18.0614620939	15.6406503314	16.0679941816	16.6391657712	18.4143696024
sample7	17.1156455476	19.6277432624	9.87963271693	16.5622060016	14.1472211334	0.0	11.9199031516	15.8692684588	17.0226574277	13.15853782	10.0100104881	10.8627519032	11.4548450088
sample8	13.709815799	14.5562409077	14.9625949507	19.8332894892	13.2077216347	11.9199031516	0.0	14.746511793	13.3683795244	11.0220141037	13.1509319863	10.8586356385	13.2358107924
sample10	11.4084324956	14.312491732	16.9321333086	20.8724374339	17.1814399543	15.8692684588	14.746511793	0.0	11.6669420088	12.2529968047	14.3351530763	16.4117216923	15.6053042013
sample11	11.9035481075	14.8776562007	19.1221189628	23.0141654331	18.0614620939	17.0226574277	13.3683795244	11.6669420088	0.0	12.2205847644	14.802665031	14.9743593121	15.2528954052
sample12	13.4203004852	16.1629408316	14.4634368862	19.4219669491	15.6406503314	13.15853782	11.0220141037	12.2529968047	12.2205847644	0.0	10.6387992589	11.1400395955	13.5624109593
sample13	16.437658016	19.1080133018	11.2765114596	18.6017828571	16.0679941816	10.0100104881	13.1509319863	14.3351530763	14.802665031	10.6387992589	0.0	9.52471182176	9.51041933176
sample15	17.4807158391	19.7451002765	13.3324360811	20.4428489469	16.6391657712	10.8627519032	10.8586356385	16.4117216923	14.9743593121	11.1400395955	9.52471182176	0.0	9.59036677957
sample16	17.250592395	19.860860815	14.6572946297	21.1935564476	18.4143696024	11.4548450088	13.2358107924	15.6053042013	15.2528954052	13.5624109593	9.51041933176	9.59036677957	0.0
