	sample1	sample2	sample3	sample4	sample6	sample7	sample8	sample11	sample13	sample14	sample16
sample1	0.0	6.21173469388	5.4907658881	6.1406602073	8.24508762613	6.91522556391	6.22792709867	8.39191729323	8.01186083289	6.07789269554	9.633640553
sample2	6.21173469388	0.0	6.0048110499	6.80128758128	6.81523404901	8.11772287863	7.69779086892	8.09285714286	8.84358761955	7.33297626743	9.76352863726
sample3	5.4907658881	6.0048110499	0.0	7.0687409291	8.6485363337	7.14976986192	7.36114617224	8.33227436462	8.99455614328	7.01228429365	9.91389672513
sample4	6.1406602073	6.80128758128	7.0687409291	0.0	7.80497930177	6.10612651503	6.96689973658	7.76129005479	8.42152560327	5.77041551879	7.792059777
sample6	8.24508762613	6.81523404901	8.6485363337	7.80497930177	0.0	10.316154699	8.32520599394	7.93570240657	5.73014718995	9.13435045165	7.87562743049
sample7	6.91522556391	8.11772287863	7.14976986192	6.10612651503	10.316154699	0.0	5.82159522518	9.13640350877	10.467793099	6.58518694927	9.91249090468
sample8	6.22792709867	7.69779086892	7.36114617224	6.96689973658	8.32520599394	5.82159522518	0.0	8.46985892566	8.82786168068	6.34338760088	8.84832533612
sample11	8.39191729323	8.09285714286	8.33227436462	7.76129005479	7.93570240657	9.13640350877	8.46985892566	0.0	7.14866964459	7.64777327935	6.66968833374
sample13	8.01186083289	8.84358761955	8.99455614328	8.42152560327	5.73014718995	10.467793099	8.82786168068	7.14866964459	0.0	8.57845085238	5.23403676433
sample14	6.07789269554	7.33297626743	7.01228429365	5.77041551879	9.13435045165	6.58518694927	6.34338760088	7.64777327935	8.57845085238	0.0	7.72833997122
sample16	9.633640553	9.76352863726	9.91389672513	7.792059777	7.87562743049	9.91249090468	8.84832533612	6.66968833374	5.23403676433	7.72833997122	0.0
