	sample1	sample2	sample3	sample6	sample7	sample8	sample9	sample12	sample13	sample14	sample15
sample1	0.0	0.743169398907	0.612121212121	0.766423357664	0.776315789474	0.694267515924	0.745222929936	0.7	0.882882882883	0.854700854701	0.818181818182
sample2	0.743169398907	0.0	0.701357466063	0.829896907216	0.755102040816	0.759433962264	0.725	0.688524590164	0.916666666667	0.921348314607	0.8
sample3	0.612121212121	0.701357466063	0.0	0.75138121547	0.721052631579	0.696517412935	0.710659898477	0.742105263158	0.896341463415	0.883040935673	0.810945273632
sample6	0.766423357664	0.829896907216	0.75138121547	0.0	0.673913043478	0.832369942197	0.802469135802	0.874213836478	0.90990990991	0.899159663866	0.830065359477
sample7	0.776315789474	0.755102040816	0.721052631579	0.673913043478	0.0	0.734104046243	0.728915662651	0.775	0.859504132231	0.878787878788	0.79012345679
sample8	0.694267515924	0.759433962264	0.696517412935	0.832369942197	0.734104046243	0.0	0.736263736264	0.792134831461	0.902097902098	0.908496732026	0.785310734463
sample9	0.745222929936	0.725	0.710659898477	0.802469135802	0.728915662651	0.736263736264	0.0	0.737804878049	0.888059701493	0.813432835821	0.753012048193
sample12	0.7	0.688524590164	0.742105263158	0.874213836478	0.775	0.792134831461	0.737804878049	0.0	0.892561983471	0.809917355372	0.870588235294
sample13	0.882882882883	0.916666666667	0.896341463415	0.90990990991	0.859504132231	0.902097902098	0.888059701493	0.892561983471	0.0	0.883116883117	0.901639344262
sample14	0.854700854701	0.921348314607	0.883040935673	0.899159663866	0.878787878788	0.908496732026	0.813432835821	0.809917355372	0.883116883117	0.0	0.948905109489
sample15	0.818181818182	0.8	0.810945273632	0.830065359477	0.79012345679	0.785310734463	0.753012048193	0.870588235294	0.901639344262	0.948905109489	0.0
