	sample1	sample2	sample3	sample6	sample7	sample9	sample10	sample11	sample12	sample13	sample14	sample15
sample1	0.0	0.630303030303	0.8125	0.780487804878	0.820689655172	0.821656050955	0.828947368421	0.757575757576	0.83950617284	0.940397350993	0.889705882353	0.886666666667
sample2	0.630303030303	0.0	0.601351351351	0.688888888889	0.843575418994	0.707602339181	0.755813953488	0.751295336788	0.802139037433	0.905027932961	0.83850931677	0.798816568047
sample3	0.8125	0.601351351351	0.0	0.707142857143	0.874074074074	0.713178294574	0.663865546218	0.708333333333	0.738805970149	0.8984375	0.810810810811	0.735042735043
sample6	0.780487804878	0.688888888889	0.707142857143	0.0	0.697841726619	0.803680981595	0.794871794872	0.764367816092	0.722580645161	0.843537414966	0.824817518248	0.812080536913
sample7	0.820689655172	0.843575418994	0.874074074074	0.697841726619	0.0	0.878378378378	0.880281690141	0.872727272727	0.834482758621	0.862903225806	0.842105263158	0.852713178295
sample9	0.821656050955	0.707602339181	0.713178294574	0.803680981595	0.878378378378	0.0	0.441441441441	0.611111111111	0.68345323741	0.908450704225	0.850393700787	0.714285714286
sample10	0.828947368421	0.755813953488	0.663865546218	0.794871794872	0.880281690141	0.441441441441	0.0	0.591240875912	0.705882352941	0.887218045113	0.811965811966	0.807692307692
sample11	0.757575757576	0.751295336788	0.708333333333	0.764367816092	0.872727272727	0.611111111111	0.591240875912	0.0	0.655629139073	0.885350318471	0.847222222222	0.744827586207
sample12	0.83950617284	0.802139037433	0.738805970149	0.722580645161	0.834482758621	0.68345323741	0.705882352941	0.655629139073	0.0	0.838235294118	0.853846153846	0.740458015267
sample13	0.940397350993	0.905027932961	0.8984375	0.843537414966	0.862903225806	0.908450704225	0.887218045113	0.885350318471	0.838235294118	0.0	0.858490566038	0.776785714286
sample14	0.889705882353	0.83850931677	0.810810810811	0.824817518248	0.842105263158	0.850393700787	0.811965811966	0.847222222222	0.853846153846	0.858490566038	0.0	0.707070707071
sample15	0.886666666667	0.798816568047	0.735042735043	0.812080536913	0.852713178295	0.714285714286	0.807692307692	0.744827586207	0.740458015267	0.776785714286	0.707070707071	0.0
