	sample1	sample2	sample3	sample5	sample6	sample7	sample10	sample12	sample13	sample15
sample1	0.0	6.21173469388	5.4907658881	6.95998435871	8.24508762613	6.91522556391	8.95945945946	8.74374165554	8.01186083289	8.94164388243
sample2	6.21173469388	0.0	6.0048110499	6.68327126471	6.81523404901	8.11772287863	7.00535024821	8.40793438871	8.84358761955	8.45372522215
sample3	5.4907658881	6.0048110499	0.0	8.33196414199	8.6485363337	7.14976986192	9.16154557599	10.1366689172	8.99455614328	9.0470646024
sample5	6.95998435871	6.68327126471	8.33196414199	0.0	8.09776680325	7.76690997567	6.29512724403	8.17722900607	8.70199585208	6.92840428876
sample6	8.24508762613	6.81523404901	8.6485363337	8.09776680325	0.0	10.316154699	5.77785592284	8.32800611472	5.73014718995	8.11620213088
sample7	6.91522556391	8.11772287863	7.14976986192	7.76690997567	10.316154699	0.0	8.28229018492	10.4548286604	10.467793099	7.32631578947
sample10	8.95945945946	7.00535024821	9.16154557599	6.29512724403	5.77785592284	8.28229018492	0.0	8.36941146754	8.68664605565	5.32891503944
sample12	8.74374165554	8.40793438871	10.1366689172	8.17722900607	8.32800611472	10.4548286604	8.36941146754	0.0	8.80842845812	9.10691767652
sample13	8.01186083289	8.84358761955	8.99455614328	8.70199585208	5.73014718995	10.467793099	8.68664605565	8.80842845812	0.0	8.09777715002
sample15	8.94164388243	8.45372522215	9.0470646024	6.92840428876	8.11620213088	7.32631578947	5.32891503944	9.10691767652	8.09777715002	0.0
