	sample1	sample2	sample3	sample4	sample6	sample8	sample9	sample11	sample13	sample14
sample1	0.0	0.762886597938	0.613636363636	0.729166666667	0.803921568627	0.714285714286	0.863636363636	0.817307692308	0.774193548387	0.814159292035
sample2	0.762886597938	0.0	0.666666666667	0.680412371134	0.877192982456	0.85046728972	0.847826086957	0.816513761468	0.834951456311	0.803418803419
sample3	0.613636363636	0.666666666667	0.0	0.522727272727	0.818181818182	0.75	0.838709677419	0.798165137615	0.838095238095	0.765217391304
sample4	0.729166666667	0.680412371134	0.522727272727	0.0	0.849557522124	0.78640776699	0.838709677419	0.798165137615	0.859813084112	0.765217391304
sample6	0.803921568627	0.877192982456	0.818181818182	0.849557522124	0.0	0.774509803922	0.863157894737	0.860869565217	0.767676767677	0.826446280992
sample8	0.714285714286	0.85046728972	0.75	0.78640776699	0.774509803922	0.0	0.816091954023	0.776699029126	0.896226415094	0.798245614035
sample9	0.863636363636	0.847826086957	0.838709677419	0.838709677419	0.863157894737	0.816091954023	0.0	0.775280898876	0.809523809524	0.834951456311
sample11	0.817307692308	0.816513761468	0.798165137615	0.798165137615	0.860869565217	0.776699029126	0.775280898876	0.0	0.881818181818	0.818181818182
sample13	0.774193548387	0.834951456311	0.838095238095	0.859813084112	0.767676767677	0.896226415094	0.809523809524	0.881818181818	0.0	0.803571428571
sample14	0.814159292035	0.803418803419	0.765217391304	0.765217391304	0.826446280992	0.798245614035	0.834951456311	0.818181818182	0.803571428571	0.0
