	sample1	sample2	sample3	sample4	sample6	sample7	sample9	sample10	sample11	sample12	sample13	sample14
sample1	0.0	7.73841076677	9.51103857836	8.13148918809	8.28981454224	6.97930023046	7.71038567095	9.74168644202	9.00371032929	9.79345288129	9.14003934823	9.40434108527
sample2	7.73841076677	0.0	8.41361842646	9.26980511145	9.87792247888	8.40978006832	7.23645177728	6.84821937644	8.01446611203	8.40221195202	5.83311128319	7.35180487805
sample3	9.51103857836	8.41361842646	0.0	9.31352826511	9.79422360402	8.12254359623	8.61351446248	10.6784580499	8.69245763983	9.19177293971	9.39117859725	10.0573411306
sample4	8.13148918809	9.26980511145	9.31352826511	0.0	9.70202531646	8.83055476529	8.36402745995	9.25946294307	9.73001049633	8.93313887127	9.52029227081	9.62357894737
sample6	8.28981454224	9.87792247888	9.79422360402	9.70202531646	0.0	6.45908313377	9.58475509081	11.0550762077	10.2796711025	10.7047430227	10.5463219748	11.0843544304
sample7	6.97930023046	8.40978006832	8.12254359623	8.83055476529	6.45908313377	0.0	7.31767668289	9.4249310535	9.22648802649	9.34943015304	9.01344902386	9.61772972973
sample9	7.71038567095	7.23645177728	8.61351446248	8.36402745995	9.58475509081	7.31767668289	0.0	8.83070097604	7.09681300986	6.91734640425	7.52979614934	7.63120496894
sample10	9.74168644202	6.84821937644	10.6784580499	9.25946294307	11.0550762077	9.4249310535	8.83070097604	0.0	10.8634688063	9.7479468896	7.68883970074	8.22448979592
sample11	9.00371032929	8.01446611203	8.69245763983	9.73001049633	10.2796711025	9.22648802649	7.09681300986	10.8634688063	0.0	8.87138296777	9.19785428679	9.6095042735
sample12	9.79345288129	8.40221195202	9.19177293971	8.93313887127	10.7047430227	9.34943015304	6.91734640425	9.7479468896	8.87138296777	0.0	7.53302145676	8.20679518072
sample13	9.14003934823	5.83311128319	9.39117859725	9.52029227081	10.5463219748	9.01344902386	7.52979614934	7.68883970074	9.19785428679	7.53302145676	0.0	6.63314533623
sample14	9.40434108527	7.35180487805	10.0573411306	9.62357894737	11.0843544304	9.61772972973	7.63120496894	8.22448979592	9.6095042735	8.20679518072	6.63314533623	0.0
