	sample1	sample2	sample3	sample4	sample5	sample6	sample8	sample10	sample11	sample12	sample13
sample1	0.0	11.8637608671	14.2223418206	13.0041992723	14.8329299518	16.7484886273	17.8704346922	15.9753517603	16.6025385652	15.1491510786	20.6767236258
sample2	11.8637608671	0.0	12.0195475165	14.6171641098	11.2712756037	15.4700739657	14.2618229709	14.6576916205	12.6605564862	13.4735571346	20.5690582087
sample3	14.2223418206	12.0195475165	0.0	14.3805733321	13.8505405247	16.2027778691	17.8263066991	14.464600295	18.2235272281	16.0425624405	23.0953472136
sample4	13.0041992723	14.6171641098	14.3805733321	0.0	13.8889204002	14.91571821	17.7194433707	19.3514641581	17.9485461975	16.8073278462	19.7407068725
sample5	14.8329299518	11.2712756037	13.8505405247	13.8889204002	0.0	12.6229418713	12.5455418225	16.6760756908	12.32556266	13.8806292226	20.0070872056
sample6	16.7484886273	15.4700739657	16.2027778691	14.91571821	12.6229418713	0.0	11.0126398773	15.6081397512	12.7782874884	13.5372548294	18.0065350859
sample8	17.8704346922	14.2618229709	17.8263066991	17.7194433707	12.5455418225	11.0126398773	0.0	15.1375590877	10.1804995571	13.9257586111	19.2362803586
sample10	15.9753517603	14.6576916205	14.464600295	19.3514641581	16.6760756908	15.6081397512	15.1375590877	0.0	14.1415855366	12.1366609447	22.6539453246
sample11	16.6025385652	12.6605564862	18.2235272281	17.9485461975	12.32556266	12.7782874884	10.1804995571	14.1415855366	0.0	10.6227843436	18.2815322957
sample12	15.1491510786	13.4735571346	16.0425624405	16.8073278462	13.8806292226	13.5372548294	13.9257586111	12.1366609447	10.6227843436	0.0	18.1057058751
sample13	20.6767236258	20.5690582087	23.0953472136	19.7407068725	20.0070872056	18.0065350859	19.2362803586	22.6539453246	18.2815322957	18.1057058751	0.0
