#taxonomy	sample2	sample3	sample4	sample5	sample6
k__Bacteria;NA;NA;NA;NA;NA;NA	1.49059853418351	1.61044679396916	2.25911258854652	1.78281448073542	1.17961738887487
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	1.51143262108635	2.48899719786047	2.56594709321306	2.15478684006247	1.37536196600097
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	-2.90703289106601	-2.93815304053054	-3.16983227512828	-3.05742782743215	-2.95827644355751
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-2.92423092251611	-3.21200704840599	-3.44455584466326	-3.29067646790317	-2.72673078220075
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-2.61766367168258	-3.13376548877165	-3.35726823830979	-3.37906600097375	-2.80304327657101
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-2.89044172208973	-2.53268793242238	-2.93938444271931	-3.05742782743215	-2.43130052376935
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	4.28723781441697	5.35289209055119	5.53050747557892	5.14176153164592	4.4938033935474
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-1.45384044498293	-0.495806005161335	-1.55309008159942	-3.05742782743215	-2.43130052376935
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-1.27151888818898	-1.14639357130248	-2.93938444271931	-1.55335043065588	-1.04500616264946
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	-2.75984425325041	-2.53268793242238	-3.33535603360247	-3.46888773094666	-2.82929371282047
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens	-2.76925354966823	-3.33929134479555	-3.35533524922231	-3.46596475544355	-2.85998268046486
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. 4_8_47FAA	-2.79932844875417	-3.3228061370981	-3.33324482901196	-3.47729817657493	-2.84338487806923
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. TF06-26	-2.88414243285818	-3.21659536376899	-3.35070582909849	-3.40499524455912	-2.93358089312647
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens	-3.1642267375136	-3.395472020673	-3.44375045960991	-3.78613770246679	-2.84669254195473
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;NA	-0.29068963517725	1.28868070473764	1.38474821353567	0.668265599804501	0.45907123412681
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta	1.06385602762806	2.3035939745291	2.38849172607027	1.69616236367421	1.38641180218755
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter pamelaeae	0.155597467451169	1.17272082364277	1.52652367593528	0.120626002915794	0.171389161675029
k__Bacteria;p__Bacteroidetes;NA;NA;NA;NA;NA	0.962073333318118	1.6819057579513	0.878327883237598	1.14726479195881	1.71973938212929
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;NA;NA;NA	5.54192571132192	6.14526263787198	5.47322570850449	5.58109764915161	5.99279004938456
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;NA;NA	0.848744648011115	1.53348575283303	0.526351460080419	0.680241790851217	1.23226112236029
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;NA	8.25742065887371	8.79254558096389	8.03694449641603	8.20351084041075	8.64740535729391
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides barnesiae	-1.45384044498293	-1.23340494829211	-2.02309371084515	-1.35267973519373	-0.927223126993081
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae	1.65522051387806	2.11490296944967	1.57147506379754	1.40848029122243	2.04603629070885
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caecimuris	2.90542920256833	3.16328635978601	2.67738665494726	2.72946955393456	2.95319453901973
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus	1.22718108373136	1.67696747631072	1.25027029930712	0.994357120371153	1.66304403845275
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides clarus	-2.94575749339125	-3.54915987166737	-3.3887098903356	-3.76042954908001	-2.82139743533888
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides coprocola	-0.0675460838630405	0.64536589792557	0.196109773209843	0.120626002915794	0.589124362375008
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides coprophilus	-1.27151888818898	-0.264004391104011	-0.799318279223036	-0.706052570268674	0.37205985713718
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides dorei	2.97935447626535	3.79047557255416	2.93694979713504	3.32269470946761	3.99194643976417
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii	-0.983836815737196	0.0322614250391613	-0.993474293663994	-0.806136028825656	0.486470208314924
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecichinchillae	-2.37013117685709	-1.23340494829211	-2.02309371084515	-1.95881553876404	-1.17853755527399
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis	-2.76985772566242	-2.93815304053054	-3.30432403281497	-3.41934022909172	-2.76832625709756
