	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13
sample1	0.0	0.640625	0.711111111111	0.7	0.621428571429	0.696774193548	0.733870967742	0.808823529412	0.809523809524	0.737931034483	0.631147540984	0.688311688312	0.722222222222
sample2	0.640625	0.0	0.709219858156	0.75	0.686274509804	0.679245283019	0.777777777778	0.866666666667	0.811688311688	0.700680272109	0.577235772358	0.78612716763	0.813008130081
sample3	0.711111111111	0.709219858156	0.0	0.492063492063	0.71974522293	0.757396449704	0.795620437956	0.785714285714	0.811688311688	0.615942028986	0.741007194245	0.695652173913	0.832
sample4	0.7	0.75	0.492063492063	0.0	0.69375	0.802197802198	0.699248120301	0.763888888889	0.783439490446	0.748427672956	0.796052631579	0.732558139535	0.705882352941
sample5	0.621428571429	0.686274509804	0.71974522293	0.69375	0.0	0.59509202454	0.812903225806	0.803797468354	0.804733727811	0.6875	0.680272108844	0.676300578035	0.786764705882
sample6	0.696774193548	0.679245283019	0.757396449704	0.802197802198	0.59509202454	0.0	0.738562091503	0.746835443038	0.689440993789	0.696428571429	0.55	0.677777777778	0.847682119205
sample7	0.733870967742	0.777777777778	0.795620437956	0.699248120301	0.812903225806	0.738562091503	0.0	0.756097560976	0.797101449275	0.847682119205	0.746031746032	0.844311377246	0.670103092784
sample8	0.808823529412	0.866666666667	0.785714285714	0.763888888889	0.803797468354	0.746835443038	0.756097560976	0.0	0.632	0.790540540541	0.783582089552	0.738853503185	0.834782608696
sample9	0.809523809524	0.811688311688	0.811688311688	0.783439490446	0.804733727811	0.689440993789	0.797101449275	0.632	0.0	0.792452830189	0.625	0.728915662651	0.795081967213
sample10	0.737931034483	0.700680272109	0.615942028986	0.748427672956	0.6875	0.696428571429	0.847682119205	0.790540540541	0.792452830189	0.0	0.685714285714	0.741379310345	0.851851851852
sample11	0.631147540984	0.577235772358	0.741007194245	0.796052631579	0.680272108844	0.55	0.746031746032	0.783582089552	0.625	0.685714285714	0.0	0.723270440252	0.769911504425
sample12	0.688311688312	0.78612716763	0.695652173913	0.732558139535	0.676300578035	0.677777777778	0.844311377246	0.738853503185	0.728915662651	0.741379310345	0.723270440252	0.0	0.765957446809
sample13	0.722222222222	0.813008130081	0.832	0.705882352941	0.786764705882	0.847682119205	0.670103092784	0.834782608696	0.795081967213	0.851851851852	0.769911504425	0.765957446809	0.0
