	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13
sample1	0.0	5.40874436335	6.77448747153	6.51169487672	6.49296623687	7.49795568046	7.49513429977	9.00651660333	8.10413670179	8.70909409497	7.68656438725	7.18600871283	7.43905066798
sample2	5.40874436335	0.0	6.08940774487	7.09407324574	7.7550184008	7.60583692937	6.91627605106	9.97418201619	7.13422529132	8.70761381476	6.83137360905	8.59827856872	6.75073542931
sample3	6.77448747153	6.08940774487	0.0	5.16706266243	8.19059710968	8.68096664264	7.93916466109	9.27088034924	8.80758934409	8.3763360785	8.01382833753	8.39949729008	9.10840567219
sample4	6.51169487672	7.09407324574	5.16706266243	0.0	7.33027493504	8.87390602298	6.7449745182	9.17600265164	8.96152913841	9.31271262984	8.36349969544	9.06774566954	7.46440471783
sample5	6.49296623687	7.7550184008	8.19059710968	7.33027493504	0.0	8.12505631406	9.74087437211	8.96378445639	9.99751657386	8.71533957845	7.36130196297	6.99678840097	9.52582441927
sample6	7.49795568046	7.60583692937	8.68096664264	8.87390602298	8.12505631406	0.0	6.7611273714	7.24027015961	8.46966123757	8.65449431332	6.48308222519	7.7404578865	8.76523582406
sample7	7.49513429977	6.91627605106	7.93916466109	6.7449745182	9.74087437211	6.7611273714	0.0	8.33698441458	7.57723143275	10.0753057896	8.20245087715	8.70603893487	5.67263553306
sample8	9.00651660333	9.97418201619	9.27088034924	9.17600265164	8.96378445639	7.24027015961	8.33698441458	0.0	8.2604495973	9.35273960378	9.16967061559	8.31680072867	9.12781923455
sample9	8.10413670179	7.13422529132	8.80758934409	8.96152913841	9.99751657386	8.46966123757	7.57723143275	8.2604495973	0.0	9.98731117825	9.70824246547	9.6097750567	6.74137884108
sample10	8.70909409497	8.70761381476	8.3763360785	9.31271262984	8.71533957845	8.65449431332	10.0753057896	9.35273960378	9.98731117825	0.0	7.98367294957	8.6624668435	10.4704088704
sample11	7.68656438725	6.83137360905	8.01382833753	8.36349969544	7.36130196297	6.48308222519	8.20245087715	9.16967061559	9.70824246547	7.98367294957	0.0	7.19762737073	8.66935147068
sample12	7.18600871283	8.59827856872	8.39949729008	9.06774566954	6.99678840097	7.7404578865	8.70603893487	8.31680072867	9.6097750567	8.6624668435	7.19762737073	0.0	8.02806652807
sample13	7.43905066798	6.75073542931	9.10840567219	7.46440471783	9.52582441927	8.76523582406	5.67263553306	9.12781923455	6.74137884108	10.4704088704	8.66935147068	8.02806652807	0.0
