wc -l	Sample	seq count
12596	Blank.A02.036.S2.R1.001.fastq	3149
6308	Blank.A03.038.S195.R1.001.fastq	1577
19380	Blank.A04.040.S388.R1.001.fastq	4845
205064	Blank.A07.041.S487.R1.001.fastq	51266
183220	Blank.B12.040.S408.R1.001.fastq	45805
2532	Blank.C04.036.S28.R1.001.fastq	633
349224	Blank.D02.041.S505.R1.001.fastq	87306
11264	Blank.D10.038.S238.R1.001.fastq	2816
57120	Blank.E09.039.S345.R1.001.fastq	14280
272	Blank.F02.037.S158.R1.001.fastq	68
24108	Blank.F04.039.S352.R1.001.fastq	6027
5816	Blank.G11.037.S179.R1.001.fastq	1454
150948	MCT.f.0001.S463.R1.001.fastq	37737
3918152	MCT.f.0002.S6.R1.001.fastq	979538
1784380	MCT.f.0003.S56.R1.001.fastq	446095
3078592	MCT.f.0004.S389.R1.001.fastq	769648
3960	MCT.f.0005.S132.R1.001.fastq	990
1865076	MCT.f.0006.S363.R1.001.fastq	466269
2514484	MCT.f.0007.S286.R1.001.fastq	628621
2517376	MCT.f.0008.S366.R1.001.fastq	629344
2690848	MCT.f.0009.S226.R1.001.fastq	672712
1580760	MCT.f.0010.S247.R1.001.fastq	395190
3715964	MCT.f.0011.S429.R1.001.fastq	928991
1816816	MCT.f.0012.S361.R1.001.fastq	454204
4204892	MCT.f.0013.S296.R1.001.fastq	1051223
2294136	MCT.f.0014.S185.R1.001.fastq	573534
5668	MCT.f.0015.S515.R1.001.fastq	1417
3619112	MCT.f.0016.S387.R1.001.fastq	904778
438260	MCT.f.0017.S71.R1.001.fastq	109565
145468	MCT.f.0018.S169.R1.001.fastq	36367
3109280	MCT.f.0019.S413.R1.001.fastq	777320
1219404	MCT.f.0020.S164.R1.001.fastq	304851
407648	MCT.f.0035.S110.R1.001.fastq	101912
169724	MCT.f.0036.S227.R1.001.fastq	42431
3247536	MCT.f.0037.S379.R1.001.fastq	811884
2888884	MCT.f.0038.S420.R1.001.fastq	722221
555752	MCT.f.0039.S359.R1.001.fastq	138938
114024	MCT.f.0040.S446.R1.001.fastq	28506
224432	MCT.f.0041.S203.R1.001.fastq	56108
2082696	MCT.f.0042.S69.R1.001.fastq	520674
1733032	MCT.f.0043.S276.R1.001.fastq	433258
2369728	MCT.f.0044.S87.R1.001.fastq	592432
614060	MCT.f.0045.S277.R1.001.fastq	153515
358916	MCT.f.0047.S524.R1.001.fastq	89729
4661112	MCT.f.0048.S290.R1.001.fastq	1165278
973480	MCT.f.0049.S482.R1.001.fastq	243370
849348	MCT.f.0050.S372.R1.001.fastq	212337
2367524	MCT.f.0051.S287.R1.001.fastq	591881
898552	MCT.f.0052.S194.R1.001.fastq	224638
171756	MCT.f.0053.S154.R1.001.fastq	42939
24484	MCT.f.0054.S139.R1.001.fastq	6121
3133312	MCT.f.0055.S432.R1.001.fastq	783328
63796	MCT.f.0056.S133.R1.001.fastq	15949
2362540	MCT.f.0057.S371.R1.001.fastq	590635
1427248	MCT.f.0058.S265.R1.001.fastq	356812
410164	MCT.f.0059.S451.R1.001.fastq	102541
1453612	MCT.f.0060.S269.R1.001.fastq	363403
996076	MCT.f.0061.S254.R1.001.fastq	249019
3511564	MCT.f.0063.S495.R1.001.fastq	877891
55708	MCT.f.0064.S90.R1.001.fastq	13927
2821864	MCT.f.0065.S22.R1.001.fastq	705466
4312160	MCT.f.0066.S313.R1.001.fastq	1078040
3511328	MCT.f.0067.S430.R1.001.fastq	877832
1752784	MCT.f.0068.S350.R1.001.fastq	438196
3034700	MCT.f.0069.S325.R1.001.fastq	758675
1474232	MCT.f.0070.S284.R1.001.fastq	368558
2599964	MCT.f.0071.S63.R1.001.fastq	649991
4174224	MCT.f.0072.S400.R1.001.fastq	1043556
1505360	MCT.f.0074.S262.R1.001.fastq	376340
2568780	MCT.f.0075.S224.R1.001.fastq	642195
1794656	MCT.f.0076.S186.R1.001.fastq	448664
2485084	MCT.f.0077.S45.R1.001.fastq	621271
150408	MCT.f.0078.S99.R1.001.fastq	37602
2644676	MCT.f.0080.S403.R1.001.fastq	661169
2199076	MCT.f.0081.S220.R1.001.fastq	549769
1889640	MCT.f.0083.S214.R1.001.fastq	472410
427740	MCT.f.0085.S183.R1.001.fastq	106935
2431104	MCT.f.0086.S271.R1.001.fastq	607776
2344240	MCT.f.0089.S399.R1.001.fastq	586060
3651116	MCT.f.0091.S494.R1.001.fastq	912779
1160800	MCT.f.0094.S519.R1.001.fastq	290200
